window,n_eligible,n_pairs_tested,n_cointegrated,prevalence
0,6,15,1,0.0667
1,8,28,3,0.1071
2,8,28,0,0.0
3,8,28,0,0.0
4,10,45,5,0.1111
5,14,91,9,0.0989
6,15,105,8,0.0762
7,15,105,12,0.1143
8,16,120,15,0.125
9,17,136,9,0.0662
10,18,153,13,0.085
11,19,171,18,0.1053
12,19,171,30,0.1754
13,20,190,41,0.2158
14,20,190,38,0.2
15,20,190,35,0.1842
16,20,190,36,0.1895
17,21,210,41,0.1952
18,21,210,44,0.2095
19,21,210,57,0.2714
20,21,210,65,0.3095
21,21,210,63,0.3
22,21,210,87,0.4143
23,21,210,53,0.2524
24,21,210,42,0.2
25,21,210,30,0.1429
26,21,210,21,0.1
27,21,210,22,0.1048
28,21,210,31,0.1476
29,22,231,19,0.0823
30,22,231,26,0.1126
31,22,231,19,0.0823
32,22,231,18,0.0779
33,22,231,11,0.0476
34,22,231,11,0.0476
35,22,231,11,0.0476
36,22,231,8,0.0346
37,22,231,9,0.039
38,22,231,3,0.013
