window_n,window_n1,n_coint_n,n_coint_n1,n_survived,persistence_rate
0,1,1,3,1,1.0
1,2,3,0,0,0.0
4,5,5,9,5,1.0
5,6,9,8,7,0.7778
6,7,8,12,8,1.0
7,8,12,15,12,1.0
8,9,15,9,7,0.4667
9,10,9,13,8,0.8889
10,11,13,18,11,0.8462
11,12,18,30,16,0.8889
12,13,30,41,20,0.6667
13,14,41,38,32,0.7805
14,15,38,35,30,0.7895
15,16,35,36,26,0.7429
16,17,36,41,23,0.6389
17,18,41,44,35,0.8537
18,19,44,57,28,0.6364
19,20,57,65,40,0.7018
20,21,65,63,39,0.6
21,22,63,87,54,0.8571
22,23,87,53,51,0.5862
23,24,53,42,36,0.6792
24,25,42,30,26,0.619
25,26,30,21,21,0.7
26,27,21,22,17,0.8095
27,28,22,31,17,0.7727
28,29,31,19,16,0.5161
29,30,19,26,17,0.8947
30,31,26,19,18,0.6923
31,32,19,18,14,0.7368
32,33,18,11,10,0.5556
33,34,11,11,8,0.7273
34,35,11,11,8,0.7273
35,36,11,8,4,0.3636
36,37,8,9,5,0.625
37,38,9,3,2,0.2222
