window,n_coint,hl_median,hl_p25,hl_p75,hl_frac_tradeable
0,1,45.56,45.56,45.56,1.0
1,3,68.14,60.91,70.69,0.3333
4,5,67.88,55.18,75.11,0.4
5,9,75.31,53.11,82.41,0.4444
6,8,71.51,55.02,86.5,0.375
7,12,77.28,63.78,90.44,0.25
8,15,78.49,60.54,92.85,0.2667
9,9,83.88,64.45,104.37,0.2222
10,13,92.22,62.3,118.89,0.2308
11,18,84.07,60.85,115.76,0.2778
12,30,85.27,60.59,99.69,0.2333
13,41,66.68,49.5,80.64,0.3415
14,38,53.2,41.96,65.62,0.6316
15,35,44.45,39.95,60.17,0.7143
16,36,48.95,40.43,66.95,0.6111
17,41,62.87,43.37,133.74,0.439
18,44,52.7,39.54,71.93,0.5682
19,57,78.87,43.93,118.87,0.386
20,65,65.51,44.38,88.2,0.4154
21,63,64.45,41.89,121.3,0.4603
22,87,56.53,43.79,77.49,0.5402
23,53,45.45,35.73,49.98,0.9057
24,42,46.39,38.8,55.13,0.8095
25,30,49.73,40.92,54.58,0.7667
26,21,52.89,47.6,61.48,0.619
27,22,52.5,42.89,57.37,0.8182
28,31,60.89,48.49,84.4,0.4839
29,19,52.73,49.26,57.05,0.7895
30,26,54.67,50.23,59.26,0.8462
31,19,56.97,51.36,60.93,0.7368
32,18,56.47,52.89,61.55,0.6667
33,11,60.04,54.64,65.01,0.4545
34,11,60.21,51.56,65.06,0.4545
35,11,55.47,49.57,64.9,0.6364
36,8,59.98,57.16,65.99,0.5
37,9,53.85,51.15,60.92,0.6667
38,3,55.59,51.75,60.25,0.6667
