symbol,ic_third_1,ic_third_2,ic_third_3,n_thirds_positive,worst_third_ic
ADAUSDT,-0.02189,0.17659,0.12722,2,-0.02189
AVAXUSDT,0.10462,0.32537,0.03966,3,0.03966
FILUSDT,-0.15423,0.00121,0.07635,2,-0.15423
FTMUSDT,-0.24439,0.05919,-0.10487,1,-0.24439
BCHUSDT,-0.00383,0.07796,-0.24399,1,-0.24399
GALAUSDT,0.51247,-0.0718,0.20182,2,-0.0718
EOSUSDT,0.05327,-0.05615,-0.00333,1,-0.05615
CRVUSDT,-0.07119,0.24187,-0.01211,1,-0.07119
AAVEUSDT,-0.08276,0.18681,0.24926,2,-0.08276
SANDUSDT,-0.16217,0.26333,0.04617,2,-0.16217
ATOMUSDT,0.1007,0.05452,-0.14723,2,-0.14723
LDOUSDT,0.28253,-0.22113,0.0,1,-0.22113
AXSUSDT,-0.0367,0.24197,-0.03503,1,-0.0367
TRXUSDT,0.00984,-0.06592,0.03085,2,-0.06592
RUNEUSDT,0.07793,0.01515,-0.01619,2,-0.01619
MANAUSDT,0.00779,0.09005,-0.22768,2,-0.22768
ICPUSDT,0.14789,-0.26768,-0.12362,1,-0.26768
ALGOUSDT,0.05326,-0.13595,0.22254,2,-0.13595
GRTUSDT,-0.10822,0.08204,-0.03351,1,-0.10822
THETAUSDT,-0.04865,-0.02494,0.09082,1,-0.04865
VETUSDT,0.10206,0.02174,0.12141,3,0.02174
HBARUSDT,-0.22852,-0.34701,0.18084,1,-0.34701
