symbol,within_cv_rank_ic,band,ic_vs_thin_floor_ratio,n_thirds_positive,worst_third_ic,regime_stability
LDOUSDT,0.17793,GENUINE,7.12,1,-0.22113,CONCENTRATED
GALAUSDT,0.12703,GENUINE,5.08,2,-0.0718,CONCENTRATED
AAVEUSDT,0.04786,BORDERLINE,1.91,2,-0.08276,CONCENTRATED
EOSUSDT,0.04718,BORDERLINE,1.89,1,-0.05615,CONCENTRATED
ADAUSDT,0.04261,BORDERLINE,1.7,2,-0.02189,STABLE
THETAUSDT,0.03245,THIN,1.3,1,-0.04865,CONCENTRATED
TRXUSDT,0.02907,THIN,1.16,2,-0.06592,CONCENTRATED
BCHUSDT,0.02542,THIN,1.02,1,-0.24399,CONCENTRATED
CRVUSDT,0.01842,THIN,0.74,1,-0.07119,CONCENTRATED
ICPUSDT,0.01782,THIN,0.71,1,-0.26768,CONCENTRATED
FILUSDT,-0.00058,THIN,-0.02,2,-0.15423,CONCENTRATED
RUNEUSDT,-0.01362,THIN,-0.54,2,-0.01619,STABLE
MANAUSDT,-0.01434,THIN,-0.57,2,-0.22768,CONCENTRATED
AXSUSDT,-0.02038,THIN,-0.82,1,-0.0367,CONCENTRATED
VETUSDT,-0.02933,THIN,-1.17,3,0.02174,STABLE
GRTUSDT,-0.03151,THIN,-1.26,1,-0.10822,CONCENTRATED
ALGOUSDT,-0.03213,THIN,-1.29,2,-0.13595,CONCENTRATED
ATOMUSDT,-0.05394,THIN,-2.16,2,-0.14723,CONCENTRATED
AVAXUSDT,-0.06401,THIN,-2.56,3,0.03966,STABLE
FTMUSDT,-0.06491,THIN,-2.6,1,-0.24439,CONCENTRATED
HBARUSDT,-0.08491,THIN,-3.4,1,-0.34701,CONCENTRATED
SANDUSDT,-0.1149,THIN,-4.6,2,-0.16217,CONCENTRATED
