symbol,fold,design,n_test,holdout_acc,holdout_side_pnl_mean
BCHUSDT,0,W0,90,0.53333,-0.25004
BCHUSDT,0,W1,90,0.47778,-0.275
BCHUSDT,0,W2,90,0.53333,-0.2705
BCHUSDT,0,W3,90,0.53333,-0.27194
BCHUSDT,0,W4,90,0.54444,-0.25174
BCHUSDT,1,W0,90,0.54444,-0.13318
BCHUSDT,1,W1,90,0.53333,-0.21191
BCHUSDT,1,W2,90,0.54444,-0.21014
BCHUSDT,1,W3,90,0.56667,-0.15027
BCHUSDT,1,W4,90,0.58889,-0.07548
BCHUSDT,2,W0,90,0.37778,-0.3481
BCHUSDT,2,W1,90,0.38889,-0.37355
BCHUSDT,2,W2,90,0.37778,-0.38704
BCHUSDT,2,W3,90,0.46667,-0.35822
BCHUSDT,2,W4,90,0.47778,-0.27001
BCHUSDT,3,W0,90,0.52222,-0.47992
BCHUSDT,3,W1,90,0.51111,-0.43438
BCHUSDT,3,W2,90,0.53333,-0.44309
BCHUSDT,3,W3,90,0.53333,-0.45564
BCHUSDT,3,W4,90,0.52222,-0.44211
BCHUSDT,4,W0,90,0.54444,0.07004
BCHUSDT,4,W1,90,0.54444,0.03804
BCHUSDT,4,W2,90,0.58889,0.1476
BCHUSDT,4,W3,90,0.53333,-0.01616
BCHUSDT,4,W4,90,0.55556,0.07866
BCHUSDT,5,W0,90,0.55556,-0.02922
BCHUSDT,5,W1,90,0.55556,-0.02922
BCHUSDT,5,W2,90,0.55556,-0.02922
BCHUSDT,5,W3,90,0.55556,-0.03042
BCHUSDT,5,W4,90,0.55556,-0.02922
BCHUSDT,6,W0,90,0.41111,-0.27873
BCHUSDT,6,W1,90,0.43333,-0.25157
BCHUSDT,6,W2,90,0.41111,-0.27841
BCHUSDT,6,W3,90,0.48889,-0.0528
BCHUSDT,6,W4,90,0.41111,-0.27841
BCHUSDT,7,W0,90,0.48889,-0.28263
BCHUSDT,7,W1,90,0.47778,-0.24042
BCHUSDT,7,W2,90,0.54444,-0.11395
BCHUSDT,7,W3,90,0.58889,-0.04411
BCHUSDT,7,W4,90,0.55556,-0.0112
LDOUSDT,0,W0,90,0.25556,-5.92289
LDOUSDT,0,W1,90,0.23333,-8.9823
LDOUSDT,0,W2,90,0.33333,-4.37569
LDOUSDT,0,W3,90,0.33333,-4.51786
LDOUSDT,0,W4,90,0.3,-6.46143
LDOUSDT,1,W0,90,0.58889,3.9482
LDOUSDT,1,W1,90,0.55556,3.06807
LDOUSDT,1,W2,90,0.61111,4.39754
LDOUSDT,1,W3,90,0.56667,3.57215
LDOUSDT,1,W4,90,0.54444,3.80707
LDOUSDT,2,W0,90,0.64444,5.80055
LDOUSDT,2,W1,90,0.65556,6.48933
LDOUSDT,2,W2,90,0.63333,5.26286
LDOUSDT,2,W3,90,0.66667,6.59543
LDOUSDT,2,W4,90,0.66667,6.55864
LDOUSDT,3,W0,90,0.35556,-6.89616
LDOUSDT,3,W1,90,0.33333,-7.69379
LDOUSDT,3,W2,90,0.35556,-6.89616
LDOUSDT,3,W3,90,0.35556,-6.80649
LDOUSDT,3,W4,90,0.35556,-7.0092
LDOUSDT,4,W0,90,0.75556,13.22747
LDOUSDT,4,W1,90,0.68889,10.98424
LDOUSDT,4,W2,90,0.72222,12.3109
LDOUSDT,4,W3,90,0.58889,4.96932
LDOUSDT,4,W4,90,0.66667,9.95434
LDOUSDT,5,W0,90,0.48889,-2.50557
LDOUSDT,5,W1,90,0.46667,-3.39115
LDOUSDT,5,W2,90,0.56667,0.68343
LDOUSDT,5,W3,90,0.58889,0.97106
LDOUSDT,5,W4,90,0.5,-1.80538
LDOUSDT,6,W0,90,0.67778,3.73892
LDOUSDT,6,W1,90,0.57778,-0.17524
LDOUSDT,6,W2,90,0.64444,2.46157
LDOUSDT,6,W3,90,0.66667,3.68198
LDOUSDT,6,W4,90,0.64444,2.57681
LDOUSDT,7,W0,90,0.41111,-4.16382
LDOUSDT,7,W1,90,0.41111,-4.16382
LDOUSDT,7,W2,90,0.4,-4.44016
LDOUSDT,7,W3,90,0.38889,-4.68728
LDOUSDT,7,W4,90,0.41111,-4.16382
TRXUSDT,0,W0,90,0.42222,-0.39517
TRXUSDT,0,W1,90,0.44444,-0.0771
TRXUSDT,0,W2,90,0.42222,-0.39517
TRXUSDT,0,W3,90,0.42222,-0.39517
TRXUSDT,0,W4,90,0.42222,-0.39517
TRXUSDT,1,W0,90,0.36667,-1.73652
TRXUSDT,1,W1,90,0.45556,-1.04422
TRXUSDT,1,W2,90,0.52222,-0.85932
TRXUSDT,1,W3,90,0.4,-1.67779
TRXUSDT,1,W4,90,0.53333,-0.92523
TRXUSDT,2,W0,90,0.57778,-0.44848
TRXUSDT,2,W1,90,0.56667,-0.56342
TRXUSDT,2,W2,90,0.56667,-0.46769
TRXUSDT,2,W3,90,0.57778,-0.33579
TRXUSDT,2,W4,90,0.56667,-0.46769
TRXUSDT,3,W0,90,0.65556,9.27422
TRXUSDT,3,W1,90,0.66667,4.56085
TRXUSDT,3,W2,90,0.7,10.36378
TRXUSDT,3,W3,90,0.6,7.6657
TRXUSDT,3,W4,90,0.66667,10.391
TRXUSDT,4,W0,90,0.43333,-0.32719
TRXUSDT,4,W1,90,0.38889,-3.63397
TRXUSDT,4,W2,90,0.44444,-3.95034
TRXUSDT,4,W3,90,0.57778,1.26671
TRXUSDT,4,W4,90,0.55556,-2.32965
TRXUSDT,5,W0,90,0.7,1.4995
TRXUSDT,5,W1,90,0.72222,1.65062
TRXUSDT,5,W2,90,0.72222,1.65062
TRXUSDT,5,W3,90,0.72222,1.65062
TRXUSDT,5,W4,90,0.72222,1.65062
TRXUSDT,6,W0,90,0.7,1.04219
TRXUSDT,6,W1,90,0.66667,1.02394
TRXUSDT,6,W2,90,0.71111,1.18567
TRXUSDT,6,W3,90,0.7,0.993
TRXUSDT,6,W4,90,0.64444,0.27772
TRXUSDT,7,W0,90,0.24444,-6.5504
TRXUSDT,7,W1,90,0.32222,-4.34442
TRXUSDT,7,W2,90,0.33333,-3.89683
TRXUSDT,7,W3,90,0.32222,-4.71467
TRXUSDT,7,W4,90,0.3,-5.69779
