alpha,note,ic_BCH,ic_LDO,ic_TRX,mean_abs_ic,sign_consistent_3sym,min_coverage_frac
alpha054,pure time-series; no adaptation,0.0158,-0.0846,-0.0262,0.0422,False,1.0
alpha084,pure time-series (Ts_Rank per-symbol); vwap proxy,-0.028,-0.0906,-0.005,0.0412,True,1.0
alpha053,pure time-series; no adaptation,0.0104,-0.0788,-0.0227,0.0373,False,0.994
alpha053_regime_signed,ENGINEERED Category-2: alpha053 x sign(hurst-0.5),0.0104,-0.0788,-0.0227,0.0373,False,0.994
alpha049,pure time-series; no adaptation,-0.011,-0.0778,-0.0189,0.0359,True,1.0
alpha032,scale()->causal scale_ts; all inner time-series,-0.0255,0.0413,0.0395,0.0354,False,1.0
alpha101,pure time-series; SANITY ANCHOR (trivial body/range),-0.0119,0.0685,0.0197,0.0334,False,1.0
alpha006,pure time-series; no adaptation,0.01,0.0307,0.0511,0.0306,True,1.0
alpha046,pure time-series; no adaptation,-0.0685,-0.0178,-0.0036,0.0299,True,1.0
alpha051,pure time-series; no adaptation,-0.0121,-0.0566,-0.0189,0.0292,True,1.0
alpha068,cs-rank-dropped (2 ranks stripped); continuous difference,0.0116,-0.0514,-0.0207,0.0279,False,1.0
alpha043,pure time-series (Ts_Rank per-symbol); adv20 per-symbol,0.0329,-0.0103,0.0173,0.0202,False,1.0
alpha028,scale()->causal scale_ts; adv20 per-symbol,0.0159,-0.0219,0.0057,0.0145,False,1.0
alpha034,cs-rank-dropped (3 ranks stripped); per-symbol composite,0.008,0.016,-0.0172,0.0137,False,1.0
alpha035,"pure time-series (all Ts_Rank, per-symbol)",0.0203,0.0091,-0.0086,0.0127,False,1.0
alpha023,pure time-series; no adaptation,-0.0043,-0.0242,-0.0048,0.0111,True,1.0
alpha024,pure time-series; no adaptation,-0.0102,0.0165,0.0025,0.0098,False,1.0
alpha012,pure time-series; no adaptation,0.0172,-0.0054,-0.0015,0.008,False,1.0
