alpha,BCH_subperiod_ic,LDO_subperiod_ic,TRX_subperiod_ic,dominant_sign,sign_stable_frac
alpha049,"[np.float64(-0.01), np.float64(0.048), np.float64(-0.013), np.float64(-0.037)]","[np.float64(-0.033), np.float64(-0.022), np.float64(-0.14), np.float64(-0.012)]","[np.float64(0.024), np.float64(-0.013), np.float64(-0.067), np.float64(-0.02)]",-1.0,0.833
alpha084,"[np.float64(-0.027), np.float64(-0.007), np.float64(-0.002), np.float64(-0.033)]","[np.float64(-0.108), np.float64(-0.106), np.float64(-0.002), np.float64(-0.119)]","[np.float64(-0.017), np.float64(0.089), np.float64(-0.097), np.float64(0.005)]",-1.0,0.833
alpha051,"[np.float64(-0.015), np.float64(0.047), np.float64(-0.017), np.float64(-0.034)]","[np.float64(-0.033), np.float64(0.007), np.float64(-0.071), np.float64(-0.03)]","[np.float64(0.024), np.float64(-0.013), np.float64(-0.067), np.float64(-0.02)]",-1.0,0.75
alpha006,"[np.float64(-0.022), np.float64(-0.021), np.float64(0.145), np.float64(-0.042)]","[np.float64(-0.256), np.float64(0.285), np.float64(0.201), np.float64(0.026)]","[np.float64(0.141), np.float64(0.009), np.float64(0.013), np.float64(0.059)]",1.0,0.667
alpha012,"[np.float64(0.036), np.float64(0.004), np.float64(0.019), np.float64(0.036)]","[np.float64(0.02), np.float64(0.087), np.float64(-0.02), np.float64(-0.053)]","[np.float64(-0.023), np.float64(0.019), np.float64(-0.047), np.float64(0.039)]",1.0,0.667
alpha035,"[np.float64(0.05), np.float64(0.027), np.float64(0.027), np.float64(0.002)]","[np.float64(0.161), np.float64(0.017), np.float64(-0.001), np.float64(-0.065)]","[np.float64(-0.02), np.float64(0.042), np.float64(-0.071), np.float64(0.019)]",1.0,0.667
alpha053,"[np.float64(0.024), np.float64(0.036), np.float64(0.049), np.float64(-0.059)]","[np.float64(-0.115), np.float64(-0.135), np.float64(-0.084), np.float64(-0.009)]","[np.float64(0.022), np.float64(-0.029), np.float64(-0.083), np.float64(-0.005)]",-1.0,0.667
alpha043,"[np.float64(0.008), np.float64(-0.008), np.float64(0.131), np.float64(0.018)]","[np.float64(-0.044), np.float64(0.007), np.float64(0.025), np.float64(-0.024)]","[np.float64(0.033), np.float64(0.068), np.float64(-0.032), np.float64(0.003)]",1.0,0.667
alpha034,"[np.float64(0.023), np.float64(0.006), np.float64(0.014), np.float64(0.012)]","[np.float64(0.006), np.float64(-0.02), np.float64(0.052), np.float64(0.052)]","[np.float64(-0.047), np.float64(-0.02), np.float64(0.007), np.float64(-0.006)]",1.0,0.667
alpha054,"[np.float64(0.001), np.float64(0.072), np.float64(0.036), np.float64(-0.04)]","[np.float64(-0.07), np.float64(-0.153), np.float64(-0.038), np.float64(-0.026)]","[np.float64(0.029), np.float64(-0.047), np.float64(-0.034), np.float64(-0.047)]",-1.0,0.667
alpha053_regime_signed,"[np.float64(0.024), np.float64(0.036), np.float64(0.049), np.float64(-0.059)]","[np.float64(-0.115), np.float64(-0.135), np.float64(-0.084), np.float64(-0.009)]","[np.float64(0.022), np.float64(-0.029), np.float64(-0.083), np.float64(-0.005)]",-1.0,0.667
alpha101,"[np.float64(-0.024), np.float64(-0.015), np.float64(-0.021), np.float64(0.01)]","[np.float64(0.051), np.float64(0.064), np.float64(0.124), np.float64(0.002)]","[np.float64(-0.02), np.float64(0.011), np.float64(0.066), np.float64(0.017)]",1.0,0.667
alpha046,"[np.float64(-0.084), np.float64(0.035), np.float64(-0.147), np.float64(-0.071)]","[np.float64(-0.065), np.float64(0.039), np.float64(0.163), np.float64(-0.194)]","[np.float64(-0.087), np.float64(0.111), np.float64(-0.042), np.float64(0.011)]",-1.0,0.583
alpha032,"[np.float64(-0.043), np.float64(-0.086), np.float64(-0.042), np.float64(0.094)]","[np.float64(-0.064), np.float64(-0.018), np.float64(0.085), np.float64(0.164)]","[np.float64(0.022), np.float64(0.102), np.float64(0.01), np.float64(0.028)]",1.0,0.583
alpha023,"[np.float64(0.001), np.float64(0.009), np.float64(0.005), np.float64(-0.03)]","[np.float64(0.017), np.float64(-0.021), np.float64(-0.133), np.float64(0.104)]","[np.float64(-0.009), np.float64(0.033), np.float64(-0.06), np.float64(0.02)]",1.0,0.583
alpha024,"[np.float64(-0.01), np.float64(-0.13), np.float64(-0.057), np.float64(0.117)]","[np.float64(0.075), np.float64(-0.07), np.float64(-0.117), np.float64(0.355)]","[np.float64(0.099), np.float64(-0.126), np.float64(-0.025), np.float64(0.061)]",-1.0,0.583
alpha028,"[np.float64(0.006), np.float64(0.058), np.float64(0.021), np.float64(-0.018)]","[np.float64(-0.161), np.float64(-0.19), np.float64(0.268), np.float64(0.051)]","[np.float64(-0.034), np.float64(0.054), np.float64(-0.033), np.float64(0.044)]",1.0,0.583
alpha068,"[np.float64(0.033), np.float64(0.003), np.float64(0.031), np.float64(-0.003)]","[np.float64(-0.142), np.float64(0.008), np.float64(-0.11), np.float64(0.074)]","[np.float64(0.018), np.float64(-0.023), np.float64(-0.043), np.float64(-0.033)]",1.0,0.5
