candidate,symbol,incumbent,abs_ic
argmax_pullback_signed_20,BCHUSDT,max_dd_window_50,0.4263
argmax_pullback_signed_20,BCHUSDT,ema_spread_atr_20,0.6846
argmax_pullback_signed_20,BCHUSDT,ret_kurt_50,0.027
argmax_pullback_signed_20,BCHUSDT,ret_skew_200,0.1218
argmax_pullback_signed_20,BCHUSDT,range_realized_vol_50,0.0268
argmax_pullback_signed_20,BCHUSDT,hurst_diff_100_50,0.0221
argmax_pullback_signed_20,BCHUSDT,ret_kurt_200,0.0077
argmax_pullback_signed_20,BCHUSDT,hurst_100,0.1387
argmax_pullback_signed_20,BCHUSDT,btc_ret_14d,0.5476
argmax_pullback_signed_20,BCHUSDT,ret_skew_50,0.3896
argmax_pullback_signed_20,BCHUSDT,vwap_dev_20,0.3328
argmax_pullback_signed_20,BCHUSDT,ret_autocorr_lag1_50,0.0803
argmax_pullback_signed_20,BCHUSDT,sym_vs_btc_ret_7d,0.2132
argmax_pullback_signed_20,BCHUSDT,regime_momentum_signed_5d,0.3911
argmax_pullback_signed_20,LDOUSDT,max_dd_window_50,0.5405
argmax_pullback_signed_20,LDOUSDT,ema_spread_atr_20,0.623
argmax_pullback_signed_20,LDOUSDT,ret_kurt_50,0.1526
argmax_pullback_signed_20,LDOUSDT,ret_skew_200,0.2524
argmax_pullback_signed_20,LDOUSDT,range_realized_vol_50,0.0445
argmax_pullback_signed_20,LDOUSDT,hurst_diff_100_50,0.0152
argmax_pullback_signed_20,LDOUSDT,ret_kurt_200,0.4345
argmax_pullback_signed_20,LDOUSDT,hurst_100,0.064
argmax_pullback_signed_20,LDOUSDT,btc_ret_14d,0.5363
argmax_pullback_signed_20,LDOUSDT,ret_skew_50,0.3147
argmax_pullback_signed_20,LDOUSDT,vwap_dev_20,0.3378
argmax_pullback_signed_20,LDOUSDT,ret_autocorr_lag1_50,0.1721
argmax_pullback_signed_20,LDOUSDT,sym_vs_btc_ret_7d,0.3671
argmax_pullback_signed_20,LDOUSDT,regime_momentum_signed_5d,0.3921
argmax_pullback_signed_20,TRXUSDT,max_dd_window_50,0.3575
argmax_pullback_signed_20,TRXUSDT,ema_spread_atr_20,0.5367
argmax_pullback_signed_20,TRXUSDT,ret_kurt_50,0.0668
argmax_pullback_signed_20,TRXUSDT,ret_skew_200,0.1992
argmax_pullback_signed_20,TRXUSDT,range_realized_vol_50,0.0855
argmax_pullback_signed_20,TRXUSDT,hurst_diff_100_50,0.0377
argmax_pullback_signed_20,TRXUSDT,ret_kurt_200,0.001
argmax_pullback_signed_20,TRXUSDT,hurst_100,0.009
argmax_pullback_signed_20,TRXUSDT,btc_ret_14d,0.2452
argmax_pullback_signed_20,TRXUSDT,ret_skew_50,0.4037
argmax_pullback_signed_20,TRXUSDT,vwap_dev_20,0.0038
argmax_pullback_signed_20,TRXUSDT,ret_autocorr_lag1_50,0.0246
argmax_pullback_signed_20,TRXUSDT,sym_vs_btc_ret_7d,0.0379
