symbol,candidate,n_daily,ic_8h_grid,ic_daily_native,ic_daily_pvalue,regime_topbot_mean_gap_pct,regime_split_mw_pvalue
BCHUSDT,btc_adract_growth_14d_z90,1905,0.01644,0.02132,0.3524,0.2373,0.706
BCHUSDT,btc_txcnt_growth_14d_z90,1905,0.03232,0.02163,0.3455,0.8,0.0115
BCHUSDT,bch_adract_growth_14d_z90,1905,0.02099,0.01677,0.4646,0.7659,0.0281
BCHUSDT,bch_txcnt_growth_14d_z90,1905,0.02838,0.02311,0.3134,1.2599,0.0041
LDOUSDT,btc_adract_growth_14d_z90,909,0.02908,0.02144,0.5186,0.8525,0.1064
LDOUSDT,btc_txcnt_growth_14d_z90,909,-0.01274,-0.01504,0.6506,-0.0127,0.7572
TRXUSDT,btc_adract_growth_14d_z90,1885,-0.00484,0.0086,0.7089,-0.2846,0.09
TRXUSDT,btc_txcnt_growth_14d_z90,1885,0.0188,0.02076,0.3677,0.6267,0.0664
TRXUSDT,trx_adract_growth_14d_z90,1885,-0.02543,-0.02519,0.2743,-0.3267,0.2911
TRXUSDT,trx_txcnt_growth_14d_z90,1885,-0.03396,-0.03336,0.1477,-0.4452,0.01
