symbol,fold,fold_auc
AAVEUSDT,0,0.5669
AAVEUSDT,1,0.5048
AAVEUSDT,2,0.5039
AAVEUSDT,3,0.4832
AAVEUSDT,4,0.6299
AAVEUSDT,5,0.5879
AAVEUSDT,6,0.4063
AAVEUSDT,7,0.5044
ADAUSDT,0,0.4814
ADAUSDT,1,0.5743
ADAUSDT,2,0.4807
ADAUSDT,3,0.4479
ADAUSDT,4,0.5684
ADAUSDT,5,0.4638
ADAUSDT,6,0.5224
ADAUSDT,7,0.6157
ALGOUSDT,0,0.5579
ALGOUSDT,1,0.609
ALGOUSDT,2,0.5621
ALGOUSDT,3,0.3436
ALGOUSDT,4,0.533
ALGOUSDT,5,0.334
ALGOUSDT,6,0.6348
ALGOUSDT,7,0.519
ATOMUSDT,0,0.4781
ATOMUSDT,1,0.5764
ATOMUSDT,2,0.3979
ATOMUSDT,3,0.4539
ATOMUSDT,4,0.4325
ATOMUSDT,5,0.3993
ATOMUSDT,6,0.42
ATOMUSDT,7,0.5377
AVAXUSDT,0,0.4994
AVAXUSDT,1,0.4177
AVAXUSDT,2,0.4856
AVAXUSDT,3,0.5981
AVAXUSDT,4,0.3879
AVAXUSDT,5,0.5629
AVAXUSDT,6,0.58
AVAXUSDT,7,0.4915
AXSUSDT,0,0.4589
AXSUSDT,1,0.4447
AXSUSDT,2,0.4631
AXSUSDT,3,0.5224
AXSUSDT,4,0.6381
AXSUSDT,5,0.365
AXSUSDT,6,0.5433
AXSUSDT,7,0.4881
BCHUSDT,0,0.411
BCHUSDT,1,0.4883
BCHUSDT,2,0.614
BCHUSDT,3,0.5009
BCHUSDT,4,0.4633
BCHUSDT,5,0.4959
BCHUSDT,6,0.4654
BCHUSDT,7,0.5202
CRVUSDT,0,0.5229
CRVUSDT,1,0.5184
CRVUSDT,2,0.5304
CRVUSDT,3,0.53
CRVUSDT,4,0.5586
CRVUSDT,5,0.5632
CRVUSDT,6,0.5426
CRVUSDT,7,0.5063
FILUSDT,0,0.4029
FILUSDT,1,0.4555
FILUSDT,2,0.4124
FILUSDT,3,0.594
FILUSDT,4,0.3998
FILUSDT,5,0.5701
FILUSDT,6,0.536
FILUSDT,7,0.5162
FTMUSDT,0,0.5089
FTMUSDT,1,0.5692
FTMUSDT,2,0.558
FTMUSDT,3,0.5136
FTMUSDT,4,0.3643
FTMUSDT,5,0.441
FTMUSDT,6,0.5665
FTMUSDT,7,0.5288
GALAUSDT,0,0.5342
GALAUSDT,1,0.5252
GALAUSDT,2,0.6557
GALAUSDT,3,0.5819
GALAUSDT,4,0.4284
GALAUSDT,5,0.5678
GALAUSDT,6,0.3979
GALAUSDT,7,0.5519
GRTUSDT,0,0.4903
GRTUSDT,1,0.5634
GRTUSDT,2,0.4543
GRTUSDT,3,0.6755
GRTUSDT,4,0.4317
GRTUSDT,5,0.555
GRTUSDT,6,0.3491
GRTUSDT,7,0.6218
HBARUSDT,0,0.3638
HBARUSDT,1,0.6128
HBARUSDT,2,0.4398
HBARUSDT,3,0.512
HBARUSDT,4,0.4914
HBARUSDT,5,0.5339
HBARUSDT,6,0.4098
HBARUSDT,7,0.4153
ICPUSDT,0,0.5584
ICPUSDT,1,0.4508
ICPUSDT,2,0.5831
ICPUSDT,3,0.4369
ICPUSDT,4,0.4821
ICPUSDT,5,0.546
ICPUSDT,6,0.5544
ICPUSDT,7,0.5203
LDOUSDT,0,0.5054
LDOUSDT,1,0.349
LDOUSDT,2,0.485
LDOUSDT,3,0.6192
LDOUSDT,4,0.5714
LDOUSDT,5,0.4946
LDOUSDT,6,0.4945
LDOUSDT,7,0.5038
MANAUSDT,0,0.5028
MANAUSDT,1,0.4896
MANAUSDT,2,0.5197
MANAUSDT,3,0.3944
MANAUSDT,4,0.4355
MANAUSDT,5,0.5295
MANAUSDT,6,0.3564
MANAUSDT,7,0.4906
RUNEUSDT,0,0.4262
RUNEUSDT,1,0.5369
RUNEUSDT,2,0.3328
RUNEUSDT,3,0.4847
RUNEUSDT,4,0.5881
RUNEUSDT,5,0.5807
RUNEUSDT,6,0.3737
RUNEUSDT,7,0.6151
SANDUSDT,0,0.5664
SANDUSDT,1,0.5184
SANDUSDT,2,0.3799
SANDUSDT,3,0.6704
SANDUSDT,4,0.4157
SANDUSDT,5,0.5413
SANDUSDT,6,0.4595
SANDUSDT,7,0.4879
THETAUSDT,0,0.5205
THETAUSDT,1,0.5267
THETAUSDT,2,0.4322
THETAUSDT,3,0.5341
THETAUSDT,4,0.6084
THETAUSDT,5,0.4331
THETAUSDT,6,0.4756
THETAUSDT,7,0.5614
TRXUSDT,0,0.5355
TRXUSDT,1,0.5554
TRXUSDT,2,0.4648
TRXUSDT,3,0.5184
TRXUSDT,4,0.3746
TRXUSDT,5,0.4855
TRXUSDT,6,0.4527
TRXUSDT,7,0.5412
VETUSDT,0,0.4571
VETUSDT,1,0.406
VETUSDT,2,0.4583
VETUSDT,3,0.4406
VETUSDT,4,0.5463
VETUSDT,5,0.465
VETUSDT,6,0.5005
VETUSDT,7,0.581
