sym_a,sym_b,pnl_proxy_corr
AAVEUSDT,ADAUSDT,0.0415
AAVEUSDT,ALGOUSDT,0.0294
AAVEUSDT,ATOMUSDT,0.0255
AAVEUSDT,AVAXUSDT,0.0634
AAVEUSDT,AXSUSDT,0.0171
AAVEUSDT,BCHUSDT,0.1984
AAVEUSDT,CRVUSDT,0.1063
AAVEUSDT,FILUSDT,0.0553
AAVEUSDT,FTMUSDT,0.0112
AAVEUSDT,GALAUSDT,0.0034
AAVEUSDT,GRTUSDT,0.0415
AAVEUSDT,HBARUSDT,0.0214
AAVEUSDT,ICPUSDT,0.057
AAVEUSDT,LDOUSDT,0.0481
AAVEUSDT,MANAUSDT,0.005
AAVEUSDT,RUNEUSDT,0.0768
AAVEUSDT,SANDUSDT,-0.002
AAVEUSDT,THETAUSDT,0.0407
AAVEUSDT,TRXUSDT,-0.0277
AAVEUSDT,VETUSDT,0.031
ADAUSDT,ALGOUSDT,0.5363
ADAUSDT,ATOMUSDT,0.5097
ADAUSDT,AVAXUSDT,0.521
ADAUSDT,AXSUSDT,0.2111
ADAUSDT,BCHUSDT,-0.0456
ADAUSDT,CRVUSDT,0.2868
ADAUSDT,FILUSDT,0.2853
ADAUSDT,FTMUSDT,0.1938
ADAUSDT,GALAUSDT,0.2607
ADAUSDT,GRTUSDT,0.4687
ADAUSDT,HBARUSDT,0.4066
ADAUSDT,ICPUSDT,0.305
ADAUSDT,LDOUSDT,0.3605
ADAUSDT,MANAUSDT,0.2184
ADAUSDT,RUNEUSDT,0.1677
ADAUSDT,SANDUSDT,0.2173
ADAUSDT,THETAUSDT,0.3201
ADAUSDT,TRXUSDT,0.3204
ADAUSDT,VETUSDT,0.5089
ALGOUSDT,ATOMUSDT,0.5123
ALGOUSDT,AVAXUSDT,0.4404
ALGOUSDT,AXSUSDT,0.2394
ALGOUSDT,BCHUSDT,-0.0478
ALGOUSDT,CRVUSDT,0.38
ALGOUSDT,FILUSDT,0.3638
ALGOUSDT,FTMUSDT,0.2854
ALGOUSDT,GALAUSDT,0.238
ALGOUSDT,GRTUSDT,0.5416
ALGOUSDT,HBARUSDT,0.5891
ALGOUSDT,ICPUSDT,0.2936
ALGOUSDT,LDOUSDT,0.3428
ALGOUSDT,MANAUSDT,0.2038
ALGOUSDT,RUNEUSDT,0.245
ALGOUSDT,SANDUSDT,0.248
ALGOUSDT,THETAUSDT,0.4373
ALGOUSDT,TRXUSDT,0.3944
ALGOUSDT,VETUSDT,0.516
ATOMUSDT,AVAXUSDT,0.5439
ATOMUSDT,AXSUSDT,0.2757
ATOMUSDT,BCHUSDT,-0.0271
ATOMUSDT,CRVUSDT,0.4245
ATOMUSDT,FILUSDT,0.2764
ATOMUSDT,FTMUSDT,0.2325
ATOMUSDT,GALAUSDT,0.2297
ATOMUSDT,GRTUSDT,0.5378
ATOMUSDT,HBARUSDT,0.3253
ATOMUSDT,ICPUSDT,0.3385
ATOMUSDT,LDOUSDT,0.3981
ATOMUSDT,MANAUSDT,0.208
ATOMUSDT,RUNEUSDT,0.2586
ATOMUSDT,SANDUSDT,0.2335
ATOMUSDT,THETAUSDT,0.3321
ATOMUSDT,TRXUSDT,0.3685
ATOMUSDT,VETUSDT,0.3982
AVAXUSDT,AXSUSDT,0.2162
AVAXUSDT,BCHUSDT,-0.029
AVAXUSDT,CRVUSDT,0.3553
AVAXUSDT,FILUSDT,0.196
AVAXUSDT,FTMUSDT,0.2054
AVAXUSDT,GALAUSDT,0.1864
AVAXUSDT,GRTUSDT,0.434
AVAXUSDT,HBARUSDT,0.2585
AVAXUSDT,ICPUSDT,0.2163
AVAXUSDT,LDOUSDT,0.3206
AVAXUSDT,MANAUSDT,0.1681
AVAXUSDT,RUNEUSDT,0.2676
AVAXUSDT,SANDUSDT,0.196
AVAXUSDT,THETAUSDT,0.2454
AVAXUSDT,TRXUSDT,0.3135
AVAXUSDT,VETUSDT,0.3258
AXSUSDT,BCHUSDT,-0.0508
AXSUSDT,CRVUSDT,0.1653
AXSUSDT,FILUSDT,0.1896
AXSUSDT,FTMUSDT,0.1618
AXSUSDT,GALAUSDT,0.2333
AXSUSDT,GRTUSDT,0.3052
AXSUSDT,HBARUSDT,0.136
AXSUSDT,ICPUSDT,0.3027
AXSUSDT,LDOUSDT,0.4731
AXSUSDT,MANAUSDT,0.177
AXSUSDT,RUNEUSDT,0.1435
AXSUSDT,SANDUSDT,0.4363
AXSUSDT,THETAUSDT,0.3935
AXSUSDT,TRXUSDT,0.2625
AXSUSDT,VETUSDT,0.3565
BCHUSDT,CRVUSDT,-0.0316
BCHUSDT,FILUSDT,0.0371
BCHUSDT,FTMUSDT,-0.0338
BCHUSDT,GALAUSDT,-0.059
BCHUSDT,GRTUSDT,-0.0245
BCHUSDT,HBARUSDT,-0.0374
BCHUSDT,ICPUSDT,-0.0459
BCHUSDT,LDOUSDT,-0.0012
BCHUSDT,MANAUSDT,-0.0461
BCHUSDT,RUNEUSDT,-0.0441
BCHUSDT,SANDUSDT,-0.0622
BCHUSDT,THETAUSDT,-0.0636
BCHUSDT,TRXUSDT,-0.0661
BCHUSDT,VETUSDT,-0.0671
CRVUSDT,FILUSDT,0.3159
CRVUSDT,FTMUSDT,0.196
CRVUSDT,GALAUSDT,0.2687
CRVUSDT,GRTUSDT,0.3098
CRVUSDT,HBARUSDT,0.5447
CRVUSDT,ICPUSDT,0.2869
CRVUSDT,LDOUSDT,0.3222
CRVUSDT,MANAUSDT,0.2622
CRVUSDT,RUNEUSDT,0.357
CRVUSDT,SANDUSDT,0.2934
CRVUSDT,THETAUSDT,0.3193
CRVUSDT,TRXUSDT,0.335
CRVUSDT,VETUSDT,0.384
FILUSDT,FTMUSDT,0.1227
FILUSDT,GALAUSDT,0.2416
FILUSDT,GRTUSDT,0.3899
FILUSDT,HBARUSDT,0.3009
FILUSDT,ICPUSDT,0.444
FILUSDT,LDOUSDT,0.3946
FILUSDT,MANAUSDT,0.2349
FILUSDT,RUNEUSDT,0.2002
FILUSDT,SANDUSDT,0.2317
FILUSDT,THETAUSDT,0.4256
FILUSDT,TRXUSDT,0.2403
FILUSDT,VETUSDT,0.4364
FTMUSDT,GALAUSDT,0.2457
FTMUSDT,GRTUSDT,0.1987
FTMUSDT,HBARUSDT,0.1843
FTMUSDT,ICPUSDT,0.2383
FTMUSDT,LDOUSDT,0.3178
FTMUSDT,MANAUSDT,0.1727
FTMUSDT,RUNEUSDT,0.2918
FTMUSDT,SANDUSDT,0.2379
FTMUSDT,THETAUSDT,0.1631
FTMUSDT,TRXUSDT,0.1656
FTMUSDT,VETUSDT,0.175
GALAUSDT,GRTUSDT,0.2748
GALAUSDT,HBARUSDT,0.1969
GALAUSDT,ICPUSDT,0.152
GALAUSDT,LDOUSDT,0.4842
GALAUSDT,MANAUSDT,0.2327
GALAUSDT,RUNEUSDT,0.2027
GALAUSDT,SANDUSDT,0.3929
GALAUSDT,THETAUSDT,0.2738
GALAUSDT,TRXUSDT,0.2118
GALAUSDT,VETUSDT,0.296
GRTUSDT,HBARUSDT,0.3403
GRTUSDT,ICPUSDT,0.2586
GRTUSDT,LDOUSDT,0.328
GRTUSDT,MANAUSDT,0.2002
GRTUSDT,RUNEUSDT,0.3205
GRTUSDT,SANDUSDT,0.2135
GRTUSDT,THETAUSDT,0.3792
GRTUSDT,TRXUSDT,0.3724
GRTUSDT,VETUSDT,0.5062
HBARUSDT,ICPUSDT,0.2006
HBARUSDT,LDOUSDT,0.1781
HBARUSDT,MANAUSDT,0.1598
HBARUSDT,RUNEUSDT,0.1667
HBARUSDT,SANDUSDT,0.1982
HBARUSDT,THETAUSDT,0.372
HBARUSDT,TRXUSDT,0.4938
HBARUSDT,VETUSDT,0.5122
ICPUSDT,LDOUSDT,0.29
ICPUSDT,MANAUSDT,0.1326
ICPUSDT,RUNEUSDT,0.1893
ICPUSDT,SANDUSDT,0.2035
ICPUSDT,THETAUSDT,0.3768
ICPUSDT,TRXUSDT,0.2378
ICPUSDT,VETUSDT,0.4602
LDOUSDT,MANAUSDT,0.4276
LDOUSDT,RUNEUSDT,0.1668
LDOUSDT,SANDUSDT,0.4795
LDOUSDT,THETAUSDT,0.308
LDOUSDT,TRXUSDT,0.1918
LDOUSDT,VETUSDT,0.3347
MANAUSDT,RUNEUSDT,0.1946
MANAUSDT,SANDUSDT,0.8148
MANAUSDT,THETAUSDT,0.2805
MANAUSDT,TRXUSDT,0.1636
MANAUSDT,VETUSDT,0.2496
RUNEUSDT,SANDUSDT,0.171
RUNEUSDT,THETAUSDT,0.2567
RUNEUSDT,TRXUSDT,0.2575
RUNEUSDT,VETUSDT,0.2935
SANDUSDT,THETAUSDT,0.3536
SANDUSDT,TRXUSDT,0.1849
SANDUSDT,VETUSDT,0.3226
THETAUSDT,TRXUSDT,0.237
THETAUSDT,VETUSDT,0.4427
TRXUSDT,VETUSDT,0.4233
