final_rank,symbol,is_incumbent,mean_fold_auc,perm_p_value,SIGNAL_GO,gated_hit_rate,binom_p_vs_random,mean_gated_bet_pnl,composite_score
1,GALAUSDT,False,0.5304,0.082,False,0.5367,0.001,-1.0771,60.5
2,CRVUSDT,False,0.534,0.0656,True,0.504,0.3552,-0.6399,58.0
3,AAVEUSDT,False,0.5234,0.1639,False,0.5202,0.0283,0.6424,56.0
4,GRTUSDT,False,0.5176,0.2459,False,0.5234,0.0153,0.7385,54.0
5,ADAUSDT,False,0.5193,0.082,False,0.4925,0.7869,-0.4644,48.5
6,FTMUSDT,False,0.5063,0.3607,False,0.5149,0.0833,-0.2645,45.0
7,ALGOUSDT,False,0.5117,0.3279,False,0.4945,0.7138,-0.608,43.0
8,THETAUSDT,False,0.5115,0.2951,False,0.4936,0.746,-0.607,42.0
9,AVAXUSDT,False,0.5029,0.4262,False,0.4998,0.5166,0.1636,37.0
10,BCHUSDT,True,0.4949,0.7213,False,0.5133,0.0858,0.0854,33.5
11,SANDUSDT,False,0.5049,0.4262,False,0.4841,0.9325,-1.5735,33.5
12,ICPUSDT,False,0.5165,0.4426,False,0.4728,0.9908,-2.2474,29.0
13,FILUSDT,False,0.4859,0.7541,False,0.5004,0.4916,-0.0339,25.5
14,AXSUSDT,False,0.4904,0.623,False,0.4879,0.8778,-0.6184,25.0
15,LDOUSDT,True,0.5029,0.4754,False,0.4732,0.9737,-0.2699,23.5
16,RUNEUSDT,False,0.4923,0.7213,False,0.4778,0.985,-0.147,22.5
17,TRXUSDT,True,0.491,0.7541,False,0.4742,0.9964,-0.475,17.5
18,VETUSDT,False,0.4818,0.8689,False,0.4745,0.9958,-1.8552,13.5
19,MANAUSDT,False,0.4648,0.9508,False,0.4806,0.9629,-1.01,11.0
20,HBARUSDT,False,0.4724,0.8689,False,0.4737,0.9919,-1.4715,10.5
21,ATOMUSDT,False,0.462,0.9344,False,0.4615,1.0,-0.7161,4.0
