symbol,fold,architecture,auc,acc,ic,n_test
BCHUSDT,0,pooled,0.4152234420906139,0.6921708185053381,-0.15633001273899733,562
BCHUSDT,0,per_symbol,0.40325885263646205,0.7722419928825622,-0.22262329915862178,562
TRXUSDT,0,pooled,0.5505455568773424,0.5925266903914591,0.030487837649596686,562
TRXUSDT,0,per_symbol,0.518861046087724,0.5160142348754448,-0.018260198490661884,562
BCHUSDT,1,pooled,0.48691418137553255,0.5711743772241993,-0.06367463883005117,562
BCHUSDT,1,per_symbol,0.49245439081105546,0.697508896797153,-0.08193875728811298,562
TRXUSDT,1,pooled,0.5372804752066115,0.498220640569395,0.1151879242131898,562
TRXUSDT,1,per_symbol,0.5741219008264462,0.5,0.19246115124547222,562
BCHUSDT,2,pooled,0.5842127071823204,0.6298932384341637,0.24897129224852618,562
BCHUSDT,2,per_symbol,0.6320165745856353,0.6441281138790036,0.17464432839131988,562
TRXUSDT,2,pooled,0.5070199642915111,0.5246800731261426,0.07578295687420929,547
TRXUSDT,2,per_symbol,0.47394227127630795,0.4789762340036563,-0.027222875368461366,547
BCHUSDT,3,pooled,0.5504111475675456,0.597864768683274,0.144215272593146,562
BCHUSDT,3,per_symbol,0.5064878951134875,0.6352313167259787,0.009401513363973024,562
TRXUSDT,3,pooled,0.48694410444716446,0.5391459074733096,-0.10057964012558904,562
TRXUSDT,3,per_symbol,0.473046715626275,0.49110320284697506,-0.10015657471672408,562
BCHUSDT,4,pooled,0.47676447037291236,0.5177935943060499,-0.15333433804442784,562
BCHUSDT,4,per_symbol,0.45847632120796156,0.5516014234875445,-0.18270403653358044,562
LDOUSDT,4,pooled,0.6383851211026892,0.5213523131672598,0.21660446714022627,562
LDOUSDT,4,per_symbol,0.45753138352051004,0.4359430604982206,0.04848952014012871,562
TRXUSDT,4,pooled,0.42573569856985694,0.4181494661921708,-0.14214662750174858,562
TRXUSDT,4,per_symbol,0.4338833883388339,0.36298932384341637,-0.08619356715925738,562
BCHUSDT,5,pooled,0.46754621347644604,0.6014234875444839,-0.06667640054481551,562
BCHUSDT,5,per_symbol,0.4996571258199165,0.6227758007117438,-0.019256684716030502,562
LDOUSDT,5,pooled,0.5176442818364215,0.5284697508896797,0.009119502749454493,562
LDOUSDT,5,per_symbol,0.5389275738620717,0.4412811387900356,-0.015535343627582526,562
TRXUSDT,5,pooled,0.3221087851750172,0.40391459074733094,-0.23674770934155842,562
TRXUSDT,5,per_symbol,0.5023735987188287,0.4626334519572954,0.04178270927894713,562
BCHUSDT,6,pooled,0.43372340888328187,0.6174377224199288,-0.1274570049537485,562
BCHUSDT,6,per_symbol,0.45392323197169415,0.6708185053380783,-0.10522941806203706,562
LDOUSDT,6,pooled,0.4983660130718954,0.47686832740213525,-0.004175709010944399,562
LDOUSDT,6,per_symbol,0.5100503164228655,0.47686832740213525,0.04764267367713201,562
TRXUSDT,6,pooled,0.5135957159197255,0.5818505338078291,0.015803495951801316,562
TRXUSDT,6,per_symbol,0.4087163356556099,0.44661921708185054,-0.1701626798751303,562
BCHUSDT,7,pooled,0.5046231108607904,0.6221033868092691,0.007946594335040257,561
BCHUSDT,7,per_symbol,0.5277699552551707,0.7076648841354723,-0.015540373380021696,561
LDOUSDT,7,pooled,0.5995274584929757,0.5222816399286988,0.21558684670618428,561
LDOUSDT,7,per_symbol,0.5404469987228608,0.5401069518716578,0.08857308845572755,561
TRXUSDT,7,pooled,0.43260643821391487,0.48841354723707664,-0.13235007059667392,561
TRXUSDT,7,per_symbol,0.5597352024922119,0.5721925133689839,0.0595744897764994,561
