trigger,polarity,threshold,n_suppressed,n_losers,n_winners,loser_hit_rate,cf_wpnl_delta
abs_ldo_vz,kill_LOW,0.3,1,1,0,1.0,2.3586
abs_ldo_vz,kill_LOW,0.3331,2,2,0,1.0,4.8694
abs_ldo_vz,kill_LOW,0.3967,2,2,0,1.0,4.8694
abs_ldo_vz,kill_LOW,0.4604,2,2,0,1.0,4.8694
abs_ldo_vz,kill_LOW,0.524,2,2,0,1.0,4.8694
abs_ldo_vz,kill_LOW,0.5876,3,2,1,0.6667,-0.6934
abs_ldo_vz,kill_LOW,0.6513,3,2,1,0.6667,-0.6934
abs_ldo_vz,kill_LOW,0.7149,4,3,1,0.75,1.984
abs_ldo_vz,kill_LOW,0.7785,5,4,1,0.8,1.984
abs_ldo_vz,kill_LOW,0.8422,5,4,1,0.8,1.984
abs_ldo_vz,kill_LOW,0.9058,5,4,1,0.8,1.984
abs_ldo_vz,kill_LOW,0.9695,6,4,2,0.6667,-8.4032
abs_ldo_vz,kill_LOW,1.0331,6,4,2,0.6667,-8.4032
abs_ldo_vz,kill_LOW,1.0967,7,5,2,0.7143,0.3501
abs_ldo_vz,kill_LOW,1.1604,7,5,2,0.7143,0.3501
abs_ldo_vz,kill_LOW,1.224,8,6,2,0.75,3.9911
abs_ldo_vz,kill_LOW,1.2876,8,6,2,0.75,3.9911
abs_ldo_vz,kill_LOW,1.3513,8,6,2,0.75,3.9911
abs_ldo_vz,kill_LOW,1.4149,8,6,2,0.75,3.9911
abs_ldo_vz,kill_LOW,1.4786,8,6,2,0.75,3.9911
abs_ldo_vz,kill_LOW,1.5422,9,6,3,0.6667,-8.9253
