trigger,pctile,threshold,fire_rate,n_suppressed,n_kept,suppressed_mean_pnl,kept_mean_pnl,all_mean_pnl,kept_total_uplift,lossavoid_ratio
abs_btc_dd,75,10.4784,0.2499,685,2056,8.7507,11.5977,10.8863,0.7115,0.0161
abs_btc_dd,80,11.5439,0.1999,548,2193,8.4679,11.4906,10.8863,0.6043,0.0146
abs_btc_dd,82,12.1071,0.1802,494,2247,8.4928,11.4125,10.8863,0.5262,0.0142
abs_btc_dd,85,12.869,0.1499,411,2330,8.6823,11.275,10.8863,0.3888,0.0122
abs_btc_dd,88,13.7627,0.12,329,2412,8.9805,11.1462,10.8863,0.2599,0.0152
abs_btc_dd,90,14.5109,0.1,274,2467,8.7987,11.1181,10.8863,0.2319,0.0146
abs_btc_dd,92,15.0806,0.0803,220,2521,8.7128,11.0759,10.8863,0.1897,0.0182
abs_btc_dd,95,17.9317,0.05,137,2604,7.1237,11.0842,10.8863,0.198,0.0073
abs_btc_vz,75,1.0063,0.2499,685,2056,10.7658,10.9264,10.8863,0.0401,0.0263
abs_btc_vz,80,1.0812,0.1999,548,2193,11.1027,10.8322,10.8863,-0.0541,0.0292
abs_btc_vz,82,1.1121,0.1802,494,2247,11.5298,10.7448,10.8863,-0.1415,0.0263
abs_btc_vz,85,1.1853,0.1499,411,2330,11.7576,10.7325,10.8863,-0.1537,0.0292
abs_btc_vz,88,1.291,0.12,329,2412,13.2195,10.568,10.8863,-0.3183,0.0243
abs_btc_vz,90,1.3477,0.1,274,2467,13.3851,10.6087,10.8863,-0.2775,0.0219
abs_btc_vz,92,1.418,0.0803,220,2521,14.5501,10.5665,10.8863,-0.3197,0.0227
abs_btc_vz,95,1.5171,0.05,137,2604,17.9309,10.5156,10.8863,-0.3706,0.0365
abs_ldo_vz,75,1.1221,0.25,682,2046,9.0945,11.4928,10.8863,0.6066,0.0176
abs_ldo_vz,80,1.2816,0.2001,546,2182,8.2712,11.5494,10.8863,0.6631,0.0183
abs_ldo_vz,82,1.3148,0.18,491,2237,7.8676,11.5574,10.8863,0.6711,0.0204
abs_ldo_vz,85,1.3725,0.1503,410,2318,6.571,11.6578,10.8863,0.7715,0.0195
abs_ldo_vz,88,1.4763,0.1202,328,2400,5.92,11.5729,10.8863,0.6867,0.0152
abs_ldo_vz,90,1.5524,0.1001,273,2455,5.7573,11.4644,10.8863,0.5781,0.0037
abs_ldo_vz,92,1.6621,0.0803,219,2509,5.7379,11.3433,10.8863,0.457,0.0046
abs_ldo_vz,95,1.754,0.0502,137,2591,5.664,11.1698,10.8863,0.2835,0.0
