symbol,cond_var,bucket,n_candles,edge_lo,edge_hi,best_tp,best_sl,best_monthly_sharpe,static_monthly_sharpe,sharpe_lift_vs_static,note
BCHUSDT,hurst_100,0,1876,-inf,0.9990289879431473,1.0,1.5,1.4654,1.1536,0.3119,
BCHUSDT,hurst_100,1,1876,0.9990289879431473,1.0366986368305156,1.0,2.0,1.6442,1.2926,0.3516,
BCHUSDT,hurst_100,2,1876,1.0366986368305156,inf,1.5,2.0,1.145,1.0558,0.0891,
BCHUSDT,realvol_z,0,1893,-inf,-0.9533695737756014,1.0,2.0,1.6234,1.3658,0.2576,
BCHUSDT,realvol_z,1,1892,-0.9533695737756014,0.8629904747988031,1.0,2.0,1.9214,1.5795,0.3418,
BCHUSDT,realvol_z,2,1893,0.8629904747988031,inf,1.0,2.0,1.3695,1.0844,0.285,
LDOUSDT,hurst_100,0,881,-inf,0.9885225209195092,1.0,2.0,1.4215,1.1575,0.264,
LDOUSDT,hurst_100,1,880,0.9885225209195092,1.0250338456452233,1.0,1.5,1.8103,1.6028,0.2075,
LDOUSDT,hurst_100,2,881,1.0250338456452233,inf,1.0,2.0,1.1401,0.9076,0.2325,
LDOUSDT,realvol_z,0,898,-inf,-0.9826028524094498,1.0,2.0,1.7261,1.1874,0.5387,
LDOUSDT,realvol_z,1,897,-0.9826028524094498,0.9868315541881403,1.0,2.0,1.9782,1.6664,0.3118,
LDOUSDT,realvol_z,2,897,0.9868315541881403,inf,1.0,1.0,1.7844,1.5063,0.2781,
TRXUSDT,hurst_100,0,1857,-inf,0.9869627103622745,1.0,2.0,1.1046,0.882,0.2226,
TRXUSDT,hurst_100,1,1856,0.9869627103622745,1.025648606356323,1.0,2.0,1.1636,1.0981,0.0654,
TRXUSDT,hurst_100,2,1857,1.025648606356323,inf,1.0,2.0,0.9695,0.8844,0.0851,
TRXUSDT,realvol_z,0,1874,-inf,-0.8969718010288427,1.5,1.0,1.2414,1.208,0.0333,
TRXUSDT,realvol_z,1,1873,-0.8969718010288427,0.9341496343226319,1.0,2.0,1.5141,1.0978,0.4162,
TRXUSDT,realvol_z,2,1873,0.9341496343226319,inf,1.0,2.0,1.1115,0.9984,0.1132,
