symbol,f0,trigger_atr,k_candles,n_entries,confirm_rate,static_full_monthly_sharpe,scaled_monthly_sharpe,sharpe_lift
BCHUSDT,0.33,0.25,2,5727,0.8554,2.2546,2.1548,-0.0998
BCHUSDT,0.33,0.25,3,5727,0.9008,2.2546,2.1378,-0.1168
BCHUSDT,0.33,0.25,5,5727,0.9329,2.2546,2.116,-0.1386
BCHUSDT,0.33,0.5,2,5727,0.6681,2.2546,2.1769,-0.0777
BCHUSDT,0.33,0.5,3,5727,0.7624,2.2546,2.143,-0.1116
BCHUSDT,0.33,0.5,5,5727,0.8488,2.2546,2.0858,-0.1688
BCHUSDT,0.33,1.0,2,5727,0.3635,2.2546,2.002,-0.2526
BCHUSDT,0.33,1.0,3,5727,0.4887,2.2546,1.9578,-0.2969
BCHUSDT,0.33,1.0,5,5727,0.641,2.2546,1.876,-0.3786
BCHUSDT,0.5,0.25,2,5727,0.8554,2.2546,2.1902,-0.0644
BCHUSDT,0.5,0.25,3,5727,0.9008,2.2546,2.1766,-0.078
BCHUSDT,0.5,0.25,5,5727,0.9329,2.2546,2.1607,-0.0939
BCHUSDT,0.5,0.5,2,5727,0.6681,2.2546,2.2194,-0.0352
BCHUSDT,0.5,0.5,3,5727,0.7624,2.2546,2.1938,-0.0608
BCHUSDT,0.5,0.5,5,5727,0.8488,2.2546,2.1528,-0.1018
BCHUSDT,0.5,1.0,2,5727,0.3635,2.2546,2.1268,-0.1278
BCHUSDT,0.5,1.0,3,5727,0.4887,2.2546,2.0993,-0.1554
BCHUSDT,0.5,1.0,5,5727,0.641,2.2546,2.0465,-0.2081
BCHUSDT,0.67,0.25,2,5727,0.8554,2.2546,2.2175,-0.0371
BCHUSDT,0.67,0.25,3,5727,0.9008,2.2546,2.2082,-0.0464
BCHUSDT,0.67,0.25,5,5727,0.9329,2.2546,2.1981,-0.0565
BCHUSDT,0.67,0.5,2,5727,0.6681,2.2546,2.2408,-0.0138
BCHUSDT,0.67,0.5,3,5727,0.7624,2.2546,2.2248,-0.0298
BCHUSDT,0.67,0.5,5,5727,0.8488,2.2546,2.1996,-0.055
BCHUSDT,0.67,1.0,2,5727,0.3635,2.2546,2.1923,-0.0623
BCHUSDT,0.67,1.0,3,5727,0.4887,2.2546,2.1777,-0.077
BCHUSDT,0.67,1.0,5,5727,0.641,2.2546,2.1489,-0.1057
LDOUSDT,0.33,0.25,2,2741,0.865,2.3804,2.0635,-0.3168
LDOUSDT,0.33,0.25,3,2741,0.9004,2.3804,2.0392,-0.3411
LDOUSDT,0.33,0.25,5,2741,0.9296,2.3804,2.0422,-0.3382
LDOUSDT,0.33,0.5,2,2741,0.6844,2.3804,2.0439,-0.3365
LDOUSDT,0.33,0.5,3,2741,0.7734,2.3804,2.0113,-0.3691
LDOUSDT,0.33,0.5,5,2741,0.8417,2.3804,2.0013,-0.3791
LDOUSDT,0.33,1.0,2,2741,0.367,2.3804,2.0774,-0.3029
LDOUSDT,0.33,1.0,3,2741,0.506,2.3804,2.0206,-0.3598
LDOUSDT,0.33,1.0,5,2741,0.6567,2.3804,1.9114,-0.469
LDOUSDT,0.5,0.25,2,2741,0.865,2.3804,2.1612,-0.2192
