symbol,trigger_atr,k_candles,n_confirmed,n_not_confirmed,wr_confirmed,wr_not_confirmed,wr_gap,mean_pnl_confirmed,mean_pnl_not_confirmed
BCHUSDT,0.25,2,4899,828,0.7481,0.506,0.2421,4.4549,1.4329
BCHUSDT,0.25,3,5159,568,0.7494,0.3838,0.3656,4.46,0.0036
BCHUSDT,0.25,5,5343,384,0.7496,0.2057,0.5438,4.4625,-2.1662
BCHUSDT,0.5,2,3826,1901,0.7818,0.575,0.2068,4.8963,2.2503
BCHUSDT,0.5,3,4366,1361,0.7803,0.4974,0.2829,4.8402,1.3804
BCHUSDT,0.5,5,4861,866,0.7801,0.3372,0.4429,4.8367,-0.5772
BCHUSDT,1.0,2,2082,3645,0.8204,0.6519,0.1685,5.4362,3.2079
BCHUSDT,1.0,3,2799,2928,0.8171,0.6137,0.2033,5.3595,2.7357
BCHUSDT,1.0,5,3671,2056,0.818,0.5258,0.2923,5.3588,1.6241
LDOUSDT,0.25,2,2371,370,0.6963,0.4054,0.2909,5.1785,0.8355
LDOUSDT,0.25,3,2468,273,0.6985,0.2821,0.4165,5.2262,-1.1386
LDOUSDT,0.25,5,2548,193,0.6994,0.0984,0.6009,5.2449,-4.024
LDOUSDT,0.5,2,1876,865,0.7367,0.4844,0.2523,5.8606,1.8415
LDOUSDT,0.5,3,2120,621,0.734,0.3945,0.3394,5.8228,0.3914
LDOUSDT,0.5,5,2307,434,0.7378,0.2281,0.5096,5.8703,-2.2013
LDOUSDT,1.0,2,1006,1735,0.7714,0.5908,0.1806,6.3754,3.5584
LDOUSDT,1.0,3,1387,1354,0.7823,0.5288,0.2535,6.5729,2.5634
LDOUSDT,1.0,5,1800,941,0.7883,0.406,0.3824,6.6938,0.5725
TRXUSDT,0.25,2,4850,819,0.7553,0.4774,0.2778,3.5207,1.1714
TRXUSDT,0.25,3,5096,573,0.7541,0.3682,0.3859,3.517,0.1962
TRXUSDT,0.25,5,5279,390,0.7532,0.2,0.5532,3.5231,-1.4449
TRXUSDT,0.5,2,3864,1805,0.7816,0.5729,0.2087,3.738,1.9895
TRXUSDT,0.5,3,4373,1296,0.7807,0.4938,0.2869,3.7242,1.3496
TRXUSDT,0.5,5,4833,836,0.7786,0.3481,0.4305,3.7332,-0.0092
TRXUSDT,1.0,2,2083,3586,0.8296,0.6486,0.1809,4.0603,2.6707
TRXUSDT,1.0,3,2822,2847,0.8193,0.6119,0.2074,3.9937,2.376
TRXUSDT,1.0,5,3698,1971,0.8167,0.5246,0.2921,4.0417,1.567
