symbol,trigger_atr,k_candles,n_entries,no_confirm_exit_rate,static_monthly_sharpe,early_exit_monthly_sharpe,sharpe_lift
BCHUSDT,0.25,2,5727,0.1083,2.2546,2.2725,0.0179
BCHUSDT,0.25,3,5727,0.0555,2.2546,2.2992,0.0446
BCHUSDT,0.25,4,5727,0.0309,2.2546,2.2865,0.0319
BCHUSDT,0.25,5,5727,0.0187,2.2546,2.2874,0.0328
BCHUSDT,0.5,2,5727,0.2778,2.2546,2.2463,-0.0083
BCHUSDT,0.5,3,5727,0.1676,2.2546,2.3578,0.1032
BCHUSDT,0.5,4,5727,0.106,2.2546,2.3799,0.1253
BCHUSDT,0.5,5,5727,0.0693,2.2546,2.3519,0.0973
BCHUSDT,0.75,2,5727,0.4468,2.2546,2.0676,-0.187
BCHUSDT,0.75,3,5727,0.3031,2.2546,2.2881,0.0335
BCHUSDT,0.75,4,5727,0.2151,2.2546,2.3023,0.0477
BCHUSDT,0.75,5,5727,0.1568,2.2546,2.3297,0.0751
BCHUSDT,1.0,2,5727,0.5717,2.2546,1.859,-0.3956
BCHUSDT,1.0,3,5727,0.4247,2.2546,2.0849,-0.1697
BCHUSDT,1.0,4,5727,0.3234,2.2546,2.1143,-0.1404
BCHUSDT,1.0,5,5727,0.2478,2.2546,2.1844,-0.0702
LDOUSDT,0.25,2,2741,0.0978,2.3804,2.3462,-0.0341
LDOUSDT,0.25,3,2741,0.0533,2.3804,2.3245,-0.0559
LDOUSDT,0.25,4,2741,0.0274,2.3804,2.33,-0.0504
LDOUSDT,0.25,5,2741,0.0139,2.3804,2.3651,-0.0152
LDOUSDT,0.5,2,2741,0.2579,2.3804,2.3285,-0.0519
LDOUSDT,0.5,3,2741,0.1492,2.3804,2.3452,-0.0352
LDOUSDT,0.5,4,2741,0.0919,2.3804,2.3872,0.0068
LDOUSDT,0.5,5,2741,0.0595,2.3804,2.3669,-0.0135
LDOUSDT,0.75,2,2741,0.4276,2.3804,2.3549,-0.0255
LDOUSDT,0.75,3,2741,0.2773,2.3804,2.4464,0.066
LDOUSDT,0.75,4,2741,0.189,2.3804,2.4013,0.0209
LDOUSDT,0.75,5,2741,0.1302,2.3804,2.4076,0.0273
LDOUSDT,1.0,2,2741,0.5637,2.3804,2.3943,0.0139
LDOUSDT,1.0,3,2741,0.3958,2.3804,2.4962,0.1159
LDOUSDT,1.0,4,2741,0.2864,2.3804,2.4664,0.086
LDOUSDT,1.0,5,2741,0.2039,2.3804,2.4323,0.052
TRXUSDT,0.25,2,5669,0.1065,1.4196,1.4508,0.0312
TRXUSDT,0.25,3,5669,0.0573,1.4196,1.4263,0.0067
TRXUSDT,0.25,4,5669,0.0323,1.4196,1.4305,0.0108
TRXUSDT,0.25,5,5669,0.0183,1.4196,1.4199,0.0003
TRXUSDT,0.5,2,5669,0.2662,1.4196,1.447,0.0273
TRXUSDT,0.5,3,5669,0.1644,1.4196,1.4822,0.0625
TRXUSDT,0.5,4,5669,0.1051,1.4196,1.4612,0.0415
TRXUSDT,0.5,5,5669,0.0702,1.4196,1.4307,0.0111
TRXUSDT,0.75,2,5669,0.4352,1.4196,1.4289,0.0092
TRXUSDT,0.75,3,5669,0.2986,1.4196,1.472,0.0523
TRXUSDT,0.75,4,5669,0.2067,1.4196,1.4726,0.0529
TRXUSDT,0.75,5,5669,0.1461,1.4196,1.4426,0.023
TRXUSDT,1.0,2,5669,0.5678,1.4196,1.4127,-0.0069
TRXUSDT,1.0,3,5669,0.4181,1.4196,1.4774,0.0577
TRXUSDT,1.0,4,5669,0.3145,1.4196,1.4772,0.0576
TRXUSDT,1.0,5,5669,0.241,1.4196,1.4539,0.0342
