symbol,trigger_atr,k_candles,n_cut,cut_held_to_barrier_mean_pnl,cut_held_to_barrier_wr,kept_held_to_barrier_mean_pnl,kept_held_to_barrier_wr,cuts_losers
BCHUSDT,0.25,2,620,3.2935,0.6742,4.106,0.7178,False
BCHUSDT,0.25,3,318,3.4301,0.6792,4.0526,0.7151,False
BCHUSDT,0.25,4,177,3.4695,0.6836,4.0355,0.7141,False
BCHUSDT,0.25,5,107,3.8134,0.7196,4.0219,0.713,False
BCHUSDT,0.5,2,1591,3.4867,0.6864,4.2224,0.7234,False
BCHUSDT,0.5,3,960,3.7173,0.7031,4.0786,0.7151,False
BCHUSDT,0.5,4,607,3.7479,0.7117,4.05,0.7133,False
BCHUSDT,0.5,5,397,3.7807,0.7254,4.0357,0.7122,False
BCHUSDT,0.75,2,2559,3.8411,0.7116,4.1609,0.7143,False
BCHUSDT,0.75,3,1736,3.9046,0.7166,4.0673,0.7116,False
BCHUSDT,0.75,4,1232,3.9835,0.7289,4.0275,0.7088,False
BCHUSDT,0.75,5,898,4.0744,0.7428,4.0075,0.7076,False
BCHUSDT,1.0,2,3274,4.0377,0.7254,3.9917,0.6967,False
BCHUSDT,1.0,3,2432,4.1558,0.7381,3.9164,0.6947,False
BCHUSDT,1.0,4,1852,4.2251,0.7468,3.919,0.697,False
BCHUSDT,1.0,5,1419,4.2722,0.759,3.9343,0.698,False
LDOUSDT,0.25,2,268,3.0962,0.556,4.7544,0.668,False
LDOUSDT,0.25,3,146,2.4037,0.5205,4.7154,0.6647,False
LDOUSDT,0.25,4,75,1.7072,0.4667,4.6734,0.6624,False
LDOUSDT,0.25,5,38,0.8456,0.4737,4.645,0.6596,False
LDOUSDT,0.5,2,707,3.4548,0.5912,4.9876,0.6799,False
LDOUSDT,0.5,3,409,3.3903,0.5966,4.8031,0.6677,False
LDOUSDT,0.5,4,252,2.9016,0.5754,4.7635,0.6653,False
LDOUSDT,0.5,5,163,3.0517,0.6012,4.6897,0.6606,False
LDOUSDT,0.75,2,1172,4.2533,0.6399,4.8455,0.6699,False
LDOUSDT,0.75,3,760,3.9368,0.625,4.8438,0.6694,False
LDOUSDT,0.75,4,518,3.7786,0.6255,4.7819,0.6644,False
LDOUSDT,0.75,5,357,3.964,0.6471,4.6864,0.6586,False
LDOUSDT,1.0,2,1545,4.6638,0.6628,4.4999,0.6497,False
LDOUSDT,1.0,3,1085,4.5523,0.6581,4.6185,0.6564,False
LDOUSDT,1.0,4,785,4.5856,0.6662,4.595,0.6534,False
LDOUSDT,1.0,5,559,4.6463,0.6762,4.5784,0.6522,False
TRXUSDT,0.25,2,604,2.7257,0.6474,3.2356,0.7232,False
TRXUSDT,0.25,3,325,2.7439,0.6492,3.2079,0.7191,False
TRXUSDT,0.25,4,183,2.9452,0.6776,3.1892,0.7164,False
TRXUSDT,0.25,5,104,3.5168,0.75,3.175,0.7145,False
TRXUSDT,0.5,2,1509,3.0083,0.6852,3.2441,0.726,False
TRXUSDT,0.5,3,932,3.1028,0.6867,3.1967,0.7207,False
TRXUSDT,0.5,4,596,3.2623,0.7064,3.1718,0.7161,False
TRXUSDT,0.5,5,398,3.4861,0.7312,3.1583,0.7139,False
TRXUSDT,0.75,2,2467,3.2658,0.7126,3.1162,0.7171,False
TRXUSDT,0.75,3,1693,3.3421,0.7171,3.1128,0.7143,False
TRXUSDT,0.75,4,1172,3.4149,0.7235,3.1204,0.7129,False
TRXUSDT,0.75,5,828,3.4527,0.7319,3.1349,0.7122,False
TRXUSDT,1.0,2,3219,3.3398,0.7223,2.9731,0.7057,False
TRXUSDT,1.0,3,2370,3.4888,0.7346,2.9604,0.7011,False
TRXUSDT,1.0,4,1783,3.5503,0.742,3.012,0.7028,False
TRXUSDT,1.0,5,1366,3.6733,0.7562,3.0251,0.7021,False
