symbol,feature,n,adf_p,stationary
BCHUSDT,max_dd_window_50,365,0.2262,False
BCHUSDT,ema_spread_atr_20,365,0.0254,True
BCHUSDT,ret_kurt_50,365,0.8414,False
BCHUSDT,ret_skew_200,365,0.4012,False
BCHUSDT,range_realized_vol_50,365,0.4985,False
BCHUSDT,hurst_diff_100_50,365,0.0617,False
BCHUSDT,ret_kurt_200,365,0.9539,False
BCHUSDT,hurst_100,365,0.2945,False
BCHUSDT,btc_ret_14d,365,0.0374,True
BCHUSDT,ret_skew_50,365,0.54,False
BCHUSDT,vwap_dev_20,365,0.0723,False
BCHUSDT,ret_autocorr_lag1_50,365,0.4477,False
BCHUSDT,sym_vs_btc_ret_7d,365,0.0082,True
BCHUSDT,regime_momentum_signed_5d,365,0.0005,True
LDOUSDT,max_dd_window_50,365,0.9061,False
LDOUSDT,ema_spread_atr_20,365,0.1298,False
LDOUSDT,ret_kurt_50,365,0.015,True
LDOUSDT,ret_skew_200,365,0.2025,False
LDOUSDT,range_realized_vol_50,365,0.0827,False
LDOUSDT,hurst_diff_100_50,365,0.008,True
LDOUSDT,ret_kurt_200,365,0.4984,False
LDOUSDT,hurst_100,365,0.0014,True
LDOUSDT,btc_ret_14d,365,0.0374,True
LDOUSDT,ret_skew_50,365,0.5601,False
LDOUSDT,vwap_dev_20,365,0.1447,False
LDOUSDT,ret_autocorr_lag1_50,365,0.4793,False
LDOUSDT,sym_vs_btc_ret_7d,365,0.0116,True
LDOUSDT,regime_momentum_signed_5d,365,0.0,True
TRXUSDT,max_dd_window_50,365,0.4075,False
TRXUSDT,ema_spread_atr_20,365,0.0017,True
TRXUSDT,ret_kurt_50,365,0.6262,False
TRXUSDT,ret_skew_200,365,0.0711,False
TRXUSDT,range_realized_vol_50,365,0.5547,False
TRXUSDT,hurst_diff_100_50,365,0.0316,True
TRXUSDT,ret_kurt_200,365,0.0595,False
TRXUSDT,hurst_100,365,0.1542,False
TRXUSDT,btc_ret_14d,365,0.0374,True
TRXUSDT,ret_skew_50,365,0.5849,False
TRXUSDT,vwap_dev_20,365,0.0446,True
TRXUSDT,ret_autocorr_lag1_50,365,0.002,True
TRXUSDT,sym_vs_btc_ret_7d,365,0.001,True
TRXUSDT,regime_momentum_signed_5d,365,0.0019,True
