sym_a,sym_b,ret_corr_pearson,rv_corr_pearson,is_within_candidate_universe,is_within_anchor_universe,is_cross_universe
ATOMUSDT,RUNEUSDT,0.5955950149861313,0.748297292894283,True,False,False
ATOMUSDT,UNIUSDT,0.6311921680040213,0.7368183127971479,True,False,False
ATOMUSDT,BCHUSDT,0.616688207415417,0.687346673480899,False,False,True
ATOMUSDT,LDOUSDT,0.5999405338128054,0.6379165257356781,False,False,True
ATOMUSDT,TRXUSDT,0.5529588854453054,0.7437113704091273,False,False,True
RUNEUSDT,UNIUSDT,0.6079051526450451,0.695184575137798,True,False,False
RUNEUSDT,TRXUSDT,0.4777254201785429,0.5863717979816757,False,False,True
BCHUSDT,RUNEUSDT,0.5712526605777059,0.587150094140021,False,False,True
BCHUSDT,UNIUSDT,0.6023464972726201,0.6723931693411294,False,False,True
BCHUSDT,LDOUSDT,0.47788354831024715,0.3472709972362658,False,True,False
BCHUSDT,TRXUSDT,0.5976056273528085,0.6010243431165159,False,True,False
LDOUSDT,RUNEUSDT,0.5105240742580394,0.41197536888854147,False,False,True
LDOUSDT,UNIUSDT,0.5861620585018674,0.4791613272619139,False,False,True
LDOUSDT,TRXUSDT,0.3336410525505972,0.4240544218297904,False,True,False
TRXUSDT,UNIUSDT,0.5213912005376075,0.5770467899469331,False,False,True
