symbol,slice,train_n,test_n,auc,tb_long,tb_short,tb_timeout
ATOMUSDT,slice_2023Q1,2806,540,0.45693911622620065,898,1773,135
ATOMUSDT,slice_2024Q1,3904,540,0.5947215496368039,1170,2568,166
ATOMUSDT,slice_2025Q1,4906,540,0.5197554793499329,1440,3268,198
RUNEUSDT,slice_2023Q1,2177,540,0.5068949954869121,701,1407,69
RUNEUSDT,slice_2024Q1,3275,540,0.5654863732892874,1047,2139,89
RUNEUSDT,slice_2025Q1,4277,540,0.5218946789050232,1390,2783,104
AVAXUSDT,slice_2023Q1,2120,540,0.6060244664895827,638,1382,100
AVAXUSDT,slice_2024Q1,3218,540,0.44119213180479855,900,2196,122
AVAXUSDT,slice_2025Q1,4220,540,0.5143159943014003,1217,2845,158
HBARUSDT,slice_2023Q1,1580,540,0.4119205997254778,438,1039,103
HBARUSDT,slice_2024Q1,2678,540,0.5020008858884085,718,1792,168
HBARUSDT,slice_2025Q1,3680,540,0.4586121558475391,1026,2457,197
ICPUSDT,slice_2023Q1,1124,540,0.4872878334046499,268,787,69
ICPUSDT,slice_2024Q1,2222,540,0.540569536829844,575,1542,105
ICPUSDT,slice_2025Q1,3224,540,0.44567452449144457,882,2203,139
ALGOUSDT,slice_2023Q1,2416,540,0.40017870106662196,703,1568,145
ALGOUSDT,slice_2024Q1,3514,540,0.41336766187956664,975,2358,181
ALGOUSDT,slice_2025Q1,4516,540,0.5221249489031203,1273,3022,221
