symbol,slice,feature,importance,rank
ATOMUSDT,slice_2023Q1,max_dd_window_50,80.0,1
ATOMUSDT,slice_2023Q1,ema_spread_atr_20,31.0,10
ATOMUSDT,slice_2023Q1,ret_kurt_50,59.0,5
ATOMUSDT,slice_2023Q1,ret_skew_200,31.0,10
ATOMUSDT,slice_2023Q1,range_realized_vol_50,60.0,4
ATOMUSDT,slice_2023Q1,hurst_diff_100_50,14.0,14
ATOMUSDT,slice_2023Q1,ret_kurt_200,41.0,7
ATOMUSDT,slice_2023Q1,hurst_100,36.0,9
ATOMUSDT,slice_2023Q1,btc_ret_14d,41.0,7
ATOMUSDT,slice_2023Q1,ret_skew_50,71.0,2
ATOMUSDT,slice_2023Q1,vwap_dev_20,43.0,6
ATOMUSDT,slice_2023Q1,ret_autocorr_lag1_50,62.0,3
ATOMUSDT,slice_2023Q1,sym_vs_btc_ret_7d,26.0,12
ATOMUSDT,slice_2023Q1,regime_momentum_signed_5d,17.0,13
ATOMUSDT,slice_2024Q1,max_dd_window_50,93.0,1
ATOMUSDT,slice_2024Q1,ema_spread_atr_20,27.0,11
ATOMUSDT,slice_2024Q1,ret_kurt_50,62.0,3
ATOMUSDT,slice_2024Q1,ret_skew_200,43.0,7
ATOMUSDT,slice_2024Q1,range_realized_vol_50,59.0,5
ATOMUSDT,slice_2024Q1,hurst_diff_100_50,30.0,10
ATOMUSDT,slice_2024Q1,ret_kurt_200,72.0,2
ATOMUSDT,slice_2024Q1,hurst_100,24.0,12
ATOMUSDT,slice_2024Q1,btc_ret_14d,40.0,8
ATOMUSDT,slice_2024Q1,ret_skew_50,61.0,4
ATOMUSDT,slice_2024Q1,vwap_dev_20,35.0,9
ATOMUSDT,slice_2024Q1,ret_autocorr_lag1_50,56.0,6
ATOMUSDT,slice_2024Q1,sym_vs_btc_ret_7d,10.0,14
ATOMUSDT,slice_2024Q1,regime_momentum_signed_5d,20.0,13
ATOMUSDT,slice_2025Q1,max_dd_window_50,76.0,1
ATOMUSDT,slice_2025Q1,ema_spread_atr_20,40.0,10
ATOMUSDT,slice_2025Q1,ret_kurt_50,55.0,3
ATOMUSDT,slice_2025Q1,ret_skew_200,47.0,7
ATOMUSDT,slice_2025Q1,range_realized_vol_50,52.0,5
ATOMUSDT,slice_2025Q1,hurst_diff_100_50,44.0,9
ATOMUSDT,slice_2025Q1,ret_kurt_200,58.0,2
ATOMUSDT,slice_2025Q1,hurst_100,27.0,11
ATOMUSDT,slice_2025Q1,btc_ret_14d,54.0,4
ATOMUSDT,slice_2025Q1,ret_skew_50,47.0,7
