T_R,T_max,spread,N_days,M_candles,total_wpnl_orig,total_wpnl_scaled,delta_wpnl,sharpe_scaled,sharpe_delta,n_partial_scaled_trades,n_zero_scaled_trades
7.0,8.0,1.0,21,42,88.766,85.554,-3.212,1.2907,-0.0201,5,5
7.0,8.0,1.0,21,63,88.766,85.554,-3.212,1.2907,-0.0201,5,5
7.0,8.0,1.0,21,21,88.766,85.554,-3.212,1.2907,-0.0201,5,5
6.0,8.0,2.0,21,42,88.766,81.506,-7.26,1.2528,-0.0579,8,5
6.0,8.0,2.0,21,21,88.766,81.506,-7.26,1.2528,-0.0579,8,5
6.0,8.0,2.0,21,63,88.766,81.506,-7.26,1.2528,-0.0579,8,5
7.0,10.0,3.0,21,42,88.766,82.403,-6.364,1.2465,-0.0643,7,2
7.0,10.0,3.0,21,63,88.766,82.403,-6.364,1.2465,-0.0643,7,2
7.0,10.0,3.0,21,21,88.766,82.403,-6.364,1.2465,-0.0643,7,2
6.0,10.0,4.0,21,21,88.766,80.584,-8.182,1.2327,-0.0781,10,2
6.0,10.0,4.0,21,42,88.766,80.584,-8.182,1.2327,-0.0781,10,2
6.0,10.0,4.0,21,63,88.766,80.584,-8.182,1.2327,-0.0781,10,2
5.0,8.0,3.0,21,42,88.766,79.04,-9.727,1.2228,-0.0879,9,5
5.0,8.0,3.0,21,63,88.766,79.04,-9.727,1.2228,-0.0879,9,5
5.0,8.0,3.0,21,21,88.766,79.04,-9.727,1.2228,-0.0879,9,5
6.0,7.0,1.0,21,21,88.766,77.457,-11.309,1.206,-0.1047,8,5
6.0,7.0,1.0,21,42,88.766,77.457,-11.309,1.206,-0.1047,8,5
6.0,7.0,1.0,21,63,88.766,77.457,-11.309,1.206,-0.1047,8,5
5.0,10.0,5.0,21,42,88.766,78.183,-10.583,1.2052,-0.1056,11,2
5.0,10.0,5.0,21,21,88.766,78.183,-10.583,1.2052,-0.1056,11,2
5.0,10.0,5.0,21,63,88.766,78.183,-10.583,1.2052,-0.1056,11,2
4.0,8.0,4.0,21,42,88.766,77.013,-11.753,1.1972,-0.1136,12,5
4.0,8.0,4.0,21,21,88.766,77.013,-11.753,1.1972,-0.1136,12,5
4.0,8.0,4.0,21,63,88.766,77.013,-11.753,1.1972,-0.1136,12,5
4.0,10.0,6.0,21,63,88.766,76.888,-11.878,1.1898,-0.121,13,1
4.0,10.0,6.0,21,42,88.766,76.888,-11.878,1.1898,-0.121,13,1
4.0,10.0,6.0,21,21,88.766,76.888,-11.878,1.1898,-0.121,13,1
7.0,10.0,3.0,30,21,88.766,80.003,-8.763,1.1874,-0.1234,7,2
7.0,10.0,3.0,30,63,88.766,80.003,-8.763,1.1874,-0.1234,7,2
7.0,10.0,3.0,30,42,88.766,80.003,-8.763,1.1874,-0.1234,7,2
5.0,7.0,2.0,21,63,88.766,75.782,-12.984,1.1813,-0.1294,9,5
5.0,7.0,2.0,21,21,88.766,75.782,-12.984,1.1813,-0.1294,9,5
5.0,7.0,2.0,21,42,88.766,75.782,-12.984,1.1813,-0.1294,9,5
4.0,7.0,3.0,21,42,88.766,74.226,-14.54,1.1605,-0.1503,12,5
4.0,7.0,3.0,21,63,88.766,74.226,-14.54,1.1605,-0.1503,12,5
4.0,7.0,3.0,21,21,88.766,74.226,-14.54,1.1605,-0.1503,12,5
5.0,6.0,1.0,21,21,88.766,74.107,-14.659,1.1557,-0.155,9,8
5.0,6.0,1.0,21,63,88.766,74.107,-14.659,1.1557,-0.155,9,8
5.0,6.0,1.0,21,42,88.766,74.107,-14.659,1.1557,-0.155,9,8
6.0,10.0,4.0,30,42,88.766,76.548,-12.218,1.151,-0.1598,11,0
6.0,10.0,4.0,30,21,88.766,76.548,-12.218,1.151,-0.1598,11,0
6.0,10.0,4.0,30,63,88.766,76.548,-12.218,1.151,-0.1598,11,0
4.0,6.0,2.0,21,42,88.766,72.642,-16.124,1.1359,-0.1749,12,8
4.0,6.0,2.0,21,63,88.766,72.642,-16.124,1.1359,-0.1749,12,8
4.0,6.0,2.0,21,21,88.766,72.642,-16.124,1.1359,-0.1749,12,8
4.0,5.0,1.0,21,21,88.766,71.959,-16.807,1.1243,-0.1864,12,9
4.0,5.0,1.0,21,63,88.766,71.959,-16.807,1.1243,-0.1864,12,9
4.0,5.0,1.0,21,42,88.766,71.959,-16.807,1.1243,-0.1864,12,9
7.0,8.0,1.0,45,21,88.766,76.575,-12.191,1.1221,-0.1887,6,4
5.0,10.0,5.0,30,42,88.766,70.743,-18.023,1.0795,-0.2313,14,0
5.0,10.0,5.0,30,63,88.766,70.743,-18.023,1.0795,-0.2313,14,0
5.0,10.0,5.0,30,21,88.766,70.743,-18.023,1.0795,-0.2313,14,0
6.0,8.0,2.0,45,21,88.766,70.456,-18.31,1.0759,-0.2349,12,4
7.0,8.0,1.0,30,21,88.766,72.111,-16.655,1.0561,-0.2547,7,6
