outer_seed,window_start_idx,window_start_month,n_trades_in_bootstrap,sharpe_orig,sharpe_scaled,delta_sharpe,n_partial_scaled,n_zero_scaled,total_wpnl_scaled
0,0,2022-02,106,-0.9967,-1.1952,-0.1985,17,15,-40.141
1,0,2022-02,106,0.6423,0.6241,-0.0181,10,8,30.572
2,0,2022-02,106,0.679,0.7535,0.0745,11,10,35.851
3,0,2022-02,106,0.0285,-0.1293,-0.1578,8,6,-5.008
4,0,2022-02,106,-0.6298,-0.2247,0.4051,15,14,-9.114
5,0,2022-02,106,0.6003,0.4707,-0.1296,13,11,18.717
6,0,2022-02,106,0.6194,0.9242,0.3048,15,9,51.726
7,0,2022-02,106,0.6093,-0.162,-0.7712,18,10,-5.943
8,0,2022-02,106,0.6292,0.6587,0.0295,10,5,32.224
9,0,2022-02,106,0.4903,0.458,-0.0323,11,10,15.75
0,12,2023-03,118,1.354,1.0004,-0.3536,10,4,55.918
1,12,2023-03,118,-0.017,0.343,0.36,24,11,25.207
2,12,2023-03,118,1.4638,1.2125,-0.2513,5,3,105.813
3,12,2023-03,118,0.7603,0.6049,-0.1553,10,10,30.529
4,12,2023-03,118,1.6493,1.6409,-0.0084,11,4,111.803
5,12,2023-03,118,0.5914,0.9545,0.3631,13,10,41.482
6,12,2023-03,118,1.5029,1.2837,-0.2192,9,4,89.019
7,12,2023-03,118,1.318,0.4641,-0.8539,15,10,22.954
8,12,2023-03,118,1.005,0.7979,-0.2071,12,10,50.149
9,12,2023-03,118,0.4112,0.7074,0.2962,17,7,37.985
0,24,2024-03,67,1.2378,1.5343,0.2965,6,6,50.836
1,24,2024-03,67,2.7588,1.4121,-1.3467,7,4,32.032
2,24,2024-03,67,1.4189,1.8414,0.4225,4,1,60.103
3,24,2024-03,67,2.0282,1.8254,-0.2028,3,1,63.537
4,24,2024-03,67,2.4768,2.4013,-0.0755,2,1,109.15
5,24,2024-03,67,0.3768,0.3681,-0.0087,8,6,16.009
6,24,2024-03,67,0.4729,1.1919,0.719,6,4,30.641
7,24,2024-03,67,2.7019,1.9478,-0.7541,3,2,81.466
8,24,2024-03,67,3.0906,3.0362,-0.0544,3,1,113.72
9,24,2024-03,67,0.6691,0.8124,0.1432,8,6,26.979
