feature,is_missing_in_parquet,is_nan_rows,is_nan_frac,oos_nan_frac,verdict
dot_vs_btc_ret_ratio_30,False,4860,1.0,1.0,ALL-NaN-IS (skip-feature-or-handle-NaN)
eth_vs_btc_ret_ratio_30,False,4860,1.0,1.0,ALL-NaN-IS (skip-feature-or-handle-NaN)
long_short_zscore_30,False,2095,0.4311,0.0,HIGH-NaN-IS
oi_delta_30_z90,False,1658,0.3412,0.0,HIGH-NaN-IS
btc_funding_spread_30_90,False,117,0.0241,0.0448,MINOR-HEAD-NaN-IS
regime_momentum_signed_5d,False,99,0.0204,0.0,MINOR-HEAD-NaN-IS
funding_rate_zscore_90,False,91,0.0187,0.0448,MINOR-HEAD-NaN-IS
vol_range_spike_72,False,71,0.0146,0.0,MINOR-HEAD-NaN-IS
funding_rate_zscore_30,False,57,0.0117,0.0448,MINOR-HEAD-NaN-IS
stat_autocorr_lag5,False,50,0.0103,0.0,MINOR-HEAD-NaN-IS
trend_aroon_osc_50,False,50,0.0103,0.0,MINOR-HEAD-NaN-IS
mom_macd_hist_12_26_9,False,33,0.0068,0.0,MINOR-HEAD-NaN-IS
mom_macd_line_12_26_9,False,25,0.0051,0.0,MINOR-HEAD-NaN-IS
vol_range_spike_24,False,23,0.0047,0.0,MINOR-HEAD-NaN-IS
stat_kurtosis_20,False,20,0.0041,0.0,MINOR-HEAD-NaN-IS
stat_skew_20,False,20,0.0041,0.0,MINOR-HEAD-NaN-IS
vol_bb_bandwidth_20,False,19,0.0039,0.0,MINOR-HEAD-NaN-IS
mr_pct_from_low_20,False,19,0.0039,0.0,MINOR-HEAD-NaN-IS
mr_pct_from_high_20,False,19,0.0039,0.0,MINOR-HEAD-NaN-IS
vol_volume_rel_20,False,19,0.0039,0.0,MINOR-HEAD-NaN-IS
mom_stoch_d_14,False,17,0.0035,0.0,MINOR-HEAD-NaN-IS
mom_stoch_k_14,False,15,0.0031,0.0,MINOR-HEAD-NaN-IS
interact_stoch_x_adx,False,15,0.0031,0.0,MINOR-HEAD-NaN-IS
vol_mfi_14,False,14,0.0029,0.0,MINOR-HEAD-NaN-IS
trend_aroon_osc_14,False,14,0.0029,0.0,MINOR-HEAD-NaN-IS
trend_supertrend_14_3,False,14,0.0029,0.0,MINOR-HEAD-NaN-IS
trend_minus_di_14,False,13,0.0027,0.0,MINOR-HEAD-NaN-IS
vol_natr_14,False,13,0.0027,0.0,MINOR-HEAD-NaN-IS
interact_rsi_x_natr,False,13,0.0027,0.0,MINOR-HEAD-NaN-IS
interact_natr_x_adx,False,13,0.0027,0.0,MINOR-HEAD-NaN-IS
interact_rsi_x_adx,False,13,0.0027,0.0,MINOR-HEAD-NaN-IS
interact_ret1_x_natr,False,13,0.0027,0.0,MINOR-HEAD-NaN-IS
vol_cmf_14,False,13,0.0027,0.0,MINOR-HEAD-NaN-IS
mom_willr_14,False,13,0.0027,0.0,MINOR-HEAD-NaN-IS
trend_adx_14,False,13,0.0027,0.0,MINOR-HEAD-NaN-IS
vol_atr_14,False,13,0.0027,0.0,MINOR-HEAD-NaN-IS
trend_plus_di_14,False,13,0.0027,0.0,MINOR-HEAD-NaN-IS
trend_ema_cross_5_12,False,11,0.0023,0.0,MINOR-HEAD-NaN-IS
mom_roc_10,False,10,0.0021,0.0,MINOR-HEAD-NaN-IS
vol_volume_pctchg_5,False,5,0.001,0.0,MINOR-HEAD-NaN-IS
stat_return_5,False,5,0.001,0.0,MINOR-HEAD-NaN-IS
interact_ret1_x_ret3,False,3,0.0006,0.0,MINOR-HEAD-NaN-IS
mom_rsi_14,False,1,0.0002,0.0,MINOR-HEAD-NaN-IS
stat_log_return_1,False,1,0.0002,0.0,MINOR-HEAD-NaN-IS
cal_hour_norm,False,0,0.0,0.0,CLEAN
cal_dow_norm,False,0,0.0,0.0,CLEAN
mr_rsi_extreme_14,False,0,0.0,0.0,CLEAN
vol_taker_buy_ratio,False,0,0.0,0.0,CLEAN
