date,net_return
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0.016591032324164035
2020-07-05,0.0096180442230680008
2020-07-06,-0.0011217169046109365
2020-07-07,0.007830979940657512
2020-07-08,0.0097270310664503423
2020-07-09,0.0016542692700101114
2020-07-10,-0.0090270402652939952
2020-07-11,-0.007327401624022567
2020-07-12,0.0054481964533203975
2020-07-13,0.0048788283778078423
2020-07-14,0.0044601437188116488
2020-07-15,0.012246668728601362
2020-07-16,0.0040902666571853707
2020-07-17,0.00109933611348767
2020-07-18,-0.0046608889566064349
2020-07-19,-0.0074708964792770116
2020-07-20,-0.020106456815055629
2020-07-21,0.011767257496903216
2020-07-22,-0.006697541843897481
2020-07-23,0.0089623502041373815
2020-07-24,-0.0021126943940525944
2020-07-25,-0.00047485807697245086
2020-07-26,0.0098645458338313396
2020-07-27,-0.019809301258877143
2020-07-28,-0.010981923875489019
2020-07-29,-0.0028029300642444799
2020-07-30,0.0090124680851313421
2020-07-31,0.0046588050089551025
2020-08-01,0.010186512456645369
2020-08-02,-0.0092929723099777206
2020-08-03,0.01317279752115974
2020-08-04,-0.014007742741754869
2020-08-05,0.015441310161399047
2020-08-06,0.007799210727323036
2020-08-07,-0.003246885375698727
2020-08-08,0.010846846332116078
2020-08-09,-0.019253073526942277
2020-08-10,-0.023227182353611098
2020-08-11,-0.0027100165983475755
2020-08-12,0.017743167431678808
2020-08-13,0.01254703109996691
2020-08-14,-3.9961486938855373e-05
2020-08-15,-0.00060467564383392958
2020-08-16,-0.027772581499617366
2020-08-17,-0.029966080680546514
2020-08-18,-0.0095447735270983713
2020-08-19,0.0049795963287797562
2020-08-20,0.049764457614464908
2020-08-21,-0.020943172980815383
2020-08-22,0.025339959524392386
2020-08-23,0.020276310525931596
2020-08-24,-0.0004501522005495584
2020-08-25,-0.012603020517031327
2020-08-26,-0.00069667037362308726
2020-08-27,-0.010473999445130722
2020-08-28,0.0081225025759317226
2020-08-29,0.0052147612780675257
2020-08-30,0.0075457010039174932
2020-08-31,-0.013069408418151962
2020-09-01,-0.0039160976435340666
2020-09-02,-0.0078089978637915225
2020-09-03,-0.023227452889943434
2020-09-04,0.01705429382350343
2020-09-05,-0.026114474014437672
2020-09-06,0.033322720274560957
2020-09-07,-0.00034090569419342742
2020-09-08,0.0050011503703280002
2020-09-09,0.0018582348963664952
2020-09-10,-0.0061159855117227657
2020-09-11,0.0087577809191621281
2020-09-12,0.015944973215185509
2020-09-13,-0.0012474636774384429
2020-09-14,0.00561506147365054
2020-09-15,-0.0071200169941791902
2020-09-16,0.0013624009489257016
2020-09-17,0.015700703130227867
2020-09-18,0.010072538156076893
2020-09-19,-0.0092092460357421357
2020-09-20,-0.0061120021050496964
2020-09-21,-0.0041113752571785289
2020-09-22,0.0041747215435454788
2020-09-23,-0.0021533833694368232
2020-09-24,0.0019463255866707385
2020-09-25,-0.011397020824573501
2020-09-26,0.010850709562189254
2020-09-27,-0.010140629787633526
2020-09-28,-0.0035407621256754451
2020-09-29,-0.0019415905530499877
2020-09-30,-0.00046836250390480672
2020-10-01,-0.001333765640511908
2020-10-02,-0.0059190568514024822
2020-10-03,0.0073564338291656206
2020-10-04,0.005484983252740161
2020-10-05,0.0017087256405319273
2020-10-06,0.00043421198293858154
2020-10-07,-0.0010651970810288125
2020-10-08,0.0017530489498471802
2020-10-09,-0.0054928305721232418
2020-10-10,0.0081277931065160125
2020-10-11,0.0015564900733495701
2020-10-12,0.0017033852597325705
2020-10-13,0.0066572181602204683
2020-10-14,0.012996555036137725
2020-10-15,-0.0039607793360414423
2020-10-16,-0.002321048452994301
2020-10-17,-0.0023425652717242729
2020-10-18,0.0014598515788923905
2020-10-19,-0.0012982437496735777
2020-10-20,0.0044344062606982426
2020-10-21,0.0025152453778940487
2020-10-22,0.013814421544649846
2020-10-23,0.0047698874052251039
2020-10-24,0.0029097615931352738
2020-10-25,-0.0029809852552725724
2020-10-26,-0.0096210304536902269
2020-10-27,-0.023327763945014901
2020-10-28,0.0044178762642685943
2020-10-29,0.00051487624811330512
2020-10-30,-0.001620374561822846
2020-10-31,0.0047936439296327737
2020-11-01,-0.0073586621455898893
2020-11-02,-0.018182181615389315
2020-11-03,0.0075763384435012515
2020-11-04,0.0085200112359968827
2020-11-05,0.011163425162901586
2020-11-06,0.0042279187574874033
2020-11-07,-0.0089404582393717291
2020-11-08,0.014211328544686541
2020-11-09,-0.0040247704720458577
2020-11-10,0.023485592788733856
2020-11-11,-0.021639575247227594
2020-11-12,-0.0054131277040927461
2020-11-13,0.036422894949250217
2020-11-14,0.0014648701715196388
2020-11-15,0.011981479428646136
2020-11-16,0.017241837647511637
2020-11-17,0.0068051527686721069
2020-11-18,-0.010961322887635294
2020-11-19,0.044959266729466485
2020-11-20,0.013674895367861595
2020-11-21,0.00023850404009162496
2020-11-22,-0.0010838302832246738
2020-11-23,0.029251706257543697
2020-11-24,-0.024040104974920595
2020-11-25,-0.017698884683576832
2020-11-26,-0.011589473593965338
2020-11-27,0.0060163877596342008
2020-11-28,0.014015648897505173
2020-11-29,0.0032576152835117611
2020-11-30,0.011088339552676629
2020-12-01,-0.0063017909018110441
2020-12-02,-0.0017078528471484722
2020-12-03,-0.00043309226895515973
2020-12-04,-0.014378858818839602
2020-12-05,0.021016401593294098
2020-12-06,0.0085819337549388752
2020-12-07,0.0010973468583570511
2020-12-08,-0.0021218903665727318
2020-12-09,0.019708562996973322
2020-12-10,-0.016922510126336721
2020-12-11,-0.0062968099732366722
2020-12-12,0.0063836722528463063
2020-12-13,0.0097616932185822236
2020-12-14,0.0056730031509755197
2020-12-15,-0.0024916083593952143
2020-12-16,-0.0034619185691167065
2020-12-17,0.0019445000285083225
2020-12-18,0.019150442049090222
2020-12-19,0.00014790829135713501
2020-12-20,-0.011347434799740763
2020-12-21,0.0060128676067903175
2020-12-22,0.039107703445249831
2020-12-23,0.031355365170004035
2020-12-24,-0.0074384069668564923
2020-12-25,0.014124508681781167
2020-12-26,0.039697658990728968
2020-12-27,-0.021237874820070113
2020-12-28,0.024283417928972595
2020-12-29,-0.00058013760981023843
2020-12-30,-0.0011684220290573144
2020-12-31,-0.011934731914384988
2021-01-01,0.0076429817915615317
2021-01-02,0.027850352911756193
2021-01-03,0.0044490467147484392
2021-01-04,0.0030152953031674645
2021-01-05,0.012449649162727283
2021-01-06,-0.016033995284055913
2021-01-07,-0.026221587582931249
2021-01-08,0.0065421099115507975
2021-01-09,0.020240444711998151
2021-01-10,-0.052921600023678295
2021-01-11,-0.0050824814906662574
2021-01-12,0.024804830606584893
2021-01-13,0.032427962655979137
2021-01-14,0.038150783712882719
2021-01-15,0.00012660236413197801
2021-01-16,0.012109174931316247
2021-01-17,-0.0023357552620487665
2021-01-18,0.00050270408020525181
2021-01-19,-0.011667095018768059
2021-01-20,0.019363848541554152
2021-01-21,-0.02433311589340259
2021-01-22,0.042056029244931459
2021-01-23,0.026437268994824903
2021-01-24,0.037685130749564921
2021-01-25,-0.017717278949699766
2021-01-26,0.037628016628551419
2021-01-27,-0.015438515598293789
2021-01-28,0.027527347922372991
2021-01-29,0.00084758917114879928
2021-01-30,0.032261207435944295
2021-01-31,0.010230054449737125
2021-02-01,0.01945084927627172
2021-02-02,-0.023716104414970518
2021-02-03,0.037039080413811876
2021-02-04,0.071801345616440138
2021-02-05,0.0044826213235356072
2021-02-06,-0.0083405626141577205
2021-02-07,0.017375209290322546
2021-02-08,0.0071449612408696073
2021-02-09,-0.0057677149842986219
2021-02-10,0.090144878457526056
2021-02-11,-0.023773045951576477
2021-02-12,0.014061716525326284
2021-02-13,-0.041408641182541395
2021-02-14,-0.011174657322472359
2021-02-15,0.012413599107186979
2021-02-16,-0.00092356379427060986
2021-02-17,0.032565668355611921
2021-02-18,0.010614745182247365
2021-02-19,0.054935839219760751
2021-02-20,-0.014743041812223523
2021-02-21,0.017936073763024307
2021-02-22,-0.018052544261662473
2021-02-23,-0.0098056363668267421
2021-02-24,0.0056641303589226588
2021-02-25,-0.020889848883273054
2021-02-26,0.004465437767967817
2021-02-27,-0.0019035407356463585
2021-02-28,-0.0046348327536711587
2021-03-01,0.013338399257627032
2021-03-02,-0.024423337953963786
2021-03-03,0.0028543207442199847
