date,net_return
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,-0.0019776745616936209
2020-08-13,6.7267824523709052e-05
2020-08-14,0.0075813833899192051
2020-08-15,0.0044021576973301002
2020-08-16,0.0062099476523314046
2020-08-17,0.0034750409906754154
2020-08-18,0.001172272627810278
2020-08-19,-0.00056185821688836679
2020-08-20,-0.0071996207798979972
2020-08-21,0.0010416247187723382
2020-08-22,-0.0026678114715530388
2020-08-23,-0.00046217803886450248
2020-08-24,-0.00064090399115501739
2020-08-25,0.0046031148170218028
2020-08-26,-0.0011185591210571832
2020-08-27,0.0080119502784248287
2020-08-28,-0.0012335349555705477
2020-08-29,-0.0030202551453886173
2020-08-30,0.00090026926170394539
2020-08-31,-0.0030147264754221137
2020-09-01,0.0042842570249390644
2020-09-02,0.0030888876589127978
2020-09-03,0.012409330777714445
2020-09-04,-0.0026763736298281993
2020-09-05,0.0019811051086147113
2020-09-06,0.0010173681754790387
2020-09-07,0.0021408105980409431
2020-09-08,-0.0016691988804184987
2020-09-09,-0.0016373583007264214
2020-09-10,-0.0039562582010235214
2020-09-11,-0.0037532977243824872
2020-09-12,0.0042704464765990213
2020-09-13,0.0034800850841361086
2020-09-14,-0.0027183811405309122
2020-09-15,0.0020541247250212002
2020-09-16,-0.0040718569242036429
2020-09-17,0.0046186529059697445
2020-09-18,-0.00077415989196449875
2020-09-19,-0.0031375724654897352
2020-09-20,0.0025366008694316378
2020-09-21,0.0083225230585555199
2020-09-22,0.0019795621340201741
2020-09-23,0.0021208492065059037
2020-09-24,0.0031692336632833662
2020-09-25,-0.0042672990890499918
2020-09-26,0.0063131311370685506
2020-09-27,-0.0036473821999024603
2020-09-28,-0.0037030336430634581
2020-09-29,0.00039316990137971963
2020-09-30,-0.0022545211521644015
2020-10-01,-0.0019852857489347508
2020-10-02,0.00064186314283443124
2020-10-03,0.003316168126839214
2020-10-04,-0.001665950599110233
2020-10-05,-0.0033776487779014763
2020-10-06,-0.00069624688001923563
2020-10-07,0.0010627763449144734
2020-10-08,-0.0027081951199999788
2020-10-09,0.00030218672778414835
2020-10-10,-0.0033705812889852638
2020-10-11,-0.0047843894652633834
2020-10-12,0.0030392598739181764
2020-10-13,-0.0014157912177719112
2020-10-14,-0.0026160527492119501
2020-10-15,-0.0041153443135377721
2020-10-16,0.0018372684976899478
2020-10-17,0.00022308293482953268
2020-10-18,0.0024358388988339197
2020-10-19,-0.0013730356840925273
2020-10-20,0.0010095349351544325
2020-10-21,0.00053042084081234009
2020-10-22,0.00058766805334986572
2020-10-23,-0.00086235744259777203
2020-10-24,0.00082360644059153998
2020-10-25,-0.00073370784784820842
2020-10-26,0.0024965830260861299
2020-10-27,0.00045540679283484486
2020-10-28,0.00034039817243702863
2020-10-29,-0.0014132709345143768
2020-10-30,0.0019215643649792558
2020-10-31,0.00020554690410978793
2020-11-01,-0.0070360090626573335
2020-11-02,-0.0026060195976156386
2020-11-03,0.0031908333867067817
2020-11-04,0.00045374193785185923
2020-11-05,0.0062624163016049561
2020-11-06,-0.010660045866604295
2020-11-07,-0.0026143696316339726
2020-11-08,-0.00017204738599030378
2020-11-09,-0.00097319015061314573
2020-11-10,0.0011225613401273371
2020-11-11,-0.004197217760133487
2020-11-12,0.0025583544460239249
2020-11-13,0.00076308498108912381
2020-11-14,0.0060918373272220716
2020-11-15,0.0062299444728739495
2020-11-16,0.00030474178591610723
2020-11-17,0.0020748467995905795
2020-11-18,0.0014137081694010067
2020-11-19,0.0017514689465809585
2020-11-20,0.0012396811560848597
2020-11-21,-0.015701366952568296
2020-11-22,-0.00068498625482105169
2020-11-23,-0.0010124088300266232
2020-11-24,-0.0046398057860949082
2020-11-25,0.0020348362874313963
2020-11-26,-7.7112005124058136e-05
2020-11-27,-0.0011693542656322498
2020-11-28,-0.0030524375490690314
2020-11-29,0.0016082808583219865
2020-11-30,-0.0010685608290864623
2020-12-01,0.0057087627666105867
2020-12-02,0.00024712809059623808
2020-12-03,0.0015017549694140708
2020-12-04,0.0061433410838886982
2020-12-05,-7.4648533625487623e-05
2020-12-06,-0.0028224573760344818
2020-12-07,-0.00016840033784915054
2020-12-08,0.00176718843697099
2020-12-09,-0.0038852508674160902
2020-12-10,0.0019654322299960114
2020-12-11,0.0049865455601021402
2020-12-12,-0.00058397074233840218
2020-12-13,-0.0026967097819460273
2020-12-14,-0.0073624317821285867
2020-12-15,0.00045845454406800989
2020-12-16,5.9311594324817918e-05
2020-12-17,-0.00072299208967885331
2020-12-18,0.0042960786923043059
2020-12-19,-0.0031974158055700919
2020-12-20,-0.0049963003775710391
2020-12-21,0.004089081348806145
2020-12-22,0.0054967601384507958
2020-12-23,0.010382670968081875
2020-12-24,-0.0012626295813873423
2020-12-25,0.0013273857727766902
2020-12-26,0.013231851258661109
2020-12-27,-0.010869172938590133
2020-12-28,-0.0018721512742920776
2020-12-29,-0.0073078972568376699
2020-12-30,0.0078358132101183919
2020-12-31,-0.0053137131887186495
2021-01-01,-0.010061080414561996
2021-01-02,-0.0029227336048354147
2021-01-03,-0.015275510873095199
2021-01-04,0.0017498545808225519
2021-01-05,0.00019204504187486648
2021-01-06,-0.0010142986959422728
2021-01-07,-0.0042741047018493017
2021-01-08,0.0092061694724172582
2021-01-09,0.0082439298163110575
2021-01-10,0.032016768689976827
2021-01-11,-0.010186707086391911
2021-01-12,0.0053309493964635024
2021-01-13,-0.0089474584180984085
2021-01-14,-0.014195195302065478
2021-01-15,0.0055688862361782387
2021-01-16,-0.014098840059248441
2021-01-17,0.024188507627906031
2021-01-18,-0.010472054822530996
2021-01-19,0.0020587518730290633
2021-01-20,0.00036454620589676523
2021-01-21,0.00397862252863046
2021-01-22,-0.0012864647008827834
2021-01-23,-0.0059356336513143315
2021-01-24,0.0014398305318048532
2021-01-25,-0.00018891601917081502
2021-01-26,0.0049972173829131439
2021-01-27,-0.010073323686170976
2021-01-28,0.0049818735101121447
2021-01-29,0.010942393764382441
2021-01-30,-0.014658044526358882
2021-01-31,0.001091652092521489
2021-02-01,0.017288950523618229
2021-02-02,0.0023155642939272081
2021-02-03,-0.0028222997198837918
2021-02-04,0.01497473753596168
2021-02-05,0.0075017653996054534
2021-02-06,0.0017656306257649579
2021-02-07,0.0067085056611737581
2021-02-08,0.016888187045076997
2021-02-09,0.0014708254106481355
2021-02-10,0.039964886851547421
2021-02-11,-0.0058961042167080535
2021-02-12,-0.014356545423514722
2021-02-13,-0.0052104194501351175
2021-02-14,0.0056314013449860756
2021-02-15,-0.0061025362727716859
2021-02-16,0.0004069302418543419
2021-02-17,-0.003402173670444264
2021-02-18,-0.0071673986145639468
2021-02-19,0.031750404846851543
2021-02-20,0.0087801924073551696
2021-02-21,-0.0087465872755508878
2021-02-22,-0.0050043103224262087
2021-02-23,0.0018315075292119065
2021-02-24,0.0069227912046079254
2021-02-25,0.00059401410749826411
2021-02-26,0.0044535589042651313
2021-02-27,0.0045394373367879659
2021-02-28,0.0013993421990405874
2021-03-01,-0.0045470565302797583
2021-03-02,-0.00371513922298361
2021-03-03,-0.0036059595958169988
2021-03-04,-0.0018134268673503096
2021-03-05,0.00076979417443645559
2021-03-06,3.9954430422817211e-05
2021-03-07,-0.0029283939015096738
2021-03-08,-0.01020801843996566
2021-03-09,0.00079352690701584017
2021-03-10,0.0018893570246811819
2021-03-11,0.0021279701711585108
2021-03-12,0.0050134294559684989
2021-03-13,0.0091251080056278244
2021-03-14,-0.00058725851887087011
2021-03-15,-0.0028721871316556014
2021-03-16,0.0056892132195840439
