date,net_return
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,-0.0076122057605770843
2020-08-22,0.016177767423722456
2020-08-23,0.0097449473429789268
2020-08-24,-0.0042169541019043688
2020-08-25,0.003997705623943526
2020-08-26,-0.0042434295595826788
2020-08-27,-0.00069025320128190959
2020-08-28,0
2020-08-29,0
2020-08-30,0.002596726411468131
2020-08-31,-0.0078621718693923093
2020-09-01,0.0052061656148671975
2020-09-02,0.0046166270177672164
2020-09-03,0.012829887884291624
2020-09-04,-0.0067466042963233441
2020-09-05,0.0011897243226861587
2020-09-06,0.0034354015444020281
2020-09-07,0.0037414500195815936
2020-09-08,-0.0031603235415715858
2020-09-09,0.0068469672293625106
2020-09-10,-0.011082622702536349
2020-09-11,0.0033283039889844268
2020-09-12,0.012512183427199286
2020-09-13,0.0016557419014699981
2020-09-14,0.0031702825319230854
2020-09-15,-0.010345529738616022
2020-09-16,0.0026662285998517721
2020-09-17,0.0053135054789124059
2020-09-18,0.0027886585042375955
2020-09-19,-0.0075711206376336548
2020-09-20,-0.002065377056473694
2020-09-21,0.0051047642112727054
2020-09-22,-0.0030364931570043829
2020-09-23,0.0029989530941179066
2020-09-24,0.00424475515908318
2020-09-25,-0.015790939685898842
2020-09-26,0.0075972406573860951
2020-09-27,0.0030908380808460922
2020-09-28,-0.0038867167659176749
2020-09-29,0.0028906549260596659
2020-09-30,-0.0039094104581243183
2020-10-01,-0.0037165868662855095
2020-10-02,0.0043694679980217366
2020-10-03,0.0068570273410177851
2020-10-04,0.0068949390975694413
2020-10-05,-0.0014982714043321188
2020-10-06,0.010304867013297248
2020-10-07,-0.0024303113881387617
2020-10-08,-0.0013534163288936307
2020-10-09,-0.0073719474397179185
2020-10-10,0.0056897035524439143
2020-10-11,-0.0011608357397999702
2020-10-12,0.0016357863807203721
2020-10-13,0.0020326075402525845
2020-10-14,0.006886976635594122
2020-10-15,-0.0015523145503645308
2020-10-16,-0.0061274737108364397
2020-10-17,-0.0082639047247210495
2020-10-18,0.0023685323359712296
2020-10-19,0.0031280636510724324
2020-10-20,0.0022795126642545238
2020-10-21,0.0070843008599614787
2020-10-22,-0.0027593299219617062
2020-10-23,0.0021870915280117753
2020-10-24,0.006342556856558712
2020-10-25,0.00082510802588897647
2020-10-26,0.0051668373743416485
2020-10-27,0.0023725356740589287
2020-10-28,0.0062675027070520084
2020-10-29,0.012608435845179677
2020-10-30,0.0056676680261171786
2020-10-31,0.005878017535530855
2020-11-01,-0.0088669754476705664
2020-11-02,-0.006101139209078621
2020-11-03,0.014251163873451045
2020-11-04,0.0024712095189145522
2020-11-05,0.0074534447721381625
2020-11-06,-0.033694896611023761
2020-11-07,-0.0013220464603931337
2020-11-08,-0.0028296004889543092
2020-11-09,-0.002297105172516245
2020-11-10,-0.00071753037163124755
2020-11-11,0
2020-11-12,0
2020-11-13,-0.0069257773059099303
2020-11-14,0.001169394393359946
2020-11-15,-0.0031518719160508191
2020-11-16,0.0025664479190470324
2020-11-17,-0.00340982799037437
2020-11-18,0.0054868853941256734
2020-11-19,0.011816196830372272
2020-11-20,0.0071584598936307309
2020-11-21,-0.0040738503866117881
2020-11-22,0.0096523657581852884
2020-11-23,0.0055420852829659584
2020-11-24,-0.0082222821040608407
2020-11-25,-0.0056661837001209525
2020-11-26,0.00071940473301301822
2020-11-27,0.0041760540917556987
2020-11-28,0.0056119789472011128
2020-11-29,0.0033961178254773294
2020-11-30,0.012066849224648957
2020-12-01,-0.00084824302033781329
2020-12-02,0
2020-12-03,0
2020-12-04,-0.0075057015115995718
2020-12-05,0.0095867194913670239
2020-12-06,0.0060493297174140093
2020-12-07,0.0078243425141149014
2020-12-08,0.00063794756332447022
2020-12-09,0.010225429292842758
2020-12-10,-0.0045551636315304123
2020-12-11,-0.0053827873386084191
2020-12-12,-0.0023869114947996373
2020-12-13,0.0039707073330290665
2020-12-14,0.0050426311451798878
2020-12-15,-0.01006784892213286
2020-12-16,-0.00073450850263967471
2020-12-17,0
2020-12-18,0
2020-12-19,-0.0015575464619658197
2020-12-20,-0.0010090271240136284
2020-12-21,0.0028322333142598577
2020-12-22,0.017479977059246643
2020-12-23,0.019981948972703556
2020-12-24,-0.0010912764615593762
2020-12-25,0.013659851055030314
2020-12-26,0.02545136023932959
2020-12-27,-0.01548107643925134
2020-12-28,0.0086626597818979523
2020-12-29,0.015127001310569765
2020-12-30,0.003528911553756453
2020-12-31,-0.00089599865317968597
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,0
2021-01-08,0
2021-01-09,0.0051056534307030166
2021-01-10,-0.036278600355840074
2021-01-11,0.011592928318447715
2021-01-12,0.010555703035019404
2021-01-13,0.011025806142424877
2021-01-14,0.02744380413167935
2021-01-15,-0.025353278608174601
2021-01-16,0.0093718154011410704
2021-01-17,-0.032620248908348248
2021-01-18,-0.015640823121807035
2021-01-19,0.011276603573683097
2021-01-20,0.014983985559380297
2021-01-21,-0.010470139437860682
2021-01-22,0.01903258270062147
2021-01-23,0.0015189656010061725
2021-01-24,0.02906013791854356
2021-01-25,-0.0058246074275836168
2021-01-26,0.022189047931633343
2021-01-27,-0.0070225609983224357
2021-01-28,0.0032022375730846875
2021-01-29,0.0030937701049007504
2021-01-30,-0.0033392590630859642
2021-01-31,-0.0083431306400177929
2021-02-01,0.042638941068557035
2021-02-02,-0.011815996955595987
2021-02-03,0.018259053380097479
2021-02-04,0.041778014617238624
2021-02-05,0.0064314914267007417
2021-02-06,0.00022941420204181107
2021-02-07,0.019277699259790504
2021-02-08,0.0038028731941601723
2021-02-09,-0.042466195429557652
2021-02-10,0.067548480880913031
2021-02-11,-0.01532337723338284
2021-02-12,0.00012546570227822684
2021-02-13,-0.045947330460979097
2021-02-14,-0.0063659211344169186
2021-02-15,0.019472254491174734
2021-02-16,-0.0046315422511830073
2021-02-17,0.010386962799116661
2021-02-18,0.0085417000692282752
2021-02-19,0.041463073983409426
2021-02-20,0.022008662185230898
2021-02-21,0.0088679409751888372
2021-02-22,0.019981534301353188
2021-02-23,0.023498186285807465
2021-02-24,-0.00013913805082566011
2021-02-25,-0.0088565401582008096
2021-02-26,0.010471243551177789
2021-02-27,-0.00036130640688947224
2021-02-28,-0.0036277971674533172
2021-03-01,0.0066416472053101305
2021-03-02,-0.0098981928700012656
2021-03-03,0.00025626486584751085
2021-03-04,0.0098969706922327205
2021-03-05,-0.00052759683857106499
2021-03-06,-0.014469404752498805
2021-03-07,-7.6616902519810459e-05
2021-03-08,-0.0022475724122229535
2021-03-09,0.0022882751452224515
2021-03-10,-0.0010386232642197735
2021-03-11,0
2021-03-12,0
2021-03-13,-0.0012981959903547446
2021-03-14,0.0095645368103118855
2021-03-15,0.0055359676835022853
2021-03-16,0.0070690698712558842
2021-03-17,-0.0022963492881029612
2021-03-18,0.0069992613980622842
2021-03-19,0.0099987676931019287
2021-03-20,0.0038646430222348815
2021-03-21,0.0077451134890458295
2021-03-22,0.0046772358006830217
2021-03-23,0.0078956124506956993
2021-03-24,0.01492587951508928
2021-03-25,-0.001914091492057568
2021-03-26,0.019104952871087821
2021-03-27,0.0025914009011993588
2021-03-28,-0.00021435987294826653
2021-03-29,0.0034460632603996455
2021-03-30,0.008786134805910395
2021-03-31,0.017759943008647916
2021-04-01,-0.0080464163745099793
