date,net_return
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,-0.0012417055225256712
2020-05-15,-0.0048094191379678408
2020-05-16,-0.0030878249108554634
2020-05-17,0.0054573358653928761
2020-05-18,0.0023170803734626766
2020-05-19,0.0027692133430183841
2020-05-20,0.00023405397612386025
2020-05-21,-0.0052135902049921246
2020-05-22,-0.0028877227138935924
2020-05-23,-0.00058766256918063586
2020-05-24,-0.0034673164832349501
2020-05-25,-0.0022771098911831267
2020-05-26,-0.0029420405443238984
2020-05-27,0.0026676535579190919
2020-05-28,0.010497093389355339
2020-05-29,-0.0020624484401977616
2020-05-30,0.010282819930584219
2020-05-31,0.00074331669355420793
2020-06-01,0.0071245679731504197
2020-06-02,0.0024309900779340143
2020-06-03,0.010940797267529057
2020-06-04,-6.6663309438830254e-05
2020-06-05,-0.0045261535557805654
2020-06-06,-0.002964160266396676
2020-06-07,0.0036568081280274889
2020-06-08,-0.0019214471062782845
2020-06-09,-0.0048402135160383608
2020-06-10,-0.0048095321507315436
2020-06-11,0.00068222587229782583
2020-06-12,-0.00036812068234048922
2020-06-13,-0.00016429715985866178
2020-06-14,0.00022225635444561576
2020-06-15,0.00019482852068475331
2020-06-16,-0.00029297752300816438
2020-06-17,0.00016463483520157141
2020-06-18,-7.9603399724126334e-06
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0.0036763289954107048
2020-07-31,0.0065457781840829732
2020-08-01,0.015241558389140319
2020-08-02,0.0055909393683575281
2020-08-03,0.0027774117948440313
2020-08-04,0.0008863747533665034
2020-08-05,0.012509776538143891
2020-08-06,-0.00026941435749272546
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0.010319987165657407
2020-08-14,-0.0066748351801166894
2020-08-15,-0.0030040732712024454
2020-08-16,-0.0092383702463076922
2020-08-17,-0.0052178517432003302
2020-08-18,-0.0077540274660151676
2020-08-19,0.005689895814660284
2020-08-20,-0.020570025855686791
2020-08-21,-0.011199866621467325
2020-08-22,-0.0022282414317665866
2020-08-23,0.00011409496085090787
2020-08-24,-0.0086418271545443126
2020-08-25,0.0092874590057170359
2020-08-26,0.0023585118327376087
2020-08-27,0.0044022159418479756
2020-08-28,0.00097566293800288584
2020-08-29,0.00097728263525964643
2020-08-30,0.0079815810042163093
2020-08-31,-0.00034479960568445378
2020-09-01,0.01243428539057545
2020-09-02,-0.0057944182232234631
2020-09-03,0.0020917896481866816
2020-09-04,-0.0043585169187407846
2020-09-05,-0.0060816703894964741
2020-09-06,0.0059985774661539537
2020-09-07,-0.0025733744512269618
2020-09-08,-0.0098525288051166671
2020-09-09,0.0067101553526325297
2020-09-10,-0.01042617551983871
2020-09-11,0.0015977951917782729
2020-09-12,0.005672115908133657
2020-09-13,0.0072880129020505002
2020-09-14,0.0023837013579206534
2020-09-15,-0.0041534468872010954
2020-09-16,-0.0027225793115460695
2020-09-17,0.013413980734104269
2020-09-18,-0.00096703858808877552
2020-09-19,-0.0053293826455101945
2020-09-20,0.0011357846976320918
2020-09-21,0.0050229352379134173
2020-09-22,-0.0010119725466716245
2020-09-23,-0.00021430373277109283
2020-09-24,0.014408829785362176
2020-09-25,-0.00066491284557057551
2020-09-26,-0.0043715857345628661
2020-09-27,0.010545018031628439
2020-09-28,-0.0051474941332597668
2020-09-29,-0.0057776173224890481
2020-09-30,-0.011614991835619537
2020-10-01,0.0020573102776435537
2020-10-02,0.0029288532228488595
2020-10-03,0.004421916156702288
2020-10-04,-0.0041510880066610856
2020-10-05,0.0010346778799945611
2020-10-06,-0.0078821365432344415
2020-10-07,-0.0012517518857120269
2020-10-08,0.0022633138387173624
2020-10-09,0.0016404751424472508
2020-10-10,0.0067211428224271952
2020-10-11,8.5410460816559564e-05
2020-10-12,0.0061660864971977425
2020-10-13,-0.003778824800912961
2020-10-14,-0.0050427261576320159
2020-10-15,-0.00061244593571629924
2020-10-16,-0.0046546898930743819
2020-10-17,-0.008005081210772258
2020-10-18,0.0050519148996193142
2020-10-19,-0.0044102508457541933
2020-10-20,0.0016040658715628098
2020-10-21,0.0025447860974017189
2020-10-22,0.0054003089854335329
2020-10-23,0.0043015101391346011
2020-10-24,0.0059432014426419322
2020-10-25,-0.0037929740826934122
2020-10-26,0.0021226839147110432
2020-10-27,0.0043127363782358152
2020-10-28,-0.00087530175015682055
2020-10-29,-0.0008977029154464411
2020-10-30,-0.0047809611205090752
2020-10-31,0.0084188446718338472
2020-11-01,-0.0018444422335388566
2020-11-02,-0.0054589129366469091
2020-11-03,0.005671656135042058
2020-11-04,0.00065864631953860275
2020-11-05,0.0032455870886927141
2020-11-06,-0.011698300251688831
2020-11-07,-0.0035380923459593649
2020-11-08,-0.0043464891465875288
2020-11-09,-0.0019217615047075753
2020-11-10,-0.0081628963148273614
2020-11-11,0.013097616715161076
2020-11-12,-0.00041683513391310711
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,-0.0021230895127386518
2020-12-11,-0.0023616415212556197
2020-12-12,0.0013852413130954755
2020-12-13,0.0054487842913504281
2020-12-14,-0.0017536722631623647
2020-12-15,-0.010281124922364993
2020-12-16,0.013089828196751307
2020-12-17,-0.00038470801676648847
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,-0.036548005287684315
2021-01-08,-0.017022923240122001
2021-01-09,-0.010339015518727179
2021-01-10,-0.023900089728115859
2021-01-11,0.013339728541333695
2021-01-12,-0.013391992276024167
2021-01-13,0.0084317410824321648
2021-01-14,0.0069321619480244845
2021-01-15,-0.0032786194323581874
2021-01-16,0.019814767731223037
2021-01-17,-0.0025123005595549808
2021-01-18,-0.0038591803417176163
2021-01-19,0.0019145973913390346
2021-01-20,0.0081203769391060554
2021-01-21,-0.0073203802502671556
2021-01-22,0.012940908949887309
2021-01-23,0.0043645514307708577
2021-01-24,0.016232876648269556
2021-01-25,-0.00803664825335626
2021-01-26,0.007581277049842905
2021-01-27,-0.013989245682290319
2021-01-28,0.0031456401768452658
2021-01-29,-0.00064597620563089375
2021-01-30,-0.0067413873075988784
2021-01-31,-0.011374564572635637
2021-02-01,0.03028187294310869
2021-02-02,-0.0035280593909484681
2021-02-03,0.016532396330700028
2021-02-04,0.013509455423821981
2021-02-05,-0.00287496932865694
2021-02-06,0.014110186657782631
2021-02-07,0.019574513638608959
2021-02-08,0.0038478725193535901
2021-02-09,-0.022129297993894959
2021-02-10,0.060208121939069548
2021-02-11,-0.013774960262195712
2021-02-12,-0.0039564000025589241
2021-02-13,-0.036527351421812848
2021-02-14,0.0035946283597148021
2021-02-15,0.019853394518299705
2021-02-16,0.0044886170527995706
2021-02-17,0.0050019433522381362
2021-02-18,-0.0078288597029664286
2021-02-19,-0.016577575900012964
2021-02-20,0.046038097146310797
2021-02-21,-0.0083073978683486649
2021-02-22,0.0038205157061106387
2021-02-23,0.017657482403121039
2021-02-24,0.0012476086155610577
2021-02-25,-0.0065855139341721713
2021-02-26,0.0070049530184184139
2021-02-27,0.00043022932153169435
2021-02-28,0.0060564771707343201
2021-03-01,0.0037596409392102181
2021-03-02,-0.0045167682829210243
2021-03-03,-0.010748533255770965
2021-03-04,0.00080694255063695763
2021-03-05,-0.001772063063990581
2021-03-06,-0.0033124133268831457
2021-03-07,0.0089911532122559645
2021-03-08,-0.0081769065153107778
2021-03-09,0.014177535863041602
2021-03-10,-0.016193994757948693
2021-03-11,0.0040297070920840561
2021-03-12,-0.0080907749719779654
2021-03-13,0.0010273293864351274
2021-03-14,0.00019263484434572931
2021-03-15,0.0022372625118816103
2021-03-16,0.003476393733293337
2021-03-17,0.0044384138943724949
2021-03-18,0.00099914032684567111
2021-03-19,-0.0017583411996816567
