date,net_return
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,-0.0018984116096845138
2020-04-17,-0.0009673087864994212
2020-04-18,-0.00025808156583351227
2020-04-19,-0.0061032317932266933
2020-04-20,0.0034596653568097491
2020-04-21,0.0010440791525638815
2020-04-22,-0.0016630433680917545
2020-04-23,-0.0014335921381017913
2020-04-24,-0.0016428507450743091
2020-04-25,-0.0013792200398854426
2020-04-26,9.1971435036031224e-05
2020-04-27,0.002867382005224739
2020-04-28,0.0030193794762405357
2020-04-29,0.0012388627214618975
2020-04-30,-0.00035633595614847913
2020-05-01,7.728370583803823e-05
2020-05-02,0.0001236634554613314
2020-05-03,-0.0001114574403181523
2020-05-04,1.8082776034322734e-06
2020-05-05,6.0806895434195596e-05
2020-05-06,-0.00012971121545624076
2020-05-07,-1.1490903332189717e-06
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,-0.0017324896572995518
2020-06-12,-0.001816580677576729
2020-06-13,-0.001827005188250741
2020-06-14,-0.00018302354671739796
2020-06-15,0.0010043614192882799
2020-06-16,-0.0025239677450580311
2020-06-17,0.0035934271673017104
2020-06-18,-0.00022809168741844132
2020-06-19,1.114519927147839e-05
2020-06-20,-7.7155015507646141e-06
2020-06-21,-8.2341059884361023e-05
2020-06-22,-0.00019106918152234087
2020-06-23,7.8085622654544551e-05
2020-06-24,0.00010547569466878848
2020-06-25,-1.9330094049863078e-06
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0.00014879726533512105
2020-08-28,-0.0019608198572920177
2020-08-29,-0.0049533281815403729
2020-08-30,-0.0027583957346379862
2020-08-31,-0.0063587660461943418
2020-09-01,-0.0025903770190542907
2020-09-02,-0.0029393627187997984
2020-09-03,-0.0068626762526876606
2020-09-04,0.0058770403824326412
2020-09-05,-0.001470480916640482
2020-09-06,-0.0001347350453909657
2020-09-07,-0.0037476567798935267
2020-09-08,-0.0032862743935552219
2020-09-09,0.0029848035761292913
2020-09-10,-0.00023823094131947276
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0.0024711176300780124
2020-09-18,-0.0023557336840971388
2020-09-19,0.004682575137801237
2020-09-20,-0.00098588090726470234
2020-09-21,-0.00067077958246186675
2020-09-22,-0.0007606211537923846
2020-09-23,-0.0010161261022098023
2020-09-24,0.017016634082432924
2020-09-25,0.0079135133286607484
2020-09-26,-0.0039231961554236916
2020-09-27,0.0086689422711456743
2020-09-28,0.0018368950701161957
2020-09-29,0.0018972925152032083
2020-09-30,0.0013160906726923383
2020-10-01,0.0012288675875933297
2020-10-02,0.001852916419215811
2020-10-03,-5.5278976442085792e-05
2020-10-04,3.2215092969911652e-05
2020-10-05,-0.0018170675437374495
2020-10-06,0.008346278640882776
2020-10-07,-0.0055837802782492396
2020-10-08,0.00063702664897591355
2020-10-09,-0.0034610758676544284
2020-10-10,0.00017955684539283645
2020-10-11,0.003112050679208167
2020-10-12,-0.0010113202589738801
2020-10-13,-0.0050184246771901586
2020-10-14,0.0029162468911156925
2020-10-15,-0.0019507100840840952
2020-10-16,0.00044517976820390714
2020-10-17,0.0037491299832215219
2020-10-18,-0.00052463631189736404
2020-10-19,-0.0015728096868498076
2020-10-20,-0.0056466213812341737
2020-10-21,-0.0021133769288755877
2020-10-22,-0.0013293818437609684
2020-10-23,-0.00058938531058394528
2020-10-24,-0.0045038260371306205
2020-10-25,0.0010233246531228257
2020-10-26,0.0021707709789244856
2020-10-27,0.00064929800460244991
2020-10-28,-0.0015148510729585674
2020-10-29,-0.0045387948910926568
2020-10-30,0.0030159302894243734
2020-10-31,-0.0028752786021226662
2020-11-01,0.00061414870340503747
2020-11-02,0.003048143620659971
2020-11-03,-0.0028911328367587918
2020-11-04,-0.0050122570919808318
2020-11-05,-0.0023385811294116543
2020-11-06,0.015635848863219559
2020-11-07,0.01302708587239354
2020-11-08,0.010288531842366222
2020-11-09,-0.0036218911509932061
2020-11-10,-0.0039538836882588857
2020-11-11,-0.010135399006197088
2020-11-12,-0.00024553072759481154
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,-0.0074578132662534991
2020-12-04,0.0066128823275783954
2020-12-05,-0.0052935359193744258
2020-12-06,0.0086613055994619881
2020-12-07,-0.0063682314330723022
2020-12-08,7.7781065615178946e-05
2020-12-09,0.00049554179776034601
2020-12-10,0.00064137244094619739
2020-12-11,3.5298741936085065e-05
2020-12-12,0.0014654371786357867
2020-12-13,-0.003313679579498241
2020-12-14,0.0017180723285199484
2020-12-15,0.0074144854588351627
2020-12-16,-0.0079076901037851144
2020-12-17,-0.0059950126745207388
2020-12-18,0.0022337746568397154
2020-12-19,-0.0041293435303576542
2020-12-20,-0.0065986064735492622
2020-12-21,0.0039826683766266413
2020-12-22,0.0052147354337157559
2020-12-23,0.0075180313290368339
2020-12-24,0.016006737251712089
2020-12-25,-0.0027829121739167961
2020-12-26,-0.0068039650032387655
2020-12-27,-0.00021189429060886056
2020-12-28,-0.0092076152619556817
2020-12-29,-0.010003829690569233
2020-12-30,0.00082247980198379977
2020-12-31,-0.00016537963630847141
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,0
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,0
2021-01-13,0
2021-01-14,0
2021-01-15,0
2021-01-16,0
2021-01-17,0
2021-01-18,0
2021-01-19,0
2021-01-20,0
2021-01-21,0
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,0
2021-01-27,0
2021-01-28,0.0010869064223981706
2021-01-29,-0.00029301016237093247
2021-01-30,-0.015272357255728952
2021-01-31,-0.011894632258403259
2021-02-01,0.029413543880282722
2021-02-02,0.0030421378265859111
2021-02-03,-0.0093932443380571051
2021-02-04,-0.0095148187792788441
2021-02-05,0.0048347888587758625
2021-02-06,-0.00097507053123568888
2021-02-07,-0.0083312314344112792
2021-02-08,-0.014313550735621683
2021-02-09,0.011686837749256052
2021-02-10,-0.037720330751689235
2021-02-11,-0.00034678519417585818
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,0.0035349333807144223
2021-02-26,0.0013198298969403499
2021-02-27,-0.0016201544035072679
2021-02-28,-0.0018328307435313551
2021-03-01,0.00038579950219452819
2021-03-02,0.0072290287088658811
2021-03-03,0.0017588885718202718
2021-03-04,0.0038481177980833614
2021-03-05,-0.0014570001697025159
2021-03-06,-0.00045955993395341288
2021-03-07,0.0082496939128116065
2021-03-08,-0.0022252495158271435
2021-03-09,1.7353175387091468e-05
2021-03-10,-0.0068015386112224574
2021-03-11,-0.0020179528917398937
2021-03-12,-0.0085514996452069614
2021-03-13,0.0032773774797818511
2021-03-14,-0.005300650312646038
2021-03-15,0.0072748149392161121
2021-03-16,0.00013085785373956327
2021-03-17,-0.013800877506546017
2021-03-18,0.0055939927712085336
2021-03-19,0.0013706883431723327
2021-03-20,-0.0049688076908925849
2021-03-21,-0.0014941229234918252
2021-03-22,-0.0077023151612043428
2021-03-23,-0.0030930008265285247
2021-03-24,-0.0014986480891053811
2021-03-25,0.00057105546729285805
2021-03-26,0.00354611275100436
2021-03-27,-0.0086243843616206073
2021-03-28,-0.0028761421190144354
2021-03-29,-0.00078709174737834342
2021-03-30,-0.0019617305315837719
2021-03-31,-0.003178542118141281
2021-04-01,0.0043376738794800307
2021-04-02,-0.0045248266893774813
2021-04-03,-0.0023535426294228889
