date,net_return
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,-0.0030979973289754215
2020-07-11,-0.00083770129193905252
2020-07-12,0.0050939758788730582
2020-07-13,0.003405588394200576
2020-07-14,0.007084488500852526
2020-07-15,0.0029205625917048117
2020-07-16,0.0021303334248121697
2020-07-17,0.00021865019198630264
2020-07-18,-0.002695824192165186
2020-07-19,-0.0044723486425034542
2020-07-20,-0.007287797006056973
2020-07-21,-0.003116097080390956
2020-07-22,-0.00054930034876021772
2020-07-23,6.2821481734642859e-05
2020-07-24,0.0014668663274752802
2020-07-25,0.0029279360478979832
2020-07-26,0.0020036328883803467
2020-07-27,0.019111420819791114
2020-07-28,0.00018676535077988277
2020-07-29,0.0025388564975232786
2020-07-30,-0.0063478651213221271
2020-07-31,0.0022357989613761564
2020-08-01,0.0050572144775675731
2020-08-02,0.0023719962319252996
2020-08-03,0.001181587086784619
2020-08-04,-0.0046822135209354521
2020-08-05,0.0020903512685734871
2020-08-06,0.0018394850449390265
2020-08-07,-0.0022887084607762231
2020-08-08,0.0011448644978391265
2020-08-09,-0.00049970145058353399
2020-08-10,-0.0051705860069614085
2020-08-11,-0.00066371949325638724
2020-08-12,0.004091054651798931
2020-08-13,-0.0047577598563660617
2020-08-14,-0.0011278222990532827
2020-08-15,-0.00042889627415421128
2020-08-16,-0.00088094180184361548
2020-08-17,-0.0040655750341674901
2020-08-18,-0.00068279711777297081
2020-08-19,0.0075503489897115195
2020-08-20,0.01728898114793842
2020-08-21,0.0075014432745570403
2020-08-22,0.0035173269275670105
2020-08-23,0.0061857094572097537
2020-08-24,-0.0011498477233714555
2020-08-25,-0.0040620657147120154
2020-08-26,-0.005801647117265385
2020-08-27,-0.0012943969430049274
2020-08-28,-0.0011300608175787152
2020-08-29,0.00090595245229141419
2020-08-30,-0.0031895681866465075
2020-08-31,-0.00070412766564298401
2020-09-01,0.01251539001801838
2020-09-02,-0.0043915512669002732
2020-09-03,0.029663538003161349
2020-09-04,-0.01654774322030983
2020-09-05,0.01878363054554022
2020-09-06,-0.0124364780607501
2020-09-07,-0.00059560926895108057
2020-09-08,-0.0013281567313889742
2020-09-09,-0.00033449690439435464
2020-09-10,0.0051271032438744424
2020-09-11,0.0034075384744973736
2020-09-12,0.0025893589192471644
2020-09-13,-0.00065854922202268629
2020-09-14,-0.0012978138218282531
2020-09-15,0.0044549847603154724
2020-09-16,-0.0015815559723504347
2020-09-17,0.0063641722165677095
2020-09-18,0.0037416003842145606
2020-09-19,-0.0028384953342517338
2020-09-20,0.0029733241198972582
2020-09-21,-0.001187060449712507
2020-09-22,-0.0093139278258187463
2020-09-23,0.01056087213149115
2020-09-24,-0.016063518868033699
2020-09-25,-0.010280515155304371
2020-09-26,0.0018410376907767034
2020-09-27,-0.0015348315040212279
2020-09-28,-0.0045498030582626914
2020-09-29,0.0064606573450090021
2020-09-30,0.0076161255786659776
2020-10-01,-0.0017250258577669042
2020-10-02,0.0040377792500090326
2020-10-03,0.0012879142697896917
2020-10-04,0.0055440237392241354
2020-10-05,-0.00036505864048752557
2020-10-06,0.010592340011987389
2020-10-07,-0.0066791318952036383
2020-10-08,-0.0035305589458479725
2020-10-09,-0.0045326377469868673
2020-10-10,0.0021901993280810661
2020-10-11,0.00080258780972775057
2020-10-12,0.00033992330166188189
2020-10-13,-0.0011976053867532865
2020-10-14,0.0034473330526203494
2020-10-15,0.00034320287583389231
2020-10-16,0.006022147112612064
2020-10-17,-0.0053886749481909524
2020-10-18,-0.0078493873738169073
2020-10-19,0.01182826960361405
2020-10-20,0.007303114666842081
2020-10-21,0.0069483429235424055
2020-10-22,-0.001340625710537946
2020-10-23,-0.00097958106520878996
2020-10-24,0.0032081508402557191
2020-10-25,0.0021402770233434065
2020-10-26,-0.0027146769034057661
2020-10-27,-0.0064508161013102638
2020-10-28,0.0064256048145550082
2020-10-29,0.008804025311609065
2020-10-30,-0.0018980593127310152
2020-10-31,0.0053611529106982747
2020-11-01,-0.0039631608740011703
2020-11-02,0.0017326125607255438
2020-11-03,0.0024373016413055115
2020-11-04,0.0042124031784871452
2020-11-05,-0.0027160924835466504
2020-11-06,-0.014675913389319395
2020-11-07,-0.0069456642623622056
2020-11-08,-0.00099445989626800735
2020-11-09,0.0014208845268781634
2020-11-10,-0.033445411750484544
2020-11-11,-0.0078577307698923793
2020-11-12,-0.0042884215549291449
2020-11-13,-0.0029497949206239715
2020-11-14,0.0030455306902497092
2020-11-15,-0.0014722803911156879
2020-11-16,0.0041669394442707119
2020-11-17,0.00050184648871831605
2020-11-18,-0.0033529585802923867
2020-11-19,0.018946025260101917
2020-11-20,0.0047366985314827303
2020-11-21,-0.011546645644807896
2020-11-22,0.0010773031938862143
2020-11-23,0.00085304693879084681
2020-11-24,-0.0031693948608452205
2020-11-25,-0.0085187149600868262
2020-11-26,-0.003210692415710481
2020-11-27,-0.00051861082649939938
2020-11-28,-0.0019278327370153558
2020-11-29,-0.0045576749837300534
2020-11-30,0.0037585165686859767
2020-12-01,-0.006424838998354665
2020-12-02,0.0054162354565221449
2020-12-03,-9.8567662946691392e-05
2020-12-04,-0.008367194378416376
2020-12-05,0.0076256027846903773
2020-12-06,-0.0022678589345792588
2020-12-07,0.0045106750533796536
2020-12-08,0.0026650837703752206
2020-12-09,-0.0028135223549557997
2020-12-10,0.00054436192149465157
2020-12-11,0.0016762295337890976
2020-12-12,-0.0049821641098295455
2020-12-13,0.00064979894150285489
2020-12-14,-0.00099296016055983038
2020-12-15,-0.0026641660655740695
2020-12-16,0.0047654056442236747
2020-12-17,-0.0034334432565589212
2020-12-18,0.0048826617675921113
2020-12-19,0.005777225902103611
2020-12-20,0.0030843075910091944
2020-12-21,0.0058610819305564554
2020-12-22,0.0025982035537437387
2020-12-23,0.027120967851405053
2020-12-24,-0.025663001842576083
2020-12-25,0.005860237099785337
2020-12-26,0.020949369117168049
2020-12-27,-0.0082295326572632277
2020-12-28,0.014901315190308573
2020-12-29,0.008053071135137202
2020-12-30,-0.0034995651284595031
2020-12-31,-0.0067631581149505404
2021-01-01,-0.0032948826073657678
2021-01-02,0.00088366726416699848
2021-01-03,-0.0032572168075826191
2021-01-04,-0.0024623940087580287
2021-01-05,0.0066252698922093511
2021-01-06,0.0082168003533877876
2021-01-07,-0.018401573596593335
2021-01-08,0.0042443096473874231
2021-01-09,0.013941447602723311
2021-01-10,-0.01981925193000833
2021-01-11,-0.0035392518753822877
2021-01-12,0.0011882722283096392
2021-01-13,-0.0094865754937981661
2021-01-14,0.0037266133289683978
2021-01-15,-0.00020313578938702115
2021-01-16,0.014070602746667493
2021-01-17,0.0065109604675939181
2021-01-18,-0.0039121691143743087
2021-01-19,-0.013305211224844071
2021-01-20,0.011914638200145378
2021-01-21,0.013006471956228838
2021-01-22,-0.0099662298287458428
2021-01-23,0.0034776747680795861
2021-01-24,0.0064981384664566377
2021-01-25,-0.0099055023991502233
2021-01-26,0.0092302680983555874
2021-01-27,0.0082544510509527935
2021-01-28,-0.0073215492767787493
2021-01-29,-0.0005315452699010681
2021-01-30,0.014782167075256147
2021-01-31,0.0023365226657994231
2021-02-01,-0.0039432016770811762
2021-02-02,-0.0061032507639023903
2021-02-03,0.011929177795602541
2021-02-04,0.013507896312906276
2021-02-05,-0.0012472313086696607
2021-02-06,-0.0044334734698120437
2021-02-07,0.015114431533754358
2021-02-08,-0.0051057876883738862
2021-02-09,-0.0077228892945309102
2021-02-10,0.023438051924261183
2021-02-11,0.0094602111590518234
2021-02-12,0.012720722665025885
2021-02-13,-0.0021061926501529937
2021-02-14,-0.0046054037627355493
2021-02-15,-0.0040124804378203205
2021-02-16,-0.00084575443757084479
2021-02-17,0.0010265876267365748
2021-02-18,-0.0067306333052347123
2021-02-19,0.015803044543060363
2021-02-20,-0.016404232862857304
2021-02-21,0.0092906115662660937
2021-02-22,0.0095489646107154158
2021-02-23,0.010039622797968661
2021-02-24,0.009351655581477436
2021-02-25,-0.0045445196353419703
2021-02-26,0.0031560848776426287
2021-02-27,-0.0012373005132074733
2021-02-28,0.0034715443096002829
2021-03-01,-0.0055006410443602105
