symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,slippage_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence
BTCUSDT,1,47186.830000,45201.348967,1.0000,1641023999999,1641427199999,stop_loss,-4.2077,0.1000,0.0400,-4.3477,-4.3477,45201.348967,51157.792066,1641628799999,0.450000
BTCUSDT,1,41851.220000,39970.471887,1.0000,1641772799999,1641830399999,stop_loss,-4.4939,0.1000,0.0400,-4.6339,-4.6339,39970.471887,45612.716227,1642377599999,0.450000
BTCUSDT,1,41716.420000,41574.090000,1.0000,1641916799999,1642521600000,timeout,-0.3412,0.1000,0.0400,-0.4812,-0.4812,39775.296640,45598.666721,1642521599999,0.500000
BTCUSDT,1,41657.890000,40221.091594,1.0000,1642636799999,1642751999999,stop_loss,-3.4490,0.1000,0.0400,-3.5890,-3.5890,40221.091594,44531.486811,1643241599999,0.800000
BTCUSDT,1,36035.000000,38420.650000,1.0000,1643097599999,1643702400000,timeout,6.6204,0.1000,0.0400,6.4804,6.4804,33463.703195,41177.593610,1643702399999,0.650000
BTCUSDT,-1,38268.320000,39843.854997,0.3300,1643788799999,1643990399999,stop_loss,-4.1171,0.1000,0.0400,-4.2571,-1.4048,39843.854997,35117.250005,1644393599999,0.650000
BTCUSDT,-1,42712.800000,44401.254838,0.3300,1644220799999,1644278399999,stop_loss,-3.9530,0.1000,0.0400,-4.0930,-1.3507,44401.254838,39335.890323,1644825599999,0.300000
BTCUSDT,1,44021.570000,42010.536249,0.3300,1644364799999,1644623999999,stop_loss,-4.5683,0.1000,0.0400,-4.7083,-1.5537,42010.536249,48043.637502,1644969599999,0.200000
BTCUSDT,1,42199.870000,40219.154029,0.3300,1644710399999,1645142399999,stop_loss,-4.6937,0.1000,0.0400,-4.8337,-1.5951,40219.154029,46161.301942,1645315199999,0.450000
BTCUSDT,1,38770.400000,37188.612712,0.3300,1645343999999,1645459199999,stop_loss,-4.0799,0.1000,0.0400,-4.2199,-1.3926,37188.612712,41933.974575,1645948799999,0.250000
BTCUSDT,1,38212.000000,36343.174121,0.3300,1645574399999,1645689599999,stop_loss,-4.8907,0.1000,0.0400,-5.0307,-1.6601,36343.174121,41949.651757,1646179199999,0.350000
BTCUSDT,1,38462.500000,43289.978086,0.3300,1645775999999,1646092799999,take_profit,12.5511,0.1000,0.0400,12.4111,4.0957,36048.760957,43289.978086,1646380799999,0.400000
BTCUSDT,-1,41427.600000,39111.600000,0.3300,1646380799999,1646985600000,timeout,5.5905,0.1000,0.0400,5.4505,1.7987,43678.711662,36925.376676,1646985599999,0.400000
BTCUSDT,1,39092.800000,41605.000000,0.3300,1647071999999,1647676800000,timeout,6.4262,0.1000,0.0400,6.2862,2.0745,37101.189869,43076.020261,1647676799999,0.450000
BTCUSDT,-1,41848.700000,43356.688173,0.3300,1647763199999,1647935999999,stop_loss,-3.6034,0.1000,0.0400,-3.7434,-1.2353,43356.688173,38832.723653,1648367999999,0.550000
BTCUSDT,-1,42094.100000,43598.828307,0.3300,1648022399999,1648137599999,stop_loss,-3.5747,0.1000,0.0400,-3.7147,-1.2258,43598.828307,39084.643387,1648627199999,0.550000
BTCUSDT,-1,44320.200000,45798.189031,0.3300,1648223999999,1648425599999,stop_loss,-3.3348,0.1000,0.0400,-3.4748,-1.1467,45798.189031,41364.221938,1648828799999,1.000000
BTCUSDT,-1,47330.100000,44475.197418,0.3300,1648540799999,1648799999999,take_profit,6.0319,0.1000,0.0400,5.8919,1.9443,48757.551291,44475.197418,1649145599999,1.000000
BTCUSDT,-1,46578.000000,43432.899512,0.3300,1648886399999,1649289599999,take_profit,6.7523,0.1000,0.0400,6.6123,2.1821,48150.550244,43432.899512,1649491199999,0.450000
BTCUSDT,1,43417.100000,41904.111106,0.3300,1649375999999,1649635199999,stop_loss,-3.4848,0.1000,0.0400,-3.6248,-1.1962,41904.111106,46443.077788,1649980799999,0.050000
BTCUSDT,-1,41129.800000,41326.000000,0.3300,1649894399999,1650499200000,timeout,-0.4770,0.1000,0.0400,-0.6170,-0.2036,42657.131979,38075.136041,1650499199999,0.200000
BTCUSDT,-1,40687.100000,37752.966778,0.3300,1650614399999,1651017599999,take_profit,7.2115,0.1000,0.0400,7.0715,2.3336,42154.166611,37752.966778,1651219199999,0.050000
BTCUSDT,-1,39209.000000,39684.100000,0.3300,1651103999999,1651708800000,timeout,-1.2117,0.1000,0.0400,-1.3517,-0.4461,40743.745621,36139.508758,1651708799999,0.050000
BTCUSDT,1,36359.300000,34644.190786,0.3300,1651823999999,1651996799999,stop_loss,-4.7171,0.1000,0.0400,-4.8571,-1.6028,34644.190786,39789.518428,1652428799999,0.300000
BTCUSDT,1,30172.300000,30251.600000,0.3300,1652428799999,1653033600000,timeout,0.2628,0.1000,0.0400,0.1228,0.0405,27254.264447,36008.371106,1653033599999,0.700000
BTCUSDT,1,29411.100000,28871.000000,0.3300,1653119999999,1653724800000,timeout,-1.8364,0.1000,0.0400,-1.9764,-0.6522,27779.193105,32674.913790,1653724799999,0.750000
BTCUSDT,1,29000.400000,31006.714740,0.3300,1653811199999,1653955199999,take_profit,6.9182,0.1000,0.0400,6.7782,2.2368,27997.242630,31006.714740,1654415999999,0.600000
BTCUSDT,-1,31479.600000,30547.900000,0.3300,1654070399999,1654675200000,timeout,2.9597,0.1000,0.0400,2.8197,0.9305,32651.988141,29134.823718,1654675199999,0.100000
BTCUSDT,-1,30477.300000,27897.207285,0.3300,1654761599999,1655020799999,take_profit,8.4656,0.1000,0.0400,8.3256,2.7475,31767.346357,27897.207285,1655366399999,0.150000
BTCUSDT,1,21087.500000,18976.296491,0.3300,1655452799999,1655567999999,stop_loss,-10.0116,0.1000,0.0400,-10.1516,-3.3500,18976.296491,25309.907017,1656057599999,0.900000
BTCUSDT,1,20564.200000,21029.100000,0.3300,1655683199999,1656288000000,timeout,2.2607,0.1000,0.0400,2.1207,0.6998,18519.513932,24653.572137,1656287999999,0.750000
BTCUSDT,1,20730.000000,19641.468492,0.3300,1656374399999,1656575999999,stop_loss,-5.2510,0.1000,0.0400,-5.3910,-1.7790,19641.468492,22907.063015,1656979199999,0.700000
BTCUSDT,-1,19566.100000,20749.801641,0.3300,1656662399999,1657209599999,stop_loss,-6.0498,0.1000,0.0400,-6.1898,-2.0426,20749.801641,17198.696717,1657267199999,0.300000
BTCUSDT,-1,21947.300000,19852.211568,0.3300,1657295999999,1657612799999,take_profit,9.5460,0.1000,0.0400,9.4060,3.1040,22994.844216,19852.211568,1657900799999,0.750000
BTCUSDT,-1,19699.500000,20586.128158,0.3300,1657699199999,1657843199999,stop_loss,-4.5008,0.1000,0.0400,-4.6408,-1.5315,20586.128158,17926.243683,1658303999999,0.650000
BTCUSDT,-1,20823.100000,21791.208113,0.3300,1657929599999,1658131199999,stop_loss,-4.6492,0.1000,0.0400,-4.7892,-1.5804,21791.208113,18886.883775,1658534399999,0.650000
BTCUSDT,-1,21761.000000,22965.303294,0.3300,1658217599999,1658246399999,stop_loss,-5.5342,0.1000,0.0400,-5.6742,-1.8725,22965.303294,19352.393411,1658822399999,0.550000
BTCUSDT,-1,23221.500000,22941.100000,0.3300,1658361599999,1658966400000,timeout,1.2075,0.1000,0.0400,1.0675,0.3523,24579.296825,20505.906351,1658966399999,0.700000
BTCUSDT,-1,24522.800000,23191.200000,0.3300,1659196799999,1659801600000,timeout,5.4300,0.1000,0.0400,5.2900,1.7457,25600.186707,22368.026586,1659801599999,0.650000
BTCUSDT,1,23012.100000,24416.416701,0.3300,1659887999999,1660204799999,take_profit,6.1025,0.1000,0.0400,5.9625,1.9676,22309.941650,24416.416701,1660492799999,0.200000
BTCUSDT,-1,23966.700000,24825.153659,0.3300,1660319999999,1660377599999,stop_loss,-3.5819,0.1000,0.0400,-3.7219,-1.2282,24825.153659,22249.792683,1660924799999,0.050000
BTCUSDT,-1,24867.100000,23258.167347,0.3300,1660463999999,1660780799999,take_profit,6.4701,0.1000,0.0400,6.3301,2.0889,25671.566327,23258.167347,1661068799999,0.050000
BTCUSDT,1,23185.100000,22482.206638,0.3300,1660867199999,1660895999999,stop_loss,-3.0317,0.1000,0.0400,-3.1717,-1.0466,22482.206638,24590.886723,1661471999999,0.200000
BTCUSDT,1,21297.300000,20488.590003,0.3300,1661241599999,1661558399999,stop_loss,-3.7972,0.1000,0.0400,-3.9372,-1.2993,20488.590003,22914.719994,1661846399999,0.050000
BTCUSDT,1,19885.300000,19739.900000,0.3300,1661759999999,1662364800000,timeout,-0.7312,0.1000,0.0400,-0.8712,-0.2875,19190.856744,21274.186512,1662364799999,0.350000
