feature_name,mean_gain,importance_rank
trend_sma_50,9093.4453,1
vol_ad,7952.4196,2
vol_garman_klass_50,5095.6946,3
vol_obv,4592.1337,4
vol_taker_buy_ratio_sma_50,4297.3893,5
mr_pct_from_low_100,3363.3213,6
stat_kurtosis_50,3083.6235,7
mr_pct_from_high_100,3079.9963,8
trend_aroon_osc_50,3059.6375,9
stat_autocorr_lag10,3025.7936,10
stat_autocorr_lag1,2941.6754,11
stat_skew_50,2928.3592,12
trend_adx_14,2746.8421,13
stat_skew_20,2743.9762,14
stat_autocorr_lag5,2712.575,15
trend_aroon_osc_25,2145.2263,16
vol_hist_10,1789.2248,17
trend_plus_di_21,1784.8911,18
trend_aroon_down_50,1687.7485,19
mr_pct_from_low_20,1563.3193,20
vol_cmf_20,1476.1243,21
stat_kurtosis_30,1396.4292,22
mom_macd_hist_12_26_9,1373.4395,23
trend_adx_7,1217.4698,24
vol_taker_buy_ratio_sma_10,891.8735,25
mr_pct_from_high_10,848.6496,26
trend_psar_af,800.5542,27
stat_skew_10,612.3251,28
vol_hist_5,538.901,29
stat_kurtosis_10,392.1287,30
trend_aroon_osc_14,389.8328,31
mr_bb_pctb_10,375.9739,32
trend_aroon_down_25,370.349,33
mom_macd_hist_5_13_3,358.4495,34
trend_supertrend_7_3,323.7844,35
trend_supertrend_10_2,244.6355,36
cal_dow_norm,171.6342,37
vol_volume_pctchg_15,128.5572,38
vol_volume_pctchg_20,90.6569,39
vol_taker_buy_ratio,79.017,40
mr_rsi_extreme_14,22.8322,41
cal_hour_norm,0.0,42
interact_natr_x_adx,0.0,43
interact_ret1_x_natr,0.0,44
interact_ret1_x_ret3,0.0,45
interact_rsi_x_adx,0.0,46
interact_rsi_x_natr,0.0,47
interact_stoch_x_adx,0.0,48
mom_macd_hist_8_21_5,0.0,49
mom_macd_line_12_26_9,0.0,50
mom_macd_line_5_13_3,0.0,51
mom_macd_line_8_21_5,0.0,52
mom_macd_signal_12_26_9,0.0,53
mom_macd_signal_5_13_3,0.0,54
mom_macd_signal_8_21_5,0.0,55
mom_mom_10,0.0,56
mom_mom_15,0.0,57
mom_mom_20,0.0,58
mom_mom_5,0.0,59
mom_roc_10,0.0,60
mom_roc_15,0.0,61
mom_roc_20,0.0,62
mom_roc_3,0.0,63
mom_roc_30,0.0,64
mom_roc_5,0.0,65
mom_rsi_14,0.0,66
mom_rsi_21,0.0,67
mom_rsi_30,0.0,68
mom_rsi_5,0.0,69
mom_rsi_7,0.0,70
mom_rsi_9,0.0,71
mom_stoch_d_14,0.0,72
mom_stoch_d_21,0.0,73
mom_stoch_d_5,0.0,74
mom_stoch_d_9,0.0,75
mom_stoch_k_14,0.0,76
mom_stoch_k_21,0.0,77
mom_stoch_k_5,0.0,78
mom_stoch_k_9,0.0,79
mom_willr_14,0.0,80
mom_willr_21,0.0,81
mom_willr_7,0.0,82
mr_bb_pctb_15,0.0,83
mr_bb_pctb_20,0.0,84
mr_bb_pctb_30,0.0,85
