metric,in_sample,out_of_sample,ratio
sharpe,0.5370,0.0602,0.1121
sortino,0.3579,0.0268,0.0750
max_drawdown,14.57%,6.21%,0.4262
win_rate,28.4%,33.3%,1.1754
profit_factor,1.5303,1.0328,0.6749
total_trades,67,36,0.5373
calmar_ratio,1.7555,0.0855,0.0487
dsr,-28.0817,-54.8549,1.9534
total_net_pnl,25.5745,0.5309,0.0208
specialist_dispersion_mean,38.99208865915135,,
psr_monthly_vs_0,0.853981,0.531973,0.6229
psr_monthly_vs_1,0.245291,0.161238,0.6573
psr_daily_vs_0,0.860355,0.526233,0.6116
n_effective_trials,6,6,1.0000
n_eff_per_cell_median,6,6,1.0000
r5_fire_rate_is,0.000000,0.000000,—
r5_fire_rate_oos,0.000000,0.000000,—
r5_binary_kill_fire_rate_is,0.000000,0.000000,—
r5_binary_kill_fire_rate_oos,0.000000,0.000000,—
vol_ceiling_fire_rate_is,0.000000,0.000000,—
vol_ceiling_fire_rate_oos,0.000000,0.000000,—
trend_scale_fire_rate_is,0.000000,0.000000,—
trend_scale_fire_rate_oos,0.000000,0.000000,—
trend_scale_avg_long_mult_is,1.000000,1.000000,1.0000
trend_scale_avg_long_mult_oos,1.000000,1.000000,1.0000
