metric,in_sample,out_of_sample,ratio
sharpe,0.3946,-0.0331,-0.0840
sortino,0.4670,-0.0480,-0.1029
max_drawdown,55.31%,47.93%,0.8667
win_rate,31.7%,31.2%,0.9844
profit_factor,1.3239,0.9845,0.7436
total_trades,63,32,0.5079
calmar_ratio,1.0772,0.0309,0.0287
dsr,4.6756,-0.6000,-0.1283
total_net_pnl,59.5743,-1.4834,-0.0249
specialist_dispersion_mean,0.0,,
psr_monthly_vs_0,0.807348,0.486368,0.6024
psr_monthly_vs_1,0.250994,0.175120,0.6977
psr_daily_vs_0,0.767996,0.486567,0.6336
n_effective_trials,1,1,1.0000
n_eff_per_cell_median,1,1,1.0000
r5_fire_rate_is,0.000000,0.000000,—
r5_fire_rate_oos,0.000000,0.000000,—
r5_binary_kill_fire_rate_is,0.000000,0.000000,—
r5_binary_kill_fire_rate_oos,0.000000,0.000000,—
vol_ceiling_fire_rate_is,0.000000,0.000000,—
vol_ceiling_fire_rate_oos,0.000000,0.000000,—
trend_scale_fire_rate_is,0.000000,0.000000,—
trend_scale_fire_rate_oos,0.000000,0.000000,—
trend_scale_avg_long_mult_is,1.000000,1.000000,1.0000
trend_scale_avg_long_mult_oos,1.000000,1.000000,1.0000
