metric,in_sample,out_of_sample,ratio
sharpe,-0.4787,-0.9589,2.0030
sortino,-0.5018,-1.5126,3.0145
max_drawdown,50.79%,26.18%,0.5154
win_rate,40.0%,35.8%,0.8951
profit_factor,0.8579,0.7720,0.8998
total_trades,215,81,0.3767
calmar_ratio,0.5684,0.6469,1.1382
dsr,-43.7715,-38.2060,0.8729
total_net_pnl,-28.8705,-16.9357,0.5866
specialist_dispersion_mean,47.6673501532244,,
psr_monthly_vs_0,0.177638,0.215653,1.2140
psr_monthly_vs_1,0.003426,0.060310,17.6037
psr_daily_vs_0,0.207082,0.156613,0.7563
n_effective_trials,1,1,1.0000
n_eff_per_cell_median,1,1,1.0000
r5_fire_rate_is,0.000000,0.000000,—
r5_fire_rate_oos,0.000000,0.000000,—
r5_binary_kill_fire_rate_is,0.000000,0.000000,—
r5_binary_kill_fire_rate_oos,0.000000,0.000000,—
vol_ceiling_fire_rate_is,0.000000,0.000000,—
vol_ceiling_fire_rate_oos,0.000000,0.000000,—
trend_scale_fire_rate_is,0.000000,0.000000,—
trend_scale_fire_rate_oos,0.000000,0.000000,—
trend_scale_avg_long_mult_is,1.000000,1.000000,1.0000
trend_scale_avg_long_mult_oos,1.000000,1.000000,1.0000
