metric,in_sample,out_of_sample,ratio
sharpe,0.6260,1.4306,2.2855
sortino,0.7475,1.8322,2.4512
max_drawdown,72.92%,45.08%,0.6182
win_rate,32.2%,37.8%,1.1757
profit_factor,1.4736,2.0785,1.4105
total_trades,87,37,0.4253
calmar_ratio,1.8011,2.3561,1.3081
dsr,5.6605,8.0409,1.4205
total_net_pnl,131.3453,106.2146,0.8087
specialist_dispersion_mean,0.0,,
psr_monthly_vs_0,0.912856,0.950714,1.0415
psr_monthly_vs_1,0.329871,0.689065,2.0889
psr_daily_vs_0,0.897244,0.967626,1.0784
n_effective_trials,1,1,1.0000
n_eff_per_cell_median,1,1,1.0000
r5_fire_rate_is,0.000000,0.000000,—
r5_fire_rate_oos,0.000000,0.000000,—
r5_binary_kill_fire_rate_is,0.000000,0.000000,—
r5_binary_kill_fire_rate_oos,0.000000,0.000000,—
vol_ceiling_fire_rate_is,0.000000,0.000000,—
vol_ceiling_fire_rate_oos,0.000000,0.000000,—
trend_scale_fire_rate_is,0.000000,0.000000,—
trend_scale_fire_rate_oos,0.000000,0.000000,—
trend_scale_avg_long_mult_is,1.000000,1.000000,1.0000
trend_scale_avg_long_mult_oos,1.000000,1.000000,1.0000
