metric,in_sample,out_of_sample,ratio
sharpe,-0.2673,0.8527,-3.1905
sortino,-0.2925,3.2488,-11.1088
max_drawdown,128.14%,31.04%,0.2422
win_rate,26.1%,28.6%,1.0952
profit_factor,0.8635,2.6118,3.0247
total_trades,92,28,0.3043
calmar_ratio,0.3655,5.9814,16.3668
dsr,-37.8239,-4.4519,0.1177
total_net_pnl,-46.8313,185.6351,-3.9639
specialist_dispersion_mean,42.47718601481816,,
psr_monthly_vs_0,0.295977,0.924843,3.1247
psr_monthly_vs_1,0.056536,0.473477,8.3748
psr_daily_vs_0,0.328747,0.922948,2.8075
n_effective_trials,6,6,1.0000
n_eff_per_cell_median,6,6,1.0000
r5_fire_rate_is,0.000000,0.000000,—
r5_fire_rate_oos,0.000000,0.000000,—
r5_binary_kill_fire_rate_is,0.000000,0.000000,—
r5_binary_kill_fire_rate_oos,0.000000,0.000000,—
vol_ceiling_fire_rate_is,0.000000,0.000000,—
vol_ceiling_fire_rate_oos,0.000000,0.000000,—
trend_scale_fire_rate_is,0.000000,0.000000,—
trend_scale_fire_rate_oos,0.000000,0.000000,—
trend_scale_avg_long_mult_is,1.000000,1.000000,1.0000
trend_scale_avg_long_mult_oos,1.000000,1.000000,1.0000
