half,symbol,reference_name,n_target,n_reference,n_overlap,pct_target_in_reference,pct_reference_in_target,asymmetric_diff
IS,BTCUSDT,baseline,78,113,20,25.641026,17.699115,7.941911
IS,BTCUSDT,iter010,78,132,69,88.461538,52.272727,36.188811
IS,DOTUSDT,baseline,116,93,26,22.413793,27.956989,-5.543196
IS,DOTUSDT,iter010,116,124,106,91.37931,85.483871,5.895439
IS,ETHUSDT,baseline,123,145,29,23.577236,20.0,3.577236
IS,ETHUSDT,iter010,123,145,120,97.560976,82.758621,14.802355
IS,LINKUSDT,baseline,149,146,47,31.543624,32.191781,-0.648157
IS,LINKUSDT,iter010,149,152,149,100.0,98.026316,1.973684
IS,LTCUSDT,baseline,104,124,23,22.115385,18.548387,3.566998
IS,LTCUSDT,iter010,104,110,97,93.269231,88.181818,5.087413
IS,PORTFOLIO,baseline,570,621,145,25.438596,23.349436,2.08916
IS,PORTFOLIO,iter010,570,663,541,94.912281,81.598793,13.313487
OOS,BTCUSDT,baseline,17,35,1,5.882353,2.857143,3.02521
OOS,BTCUSDT,iter010,17,38,13,76.470588,34.210526,42.260062
OOS,DOTUSDT,baseline,48,46,6,12.5,13.043478,-0.543478
OOS,DOTUSDT,iter010,48,48,48,100.0,100.0,0.0
OOS,ETHUSDT,baseline,36,46,12,33.333333,26.086957,7.246377
OOS,ETHUSDT,iter010,36,39,34,94.444444,87.179487,7.264957
OOS,LINKUSDT,baseline,47,28,6,12.765957,21.428571,-8.662614
OOS,LINKUSDT,iter010,47,48,46,97.87234,95.833333,2.039007
OOS,LTCUSDT,baseline,32,34,5,15.625,14.705882,0.919118
OOS,LTCUSDT,iter010,32,37,27,84.375,72.972973,11.402027
OOS,PORTFOLIO,baseline,180,189,30,16.666667,15.873016,0.793651
OOS,PORTFOLIO,iter010,180,210,168,93.333333,80.0,13.333333
