symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence
LINKUSDT,-1,15.195000,15.977986,1.0000,1742889599999,1743004799999,stop_loss,-5.1529,0.1000,-5.2529,-5.2529,15.977986,13.629028,1743494399999,0.842253
ETHUSDT,-1,2054.800000,1915.683962,0.3300,1742889599999,1743148799999,take_profit,6.7703,0.1000,6.6703,2.2012,2124.358019,1915.683962,1743494399999,0.791283
LTCUSDT,1,86.070000,81.577093,1.0000,1743235199999,1743436799999,stop_loss,-5.2201,0.1000,-5.3201,-5.3201,81.577093,95.055814,1743839999999,0.812408
BTCUSDT,-1,83037.400000,85082.398981,1.0000,1743321599999,1743523199999,stop_loss,-2.4627,0.1000,-2.5627,-2.5627,85082.398981,78947.402038,1743926399999,0.606361
ETHUSDT,-1,1841.370000,1919.610110,0.3300,1743436799999,1743523199999,stop_loss,-4.2490,0.1000,-4.3490,-1.4352,1919.610110,1684.889780,1744041599999,0.615367
LTCUSDT,1,85.610000,81.374844,1.0000,1743523199999,1743580799999,stop_loss,-4.9470,0.1000,-5.0470,-5.0470,81.374844,94.080312,1744127999999,0.841685
ETHUSDT,1,1900.090000,1821.823340,0.3300,1743609599999,1743638399999,stop_loss,-4.1191,0.1000,-4.2191,-1.3923,1821.823340,2056.623319,1744214399999,0.713373
SOLUSDT,-1,131.530000,118.072086,0.3300,1743148799999,1743638399999,take_profit,10.2318,0.1000,10.1318,3.3435,138.258957,118.072086,1743753599999,0.709628
BTCUSDT,-1,83968.200000,78159.383050,1.0000,1743753599999,1743983999999,take_profit,6.9179,0.1000,6.8179,6.8179,86872.608475,78159.383050,1744358399999,0.785957
LTCUSDT,1,82.150000,77.108599,1.0000,1743868799999,1743983999999,stop_loss,-6.1368,0.1000,-6.2368,-6.2368,77.108599,92.232802,1744473599999,0.834999
LINKUSDT,-1,12.838000,10.930858,1.0000,1743897599999,1744012799999,take_profit,14.8554,0.1000,14.7554,14.7554,13.791571,10.930858,1744502399999,0.683175
DOTUSDT,-1,4.055000,3.501061,0.3300,1743782399999,1744012799999,take_profit,13.6606,0.1000,13.5606,4.4750,4.331969,3.501061,1744387199999,0.758396
SOLUSDT,-1,117.080000,100.678419,0.3300,1743724799999,1744012799999,take_profit,14.0089,0.1000,13.9089,4.5899,125.280790,100.678419,1744329599999,0.724474
ETHUSDT,1,1595.030000,1600.990000,0.3300,1744271999999,1744876800000,timeout,0.3737,0.1000,0.2737,0.0903,1455.155042,1874.779917,1744876799999,0.956833
DOTUSDT,1,3.410000,3.638000,0.5960,1744300799999,1744905600000,timeout,6.6862,0.1000,6.5862,3.9257,3.064560,4.100881,1744905599999,0.738252
LINKUSDT,-1,12.067000,12.530000,1.0000,1744329599999,1744934400000,timeout,-3.8369,0.1000,-3.9369,-3.9369,13.348678,9.503644,1744934399999,0.704234
BTCUSDT,-1,84495.500000,87152.374579,1.0000,1744905599999,1745222399999,stop_loss,-3.1444,0.1000,-3.2444,-3.2444,87152.374579,79181.750842,1745510399999,0.768088
