feature_name,mean_gain,importance_rank
trend_aroon_osc_50,6513.4821,1
vol_atr_14,5044.9132,2
stat_skew_20,3291.8199,3
vol_bb_bandwidth_20,3287.6455,4
stat_autocorr_lag5,3228.8277,5
interact_natr_x_adx,2824.2188,6
trend_adx_14,2779.8266,7
mom_macd_line_12_26_9,2389.7604,8
vol_natr_14,1896.4365,9
stat_kurtosis_20,1789.2374,10
vol_cmf_14,1460.5229,11
mom_macd_hist_12_26_9,1266.6769,12
mr_pct_from_high_20,1250.8978,13
trend_plus_di_14,1249.1014,14
trend_minus_di_14,1018.4146,15
mr_pct_from_low_20,979.8141,16
interact_rsi_x_adx,931.3243,17
trend_aroon_osc_14,706.668,18
vol_mfi_14,619.1862,19
trend_ema_cross_5_12,522.8912,20
mom_stoch_d_14,494.4058,21
interact_rsi_x_natr,371.2791,22
cal_dow_norm,364.3015,23
interact_stoch_x_adx,354.1732,24
mom_rsi_14,317.6083,25
trend_supertrend_14_3,283.9103,26
mom_roc_10,241.4452,27
mom_stoch_k_14,208.6382,28
mom_willr_14,200.0152,29
stat_return_5,194.733,30
vol_range_spike_72,145.8243,31
vol_volume_rel_20,65.6725,32
vol_volume_pctchg_5,54.0123,33
vol_range_spike_24,49.433,34
vol_taker_buy_ratio,42.2925,35
interact_ret1_x_ret3,28.5436,36
interact_ret1_x_natr,25.5558,37
stat_log_return_1,21.8744,38
cal_hour_norm,0.8263,39
mr_rsi_extreme_14,0.7715,40
