feature_name,mean_gain,importance_rank
vol_atr_14,12520.9319,1
trend_aroon_osc_50,12480.3203,2
stat_autocorr_lag5,7379.9225,3
stat_skew_20,5623.5747,4
interact_natr_x_adx,5599.9885,5
vol_bb_bandwidth_20,5544.221,6
trend_adx_14,5228.7214,7
mom_macd_line_12_26_9,5172.4618,8
stat_kurtosis_20,4845.2499,9
vol_natr_14,4632.9181,10
mom_macd_hist_12_26_9,2959.4348,11
vol_cmf_14,2775.9779,12
trend_minus_di_14,2286.2668,13
trend_plus_di_14,2088.9596,14
mr_pct_from_high_20,2011.9909,15
mr_pct_from_low_20,1973.6339,16
interact_rsi_x_adx,1614.3564,17
vol_mfi_14,1584.9405,18
trend_aroon_osc_14,1212.237,19
mom_stoch_d_14,895.5363,20
trend_ema_cross_5_12,833.9638,21
trend_supertrend_14_3,760.5255,22
interact_stoch_x_adx,709.0641,23
interact_rsi_x_natr,694.5574,24
mom_rsi_14,614.799,25
mom_roc_10,512.8533,26
vol_range_spike_72,506.2329,27
cal_dow_norm,504.5723,28
mom_stoch_k_14,439.7744,29
stat_return_5,425.3363,30
mom_willr_14,400.9558,31
vol_taker_buy_ratio,366.0311,32
vol_volume_rel_20,263.2736,33
vol_volume_pctchg_5,189.0849,34
vol_range_spike_24,182.0053,35
interact_ret1_x_ret3,165.7151,36
interact_ret1_x_natr,109.82,37
stat_log_return_1,94.9183,38
mr_rsi_extreme_14,6.8722,39
cal_hour_norm,4.2815,40
