feature_name,mean_gain,importance_rank
vol_atr_14,3570.0271,1
trend_aroon_osc_50,3223.349,2
stat_autocorr_lag5,1611.2841,3
mom_macd_line_12_26_9,1598.051,4
vol_natr_14,1518.3721,5
stat_skew_20,1406.307,6
stat_kurtosis_20,1381.0525,7
trend_adx_14,986.8761,8
funding_rate_zscore_30,955.3549,9
interact_natr_x_adx,891.7049,10
vol_bb_bandwidth_20,848.4327,11
funding_rate_zscore_90,810.0014,12
trend_minus_di_14,684.3778,13
mom_macd_hist_12_26_9,643.2471,14
vol_cmf_14,578.2213,15
mr_pct_from_low_20,517.4605,16
vol_mfi_14,421.6588,17
trend_plus_di_14,420.2614,18
mr_pct_from_high_20,377.2124,19
interact_rsi_x_natr,310.3844,20
trend_aroon_osc_14,233.4739,21
interact_rsi_x_adx,224.5292,22
mom_stoch_k_14,160.0031,23
trend_supertrend_14_3,152.1803,24
trend_ema_cross_5_12,147.2822,25
interact_stoch_x_adx,130.5951,26
stat_return_5,127.5718,27
mom_roc_10,122.1176,28
vol_range_spike_72,118.2499,29
mom_willr_14,114.9023,30
mom_stoch_d_14,107.1684,31
mom_rsi_14,88.2283,32
vol_volume_rel_20,71.7441,33
vol_volume_pctchg_5,70.4351,34
interact_ret1_x_ret3,66.5561,35
cal_dow_norm,63.5747,36
vol_taker_buy_ratio,59.7827,37
vol_range_spike_24,47.306,38
interact_ret1_x_natr,43.5084,39
stat_log_return_1,30.7024,40
cal_hour_norm,2.8413,41
mr_rsi_extreme_14,0.0,42
