feature_name,mean_gain,importance_rank
trend_aroon_osc_50,182.9557,1
stat_kurtosis_20,164.9585,2
stat_autocorr_lag5,163.9277,3
trend_adx_14,116.8627,4
vol_atr_14,112.7183,5
stat_skew_20,88.1634,6
interact_natr_x_adx,84.4865,7
funding_rate_zscore_90,76.1323,8
vol_mfi_14,60.442,9
vol_cmf_14,58.3905,10
vol_natr_14,54.4726,11
vol_bb_bandwidth_20,54.4634,12
trend_aroon_osc_14,50.9296,13
mom_macd_line_12_26_9,50.8883,14
mom_macd_hist_12_26_9,46.9952,15
funding_rate_zscore_30,44.2339,16
cal_dow_norm,43.8476,17
interact_rsi_x_adx,42.4296,18
mr_pct_from_low_20,41.3105,19
trend_plus_di_14,41.3076,20
interact_stoch_x_adx,34.8063,21
vol_volume_rel_20,34.6521,22
vol_taker_buy_ratio,33.3188,23
trend_minus_di_14,31.4296,24
interact_ret1_x_ret3,26.8055,25
mr_pct_from_high_20,25.5811,26
vol_range_spike_72,25.5654,27
mom_stoch_d_14,21.7935,28
stat_return_5,20.6367,29
mom_willr_14,20.5559,30
vol_volume_pctchg_5,19.9834,31
vol_range_spike_24,17.8138,32
mom_stoch_k_14,13.2148,33
trend_ema_cross_5_12,12.6454,34
interact_ret1_x_natr,12.4166,35
mom_roc_10,10.7931,36
mom_rsi_14,9.6433,37
cal_hour_norm,8.438,38
stat_log_return_1,7.9089,39
trend_supertrend_14_3,6.7266,40
interact_rsi_x_natr,6.5968,41
mr_rsi_extreme_14,0.0,42
