month,pnl_pct,trade_count
2022-01,10.6210,5
2022-02,-1.4451,2
2022-03,3.4014,5
2022-04,-0.5471,4
2022-05,-1.1980,3
2022-06,-4.2781,7
2022-07,-3.9478,3
2022-08,9.5068,3
2022-09,1.0973,2
2022-10,-1.9131,5
2022-12,-2.0787,6
2023-01,-1.0393,1
2023-02,-0.9451,5
2023-03,-4.4762,1
2023-04,-5.7286,5
2023-05,10.3449,4
2023-06,5.9726,3
2023-07,6.2324,2
2023-08,-1.6197,5
2023-09,-0.7789,1
2023-11,0.2852,2
2023-12,-7.2167,5
2024-01,1.5084,5
2024-02,1.2005,2
2024-04,0.3452,4
2024-05,-0.1975,6
2024-06,-2.4834,3
2024-08,7.8017,1
2024-10,1.8149,4
2025-02,-4.9956,1
2025-03,-10.2530,2
