date,pnl_pct,trade_count
2022-01-02,-8.9193,1
2022-01-04,-3.7764,1
2022-01-05,24.6283,2
2022-01-07,-6.4756,1
2022-01-10,-11.7678,2
2022-01-15,9.5311,2
2022-01-18,-9.2118,2
2022-01-19,8.8628,1
2022-01-21,-13.2089,2
2022-02-01,9.9817,2
2022-02-02,4.6280,1
2022-02-11,-5.5246,3
2022-02-15,-3.0922,1
2022-02-17,-1.5819,1
2022-02-20,4.1312,1
2022-02-21,-2.8552,1
2022-02-24,4.6186,2
2022-02-27,-2.0648,1
2022-03-06,-1.5858,1
2022-03-08,10.5958,1
2022-03-09,0.6807,2
2022-03-16,-2.8898,2
2022-03-18,1.2154,1
2022-03-19,-5.6010,1
2022-03-22,-5.3308,1
2022-03-24,-1.9029,3
2022-04-06,-9.2041,4
2022-04-11,-2.1390,3
2022-04-14,-1.1896,1
2022-04-18,-1.1233,1
2022-04-19,-2.2964,1
2022-04-20,3.3914,2
2022-04-21,-3.8105,1
2022-04-22,-1.2229,1
2022-04-23,-2.0174,1
2022-04-25,-5.9119,2
2022-04-26,-7.1725,3
2022-04-29,-1.3059,1
2022-04-30,-3.7404,2
2022-05-04,-1.8349,1
2022-05-05,-1.2083,1
2022-05-09,10.0188,2
2022-05-22,1.1566,2
2022-05-23,0.9855,1
2022-05-26,-3.0182,1
2022-06-01,-3.0752,2
2022-06-03,2.4235,2
2022-06-05,-2.5584,1
2022-06-06,-1.3755,1
2022-06-07,-3.2373,2
2022-06-09,5.5943,1
2022-06-10,0.1484,3
2022-06-12,5.7135,2
2022-06-18,-18.4237,2
2022-06-24,5.5419,2
2022-06-26,2.4614,1
2022-06-30,-5.0686,2
2022-07-02,13.7244,2
2022-07-04,-4.3333,2
2022-07-07,-1.5641,1
2022-07-08,-2.7079,1
2022-07-10,1.3352,1
2022-07-13,4.1607,3
2022-07-16,-1.0121,2
2022-07-18,9.3730,2
2022-07-19,-1.5559,1
2022-07-25,-2.6017,1
