regime_tag,in_sample,candidate_sharpe,candidate_max_dd,candidate_trade_count,baseline_sharpe,baseline_max_dd,baseline_trade_count
bull,True,0.6442,4.7862,50,-0.3514,52.4709,50
bear,True,0.2714,7.2102,192,0.1463,60.8758,222
chop,True,0.3861,10.3691,247,0.2348,44.6318,224
vol-spike,True,0.0,0.0,0,0.0,0.0,0
recovery,True,0.4019,10.088,91,0.2782,31.194,124
other,True,0.0,0.0,0,0.0,0.0,0
bull,False,0.0,1.9659,4,0.0,5.2961,3
bear,False,0.0,0.0,0,0.0,0.0,0
chop,False,0.0,0.0,0,0.0,0.0,0
vol-spike,False,0.0,0.0,0,0.0,0.0,0
recovery,False,0.0,0.0,0,0.0,0.0,0
other,False,0.47,5.938,196,0.1405,35.6482,191
