symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence,component_id
BTCUSDT,1,46445.810000,44806.435251,1.0000,1641254399999,1641427199999,stop_loss,-0.70594,0.1000,-0.72594,-0.72594,44806.435251,49724.559498,1641859199999,0.818352,C-BTC
BTCUSDT,1,43170.000000,41361.182585,1.0000,1642089599999,1642521599999,stop_loss,-0.838,0.1000,-0.858,-0.858,41361.182585,46787.634830,1642694399999,0.800601,C-BTC
BTCUSDT,1,41657.890000,40221.091594,1.0000,1642636799999,1642751999999,stop_loss,-0.6898,0.1000,-0.7098,-0.7098,40221.091594,44531.486811,1643241599999,0.880781,C-BTC
BTCUSDT,1,36788.860000,37859.000000,1.0000,1643356799999,1643961600000,timeout,0.58178,0.1000,0.56178,0.56178,34472.587083,41421.405835,1643961599999,0.790283,C-BTC
ETHUSDT,1,2735.340000,3082.041956,1.0000,1643702399999,1644220799999,take_profit,2.53498,0.1000,2.51498,2.51498,2561.989022,3082.041956,1644307199999,0.846857,C-ETH
BTCUSDT,1,41368.140000,44986.092364,1.0000,1644047999999,1644307199999,take_profit,1.74914,0.1000,1.72914,1.72914,39559.163818,44986.092364,1644652799999,0.760354,C-BTC
ETHUSDT,-1,3172.770000,2869.090931,1.0000,1644307199999,1644681599999,take_profit,1.91428,0.1000,1.89428,1.89428,3324.609534,2869.090931,1644911999999,0.705432,C-ETH
BTCUSDT,-1,42366.000000,44527.433888,0.3300,1644623999999,1644969599999,stop_loss,-1.02036,0.1000,-1.04036,-0.34332,44527.433888,38043.132225,1645228799999,0.679360,C-BTC
ETHUSDT,1,2918.350000,2760.011194,1.0000,1644767999999,1645228799999,stop_loss,-1.08512,0.1000,-1.10512,-1.10512,2760.011194,3235.027612,1645372799999,0.813428,C-ETH
BTCUSDT,-1,41907.700000,38503.368539,0.3300,1645113599999,1645372799999,take_profit,1.62468,0.1000,1.60468,0.52954,43609.865730,38503.368539,1645718399999,0.566797,C-BTC
BTCUSDT,1,36748.600000,34893.451187,0.3300,1645516799999,1645689599999,stop_loss,-1.00964,0.1000,-1.02964,-0.33978,34893.451187,40458.897627,1646121599999,0.702376,C-BTC
ETHUSDT,-1,2761.890000,2447.388271,1.0000,1645315199999,1645689599999,take_profit,2.27744,0.1000,2.25744,2.25744,2919.140865,2447.388271,1645919999999,0.816077,C-ETH
BTCUSDT,1,38462.500000,43289.978086,0.3300,1645775999999,1646092799999,take_profit,2.51022,0.1000,2.49022,0.82178,36048.760957,43289.978086,1646380799999,0.671509,C-BTC
ETHUSDT,1,2612.670000,3041.828867,1.0000,1645775999999,1646207999999,take_profit,3.28522,0.1000,3.26522,3.26522,2398.090567,3041.828867,1646380799999,0.802751,C-ETH
BTCUSDT,1,41427.600000,39176.488338,0.3300,1646380799999,1646438399999,stop_loss,-1.08676,0.1000,-1.10676,-0.36524,39176.488338,45929.823324,1646985599999,0.916225,C-BTC
