symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence,component_id
ETHUSDT,-1,2054.800000,1915.683962,1.0000,1742889599999,1743148799999,take_profit,1.35406,0.1000,1.33406,1.33406,2124.358019,1915.683962,1743494399999,0.670719,C-ETH
LINKUSDT,-1,15.320000,13.770389,0.3300,1742918399999,1743263999999,take_profit,2.023,0.1000,2.003,0.66098,16.094806,13.770389,1743523199999,0.947573,C-LINK
LTCUSDT,1,86.070000,81.577093,1.0000,1743235199999,1743436799999,stop_loss,-1.04402,0.1000,-1.06402,-1.06402,81.577093,95.055814,1743839999999,0.816256,C-LTC
LTCUSDT,1,85.610000,81.374844,1.0000,1743523199999,1743580799999,stop_loss,-0.9894,0.1000,-1.0094,-1.0094,81.374844,94.080312,1744127999999,0.911204,C-LTC
ETHUSDT,1,1853.340000,1778.306578,0.3300,1743494399999,1743695999999,stop_loss,-0.80972,0.1000,-0.82972,-0.2738,1778.306578,2003.406843,1744099199999,0.750020,C-ETH
LINKUSDT,1,13.207000,12.361507,0.3300,1743407999999,1743695999999,stop_loss,-1.28038,0.1000,-1.30038,-0.42912,12.361507,14.897986,1744012799999,0.650996,C-LINK
DOTUSDT,-1,4.306000,4.079000,0.1538,1743148799999,1743753600000,timeout,1.05434,0.1000,1.03434,0.15906,4.571085,3.775829,1743753599999,0.790673,C-DOT
LTCUSDT,1,84.720000,79.056793,1.0000,1743753599999,1743955199999,stop_loss,-1.33692,0.1000,-1.35692,-1.35692,79.056793,96.046413,1744358399999,0.884201,C-LTC
ETHUSDT,-1,1815.970000,1633.016943,0.3300,1743811199999,1743983999999,take_profit,2.01494,0.1000,1.99494,0.65832,1907.446529,1633.016943,1744415999999,0.762508,C-ETH
LINKUSDT,1,12.309000,11.371625,0.3300,1743955199999,1743983999999,stop_loss,-1.52308,0.1000,-1.54308,-0.50922,11.371625,14.183750,1744559999999,0.676752,C-LINK
DOTUSDT,1,3.890000,3.666188,0.1758,1743955199999,1743983999999,stop_loss,-1.1507,0.1000,-1.1707,-0.20576,3.666188,4.337624,1744559999999,0.740491,C-DOT
ETHUSDT,1,1595.030000,1600.990000,0.3300,1744271999999,1744876800000,timeout,0.07474,0.1000,0.05474,0.01806,1455.155042,1874.779917,1744876799999,0.869292,C-ETH
DOTUSDT,1,3.410000,3.638000,0.1473,1744300799999,1744905600000,timeout,1.33724,0.1000,1.31724,0.19406,3.064560,4.100881,1744905599999,0.741080,C-DOT
LINKUSDT,-1,12.067000,12.530000,0.3300,1744329599999,1744934400000,timeout,-0.76738,0.1000,-0.78738,-0.25984,13.348678,9.503644,1744934399999,0.673712,C-LINK
LTCUSDT,-1,75.540000,80.245639,1.0000,1744790399999,1745222399999,stop_loss,-1.24586,0.1000,-1.26586,-1.26586,80.245639,66.128722,1745395199999,0.791531,C-LTC
BTCUSDT,1,85691.300000,88434.900000,1.0000,1744703999999,1745308800000,timeout,0.64034,0.1000,0.62034,0.62034,82668.956474,91735.987052,1745308799999,0.766063,C-BTC
ETHUSDT,-1,1600.270000,1668.241211,0.3300,1745049599999,1745337599999,stop_loss,-0.8495,0.1000,-0.8695,-0.28694,1668.241211,1464.327578,1745654399999,0.772414,C-ETH
LINKUSDT,1,12.555000,14.020377,0.3300,1745020799999,1745337599999,take_profit,2.33434,0.1000,2.31434,0.76372,11.822312,14.020377,1745625599999,0.767181,C-LINK
DOTUSDT,-1,3.776000,3.963037,0.1741,1745279999999,1745366399999,stop_loss,-0.99066,0.1000,-1.01066,-0.176,3.963037,3.401927,1745884799999,0.703485,C-DOT
LTCUSDT,-1,83.450000,87.509054,0.3300,1745366399999,1745654399999,stop_loss,-0.97282,0.1000,-0.99282,-0.32762,87.509054,75.331892,1745971199999,0.877972,C-LTC
LINKUSDT,1,14.313000,14.716000,0.3300,1745481599999,1746086400000,timeout,0.56312,0.1000,0.54312,0.17924,13.407835,16.123331,1746086399999,0.689340,C-LINK
LTCUSDT,-1,85.410000,89.502584,0.3300,1745740799999,1746143999999,stop_loss,-0.95834,0.1000,-0.97834,-0.32286,89.502584,77.224832,1746345599999,0.846599,C-LTC
LINKUSDT,1,14.556000,13.715373,0.3300,1746172799999,1746460799999,stop_loss,-1.15502,0.1000,-1.17502,-0.38776,13.715373,16.237254,1746777599999,0.706076,C-LINK
ETHUSDT,-1,1799.220000,1819.430000,0.3300,1745884799999,1746489600000,timeout,-0.22466,0.1000,-0.24466,-0.08074,1877.137250,1643.385501,1746489599999,0.832627,C-ETH
DOTUSDT,-1,4.270000,3.906000,0.1498,1745942399999,1746547200000,timeout,1.70492,0.1000,1.68492,0.25244,4.507069,3.795861,1746547199999,0.706790,C-DOT
BTCUSDT,-1,94696.400000,96479.164153,1.0000,1746431999999,1746575999999,stop_loss,-0.37652,0.1000,-0.39652,-0.39652,96479.164153,91130.871693,1747036799999,0.824743,C-BTC
LINKUSDT,-1,13.375000,14.059850,0.3300,1746547199999,1746604799999,stop_loss,-1.02408,0.1000,-1.04408,-0.34454,14.059850,12.005300,1747151999999,0.776032,C-LINK
LINKUSDT,-1,14.678000,15.482729,0.3300,1746691199999,1746748799999,stop_loss,-1.09652,0.1000,-1.11652,-0.36844,15.482729,13.068543,1747295999999,0.885742,C-LINK
DOTUSDT,-1,4.296000,4.509500,0.1847,1746719999999,1746777599999,stop_loss,-0.99394,0.1000,-1.01394,-0.18728,4.509500,3.869001,1747324799999,0.848926,C-DOT
BTCUSDT,-1,102481.700000,104984.159102,1.0000,1747065599999,1747583999999,stop_loss,-0.48838,0.1000,-0.50838,-0.50838,104984.159102,97476.781797,1747670399999,0.766344,C-BTC
ETHUSDT,-1,2529.600000,2634.410000,0.3300,1747295999999,1747900800000,timeout,-0.82866,0.1000,-0.84866,-0.28006,2687.654736,2213.490527,1747900799999,0.767849,C-ETH
LINKUSDT,1,15.726000,15.286000,0.3300,1747555199999,1748160000000,timeout,-0.55958,0.1000,-0.57958,-0.19126,14.627871,17.922259,1748159999999,0.723601,C-LINK
LINKUSDT,1,15.752000,14.707384,0.3300,1748275199999,1748591999999,stop_loss,-1.32632,0.1000,-1.34632,-0.44428,14.707384,17.841232,1748879999999,0.895704,C-LINK
DOTUSDT,1,4.551000,4.282323,0.4813,1748505599999,1748591999999,stop_loss,-1.18074,0.1000,-1.20074,-0.5779,4.282323,5.088353,1749110399999,0.814652,C-DOT
BTCUSDT,-1,105346.400000,100989.315544,1.0000,1748851199999,1749167999999,take_profit,0.8272,0.1000,0.8072,0.8072,107524.942228,100989.315544,1749455999999,0.913216,C-BTC
ETHUSDT,1,2507.620000,2406.929182,1.0000,1748764799999,1749167999999,stop_loss,-0.80308,0.1000,-0.82308,-0.82308,2406.929182,2709.001636,1749369599999,0.764846,C-ETH
LINKUSDT,1,14.054000,13.203742,0.3300,1748822399999,1749167999999,stop_loss,-1.20998,0.1000,-1.22998,-0.4059,13.203742,15.754516,1749427199999,0.816322,C-LINK
DOTUSDT,1,4.005000,3.786864,0.3300,1749081599999,1749167999999,stop_loss,-1.08932,0.1000,-1.10932,-0.36608,3.786864,4.441272,1749686399999,0.802590,C-DOT
BTCUSDT,-1,105917.500000,108068.852466,1.0000,1749398399999,1749513599999,stop_loss,-0.40624,0.1000,-0.42624,-0.42624,108068.852466,101614.795069,1750003199999,0.801788,C-BTC
LINKUSDT,-1,13.562000,14.388007,0.3300,1749254399999,1749513599999,stop_loss,-1.21812,0.1000,-1.23812,-0.40858,14.388007,11.909985,1749859199999,0.674084,C-LINK
ETHUSDT,1,2475.380000,2698.883389,1.0000,1749254399999,1749542399999,take_profit,1.80582,0.1000,1.78582,1.78582,2363.628305,2698.883389,1749859199999,0.794132,C-ETH
BTCUSDT,-1,105391.900000,107945.653561,1.0000,1749830399999,1750118399999,stop_loss,-0.48462,0.1000,-0.50462,-0.50462,107945.653561,100284.392877,1750435199999,0.840410,C-BTC
DOTUSDT,1,3.819000,3.630186,0.3300,1750031999999,1750262399999,stop_loss,-0.98882,0.1000,-1.00882,-0.3329,3.630186,4.196627,1750636799999,0.808345,C-DOT
ETHUSDT,1,2550.260000,2492.470000,1.0000,1749830399999,1750435200000,timeout,-0.4532,0.1000,-0.4732,-0.4732,2412.840890,2825.098221,1750435199999,0.742788,C-ETH
ETHUSDT,1,2422.370000,2320.060538,1.0000,1750521599999,1750550399999,stop_loss,-0.8447,0.1000,-0.8647,-0.8647,2320.060538,2626.988923,1751126399999,0.838093,C-ETH
BTCUSDT,-1,104508.000000,99522.995063,0.3300,1750204799999,1750607999999,take_profit,0.954,0.1000,0.934,0.30822,107000.502469,99522.995063,1750809599999,0.888644,C-BTC
LINKUSDT,-1,13.120000,11.576314,0.3300,1750319999999,1750607999999,take_profit,2.35318,0.1000,2.33318,0.76994,13.891843,11.576314,1750924799999,0.695725,C-LINK
LINKUSDT,1,11.749000,13.423682,0.3300,1750694399999,1750780799999,take_profit,2.85076,0.1000,2.83076,0.93416,10.911659,13.423682,1751299199999,0.750276,C-LINK
ETHUSDT,1,2410.390000,2484.300000,0.3300,1750723199999,1751328000000,timeout,0.61326,0.1000,0.59326,0.19578,2262.172109,2706.825782,1751327999999,0.927257,C-ETH
DOTUSDT,1,3.359000,3.431000,0.3300,1750867199999,1751472000000,timeout,0.4287,0.1000,0.4087,0.13488,3.137525,3.801950,1751471999999,0.823084,C-DOT
LINKUSDT,1,13.108000,13.610000,0.3300,1750953599999,1751558400000,timeout,0.76594,0.1000,0.74594,0.24616,12.224453,14.875093,1751558399999,0.675515,C-LINK
LINKUSDT,-1,13.066000,13.759264,0.3300,1751644799999,1752019199999,stop_loss,-1.06118,0.1000,-1.08118,-0.35678,13.759264,11.679472,1752249599999,0.674234,C-LINK
DOTUSDT,-1,3.482000,3.629985,0.3300,1752047999999,1752105599999,stop_loss,-0.85,0.1000,-0.87,-0.2871,3.629985,3.186031,1752652799999,0.778442,C-DOT
LINKUSDT,-1,14.243000,14.871458,0.3300,1752105599999,1752191999999,stop_loss,-0.88248,0.1000,-0.90248,-0.29782,14.871458,12.986085,1752710399999,0.674234,C-LINK
LTCUSDT,1,86.330000,92.089933,1.0000,1751990399999,1752191999999,take_profit,1.3344,0.1000,1.3144,1.3144,83.450034,92.089933,1752595199999,0.798589,C-LTC
LINKUSDT,-1,14.829000,15.700859,0.3300,1752335999999,1752422399999,stop_loss,-1.17588,0.1000,-1.19588,-0.39464,15.700859,13.085281,1752940799999,0.674234,C-LINK
DOTUSDT,-1,3.824000,4.089746,0.1089,1752335999999,1752479999999,stop_loss,-1.38988,0.1000,-1.40988,-0.15354,4.089746,3.292508,1752940799999,0.823447,C-DOT
DOTUSDT,-1,3.863000,4.135216,0.1089,1752566399999,1752652799999,stop_loss,-1.40936,0.1000,-1.42936,-0.15566,4.135216,3.318567,1753171199999,0.791323,C-DOT
LINKUSDT,-1,19.669000,17.824000,0.3300,1753228799999,1753833600000,timeout,1.87604,0.1000,1.85604,0.6125,21.069718,16.867565,1753833599999,0.674234,C-LINK
LTCUSDT,1,110.960000,110.620000,1.0000,1753343999999,1753948800000,timeout,-0.06128,0.1000,-0.08128,-0.08128,101.086168,130.707664,1753948799999,0.792444,C-LTC
DOTUSDT,-1,4.094000,3.445718,0.1089,1753516799999,1754092799999,take_profit,3.16698,0.1000,3.14698,0.3427,4.418141,3.445718,1754121599999,0.787265,C-DOT
LINKUSDT,-1,17.698000,16.666000,0.3300,1753919999999,1754524800000,timeout,1.16624,0.1000,1.14624,0.37826,18.944577,15.204846,1754524799999,0.674234,C-LINK
ETHUSDT,1,3474.650000,3783.070849,1.0000,1754236799999,1754582399999,take_profit,1.77526,0.1000,1.75526,1.75526,3320.439576,3783.070849,1754841599999,0.808706,C-ETH
DOTUSDT,1,3.506000,4.034221,0.1089,1754179199999,1754726399999,take_profit,3.01324,0.1000,2.99324,0.32596,3.241890,4.034221,1754783999999,0.872372,C-DOT
LTCUSDT,1,119.150000,134.101105,1.0000,1754524799999,1755071999999,take_profit,2.50962,0.1000,2.48962,2.48962,111.674447,134.101105,1755129599999,0.737223,C-LTC
DOTUSDT,-1,4.047000,4.249233,0.1089,1754870399999,1755100799999,stop_loss,-0.99942,0.1000,-1.01942,-0.11102,4.249233,3.642533,1755475199999,0.736788,C-DOT
BTCUSDT,-1,120897.200000,123391.784896,1.0000,1755100799999,1755129599999,stop_loss,-0.41268,0.1000,-0.43268,-0.43268,123391.784896,115908.030209,1755705599999,0.759568,C-BTC
LINKUSDT,1,23.535000,21.643140,0.3300,1755158399999,1755187199999,stop_loss,-1.6077,0.1000,-1.6277,-0.53714,21.643140,27.318720,1755763199999,0.676957,C-LINK
LINKUSDT,1,21.737000,25.629769,0.3300,1755302399999,1755446399999,take_profit,3.5817,0.1000,3.5617,1.17536,19.790615,25.629769,1755907199999,0.649067,C-LINK
LTCUSDT,1,122.710000,113.458366,1.0000,1755187199999,1755590399999,stop_loss,-1.50788,0.1000,-1.52788,-1.52788,113.458366,141.213268,1755791999999,0.748439,C-LTC
DOTUSDT,-1,3.983000,3.795000,0.1089,1755215999999,1755820800000,timeout,0.94402,0.1000,0.92402,0.10062,4.257013,3.434975,1755820799999,0.933963,C-DOT
BTCUSDT,-1,117279.200000,116897.500000,1.0000,1755302399999,1755907200000,timeout,0.0651,0.1000,0.0451,0.0451,120162.719057,111512.161886,1755907199999,0.771455,C-BTC
LINKUSDT,1,25.697000,23.222473,0.3300,1755763199999,1756166399999,stop_loss,-1.92592,0.1000,-1.94592,-0.64216,23.222473,30.646054,1756367999999,0.614562,C-LINK
