feature_name,mean_gain,importance_rank
vol_atr_14,3726.5108,1
stat_autocorr_lag5,3336.8813,2
trend_aroon_osc_50,3035.8166,3
oi_delta_30_z90,2503.668,4
trend_adx_14,2132.0466,5
stat_skew_20,1746.0291,6
mom_macd_line_12_26_9,1678.8867,7
dot_vs_btc_ret_ratio_30,1623.8526,8
interact_natr_x_adx,1496.8133,9
stat_kurtosis_20,1459.7719,10
vol_natr_14,1342.7054,11
long_short_zscore_30,1184.0881,12
mom_macd_hist_12_26_9,1097.9799,13
vol_cmf_14,817.9265,14
funding_rate_zscore_90,812.2548,15
vol_bb_bandwidth_20,808.6018,16
mr_pct_from_low_20,679.2708,17
mr_pct_from_high_20,634.43,18
trend_minus_di_14,615.9441,19
funding_rate_zscore_30,445.9049,20
vol_mfi_14,432.1155,21
trend_plus_di_14,410.5213,22
interact_rsi_x_natr,365.7268,23
trend_aroon_osc_14,278.694,24
interact_rsi_x_adx,264.2271,25
mom_rsi_14,254.5989,26
mom_stoch_d_14,214.1151,27
trend_ema_cross_5_12,203.8356,28
trend_supertrend_14_3,201.2237,29
interact_stoch_x_adx,161.1312,30
mom_willr_14,157.4073,31
regime_momentum_signed_5d,150.084,32
mom_stoch_k_14,130.8053,33
mom_roc_10,104.8622,34
cal_dow_norm,96.4895,35
stat_return_5,71.5964,36
vol_volume_rel_20,69.8208,37
vol_range_spike_72,67.2367,38
vol_volume_pctchg_5,61.5663,39
vol_range_spike_24,43.4761,40
stat_log_return_1,40.4042,41
vol_taker_buy_ratio,38.8518,42
interact_ret1_x_natr,31.7488,43
interact_ret1_x_ret3,26.2129,44
cal_hour_norm,1.647,45
mr_rsi_extreme_14,0.0714,46
