metric,in_sample,out_of_sample,ratio
sharpe,0.2614,-0.8396,-3.2120
sortino,0.2313,-0.5380,-2.3259
max_drawdown,17.73%,21.79%,1.2288
win_rate,37.4%,40.6%,1.0859
profit_factor,1.1149,0.7477,0.6707
total_trades,139,64,0.4604
calmar_ratio,0.8011,0.5917,0.7386
dsr,-85.4235,-26.7423,0.3131
total_net_pnl,14.2052,-12.8920,-0.9076
psr_monthly_vs_0,0.752610,0.201011,0.2671
psr_monthly_vs_1,0.164206,0.020567,0.1252
psr_daily_vs_0,0.684503,0.184729,0.2699
n_effective_trials,9,9,1.0000
n_eff_per_cell_median,9,9,1.0000
r5_fire_rate_is,0.000000,0.000000,—
r5_fire_rate_oos,0.000000,0.000000,—
r5_binary_kill_fire_rate_is,0.000000,0.000000,—
r5_binary_kill_fire_rate_oos,0.000000,0.000000,—
vol_ceiling_fire_rate_is,0.000000,0.000000,—
vol_ceiling_fire_rate_oos,0.000000,0.000000,—
