feature_name,mean_gain,importance_rank
vol_atr_14,4247.7073,1
trend_aroon_osc_50,3785.8133,2
stat_autocorr_lag5,2565.926,3
btc_funding_spread_30_90,2481.3628,4
vol_bb_bandwidth_20,2312.8544,5
stat_skew_20,2069.6988,6
oi_delta_30_z90,2008.9275,7
interact_natr_x_adx,1989.1076,8
trend_adx_14,1958.7372,9
vol_natr_14,1476.4917,10
mom_macd_hist_12_26_9,1451.5027,11
mom_macd_line_12_26_9,1422.3149,12
stat_kurtosis_20,1415.8269,13
long_short_zscore_30,1032.8193,14
trend_plus_di_14,1022.1297,15
vol_cmf_14,969.8622,16
mr_pct_from_low_20,843.1504,17
funding_rate_zscore_90,819.5095,18
trend_minus_di_14,736.5782,19
trend_aroon_osc_14,719.8645,20
mr_pct_from_high_20,609.7251,21
interact_rsi_x_adx,608.1962,22
vol_mfi_14,539.7173,23
regime_momentum_signed_5d,451.3855,24
funding_rate_zscore_30,400.0327,25
trend_ema_cross_5_12,390.5391,26
mom_stoch_d_14,251.4622,27
interact_stoch_x_adx,231.9889,28
mom_roc_10,198.7121,29
mom_willr_14,177.4756,30
interact_rsi_x_natr,174.4963,31
mom_rsi_14,164.8184,32
stat_return_5,163.9391,33
trend_supertrend_14_3,159.3321,34
vol_range_spike_72,150.5283,35
cal_dow_norm,140.4941,36
mom_stoch_k_14,138.0189,37
vol_volume_pctchg_5,67.8712,38
vol_volume_rel_20,59.4337,39
vol_range_spike_24,46.3441,40
vol_taker_buy_ratio,40.9035,41
interact_ret1_x_natr,29.7622,42
interact_ret1_x_ret3,28.9843,43
cal_hour_norm,19.3765,44
stat_log_return_1,17.0058,45
mr_rsi_extreme_14,2.3375,46
dot_vs_btc_ret_ratio_30,0.0,47
