feature_name,mean_gain,importance_rank
btc_funding_spread_30_90,3919.9093,1
vol_atr_14,3726.7624,2
trend_aroon_osc_50,3295.3719,3
stat_skew_20,2794.8909,4
stat_kurtosis_20,2763.4869,5
trend_adx_14,2448.5202,6
oi_delta_30_z90,2153.2318,7
stat_autocorr_lag5,2152.2713,8
interact_natr_x_adx,1972.3979,9
vol_bb_bandwidth_20,1538.0694,10
mom_macd_line_12_26_9,1462.6669,11
vol_natr_14,1436.0764,12
eth_vs_btc_ret_ratio_30,1201.9206,13
mom_macd_hist_12_26_9,947.5752,14
long_short_zscore_30,935.1268,15
mr_pct_from_high_20,874.4737,16
vol_cmf_14,835.8433,17
mr_pct_from_low_20,734.6229,18
trend_minus_di_14,702.4755,19
vol_mfi_14,616.308,20
trend_plus_di_14,599.9724,21
trend_aroon_osc_14,502.358,22
funding_rate_zscore_30,444.8044,23
interact_rsi_x_adx,441.9535,24
funding_rate_zscore_90,380.6256,25
trend_supertrend_14_3,340.4209,26
interact_rsi_x_natr,306.3949,27
interact_stoch_x_adx,282.4369,28
mom_rsi_14,282.2735,29
regime_momentum_signed_5d,259.0418,30
mom_willr_14,249.787,31
trend_ema_cross_5_12,218.0182,32
mom_roc_10,171.6997,33
mom_stoch_d_14,169.8929,34
cal_dow_norm,145.1535,35
mom_stoch_k_14,133.3957,36
stat_return_5,105.6378,37
vol_range_spike_72,87.4813,38
interact_ret1_x_natr,60.5662,39
vol_range_spike_24,54.7272,40
interact_ret1_x_ret3,53.3033,41
vol_taker_buy_ratio,52.2048,42
vol_volume_rel_20,50.1419,43
vol_volume_pctchg_5,43.2849,44
stat_log_return_1,30.8383,45
cal_hour_norm,18.1081,46
mr_rsi_extreme_14,1.937,47
dot_vs_btc_ret_ratio_30,0.0,48
