metric,in_sample,out_of_sample,ratio
sharpe,0.7360,-1.6307,-2.2158
sortino,0.5290,-1.1347,-2.1449
max_drawdown,31.65%,41.14%,1.2998
win_rate,46.3%,29.6%,0.6396
profit_factor,1.3739,0.5343,0.3889
total_trades,136,54,0.3971
calmar_ratio,2.1907,0.9872,0.4506
dsr,-26.6316,-19.0594,0.7157
total_net_pnl,69.3402,-40.6167,-0.5858
psr_monthly_vs_0,0.942462,0.056678,0.0601
psr_monthly_vs_1,0.415870,0.008113,0.0195
psr_daily_vs_0,0.918489,0.054566,0.0594
n_effective_trials,8,8,1.0000
n_eff_per_cell_median,8,8,1.0000
r5_fire_rate_is,0.000000,0.000000,—
r5_fire_rate_oos,0.000000,0.000000,—
r5_binary_kill_fire_rate_is,0.000000,0.000000,—
r5_binary_kill_fire_rate_oos,0.000000,0.000000,—
vol_ceiling_fire_rate_is,0.000000,0.000000,—
vol_ceiling_fire_rate_oos,0.000000,0.000000,—
