metric,in_sample,out_of_sample,ratio
sharpe,0.1276,0.0988,0.7743
sortino,0.0736,0.0816,1.1079
max_drawdown,48.40%,30.75%,0.6353
win_rate,43.4%,35.3%,0.8136
profit_factor,1.0545,1.0449,0.9909
total_trades,136,51,0.3750
calmar_ratio,0.2498,0.1139,0.4562
dsr,-78.5275,-57.6518,0.7342
total_net_pnl,12.0881,3.5033,0.2898
psr_monthly_vs_0,0.591750,0.538545,0.9101
psr_monthly_vs_1,0.065880,0.196329,2.9801
psr_daily_vs_0,0.590454,0.542419,0.9186
n_effective_trials,8,8,1.0000
n_eff_per_cell_median,8,8,1.0000
r5_fire_rate_is,0.000000,0.000000,—
r5_fire_rate_oos,0.000000,0.000000,—
r5_binary_kill_fire_rate_is,0.000000,0.000000,—
r5_binary_kill_fire_rate_oos,0.000000,0.000000,—
vol_ceiling_fire_rate_is,0.000000,0.000000,—
vol_ceiling_fire_rate_oos,0.000000,0.000000,—
