family_a,family_b,ic_mean_fisher,ic_median,ic_iqr_low,ic_iqr_high,n_features_a,n_features_b
calendar,calendar,0.001106,0.001106,-0.002906,0.005118,2,2
calendar,interaction,-0.000686,-0.000686,nan,nan,2,6
calendar,mean_reversion,0.041261,0.041261,nan,nan,2,26
calendar,momentum,0.059536,0.059536,nan,nan,2,36
calendar,statistical,-0.003458,-0.003458,nan,nan,2,24
calendar,trend,0.003018,0.003018,nan,nan,2,39
calendar,volatility,-0.003359,-0.003359,nan,nan,2,40
calendar,volume,0.006498,0.006498,nan,nan,2,20
interaction,interaction,-0.024249,-0.043339,-0.045328,-0.000480,6,6
interaction,mean_reversion,0.134470,0.134470,nan,nan,6,26
interaction,momentum,0.080989,0.080989,nan,nan,6,36
interaction,statistical,0.038797,0.038797,nan,nan,6,24
interaction,trend,0.114959,0.114959,nan,nan,6,39
interaction,volatility,0.805490,0.805490,nan,nan,6,40
interaction,volume,0.096020,0.096020,nan,nan,6,20
mean_reversion,mean_reversion,-0.008379,-0.025009,-0.031396,0.006325,26,26
mean_reversion,momentum,0.417138,0.417138,nan,nan,26,36
mean_reversion,statistical,-0.017839,-0.017839,nan,nan,26,24
mean_reversion,trend,0.194145,0.194145,nan,nan,26,39
mean_reversion,volatility,0.071608,0.071608,nan,nan,26,40
mean_reversion,volume,0.303308,0.303308,nan,nan,26,20
momentum,momentum,-0.034575,-0.038056,-0.043917,-0.032111,36,36
momentum,statistical,0.078708,0.078708,nan,nan,36,24
momentum,trend,0.668249,0.668249,nan,nan,36,39
momentum,volatility,-0.025197,-0.025197,nan,nan,36,40
momentum,volume,0.777407,0.777407,nan,nan,36,20
statistical,statistical,-0.023537,-0.027040,-0.030909,-0.022731,24,24
statistical,trend,0.095239,0.095239,nan,nan,24,39
statistical,volatility,0.023415,0.023415,nan,nan,24,40
statistical,volume,0.063320,0.063320,nan,nan,24,20
trend,trend,-0.014605,-0.019772,-0.033784,-0.000834,39,39
trend,volatility,0.077711,0.077711,nan,nan,39,40
trend,volume,0.678469,0.678469,nan,nan,39,20
volatility,volatility,0.003831,0.008982,0.002451,0.016960,40,40
volatility,volume,0.027836,0.027836,nan,nan,40,20
volume,volume,-0.003580,-0.003588,-0.026559,0.019393,20,20
