month,pnl_pct,trade_count
2022-01,5.2851,2
2022-02,-17.1403,6
2022-03,-6.2103,4
2022-04,-2.5394,5
2022-05,-1.1727,5
2022-06,4.4264,3
2022-07,-0.7403,4
2022-08,5.3533,4
2022-09,-0.5346,6
2022-10,2.5130,1
2022-11,0.6446,2
2022-12,6.4835,7
2023-01,-2.2915,5
2023-02,-3.8379,3
2023-03,1.6723,6
2023-04,1.5857,3
2023-05,-1.4532,7
2023-06,1.2815,2
2023-07,-1.1165,3
2023-08,-1.5247,5
2023-09,0.8606,5
2023-10,-0.1890,3
2023-11,1.3324,3
2023-12,-5.4178,6
2024-01,7.1415,6
2024-02,0.8585,3
2024-05,2.6156,5
2024-06,1.1226,5
2024-07,-5.4145,5
2024-08,-4.0992,1
2024-09,-1.5729,4
2024-10,6.2443,1
2025-01,-6.9216,2
2025-02,-7.3421,2
2025-03,0.2932,1
