month,pnl_pct,trade_count
2022-01,6.9209,3
2022-02,0.7208,6
2022-03,-8.5816,5
2022-04,-0.9739,2
2022-05,3.1411,5
2022-06,1.5034,4
2022-07,-8.4134,7
2022-08,0.2136,2
2022-09,6.4288,4
2022-10,1.3452,5
2022-11,-1.3233,3
2022-12,1.1148,6
2023-01,-3.1661,4
2023-02,-3.5945,4
2023-03,-0.6550,5
2023-04,0.1399,3
2023-05,-2.7863,7
2023-06,-1.1572,3
2023-07,-1.7471,5
2023-08,-0.9049,5
2023-09,-0.9291,3
2023-10,0.9095,4
2023-11,0.1457,4
2023-12,-1.5761,5
2024-01,7.1126,6
2024-02,-0.0047,4
2024-04,-7.8654,2
2024-05,-1.0375,3
2024-06,1.0105,5
2024-07,-4.1136,5
2024-08,-1.2857,1
2024-09,-6.4548,5
2024-10,1.6813,2
2024-11,-3.5898,1
2025-01,-2.6757,1
2025-02,-4.6989,1
