metric,in_sample,out_of_sample,ratio
sharpe,-0.8260,-0.0689,0.0834
sortino,-0.7797,-0.0982,0.1260
max_drawdown,55.35%,8.73%,0.1578
win_rate,36.2%,39.0%,1.0792
profit_factor,0.7774,0.9811,1.2620
total_trades,224,82,0.3661
calmar_ratio,0.7914,0.1035,0.1308
dsr,-10.1026,-1.3387,0.1325
total_net_pnl,-43.8039,-0.9042,0.0206
psr_monthly_vs_0,0.038048,0.468277,12.3076
psr_monthly_vs_1,0.000927,0.134161,144.7994
psr_daily_vs_0,0.078615,0.470570,5.9858
n_effective_trials,1,1,1.0000
n_eff_per_cell_median,1,1,1.0000
r5_fire_rate_is,0.000000,0.000000,—
r5_fire_rate_oos,0.000000,0.000000,—
r5_binary_kill_fire_rate_is,0.000000,0.000000,—
r5_binary_kill_fire_rate_oos,0.000000,0.000000,—
vol_ceiling_fire_rate_is,0.000000,0.000000,—
vol_ceiling_fire_rate_oos,0.000000,0.000000,—
