feature_name,mean_gain,importance_rank
vol_atr_14,14217.6579,1
trend_aroon_osc_50,13205.5206,2
stat_autocorr_lag5,8441.9055,3
vol_bb_bandwidth_20,7763.7217,4
btc_funding_spread_30_90,7538.0111,5
stat_skew_20,7335.0616,6
trend_adx_14,6864.082,7
oi_delta_30_z90,6551.2063,8
interact_natr_x_adx,6298.2718,9
mom_macd_line_12_26_9,4744.2696,10
vol_natr_14,4682.8065,11
stat_kurtosis_20,4594.9107,12
long_short_zscore_30,4440.9425,13
mom_macd_hist_12_26_9,3521.3587,14
vol_cmf_14,3459.8832,15
mr_pct_from_low_20,3064.3995,16
trend_plus_di_14,2779.6132,17
funding_rate_zscore_90,2222.5131,18
trend_minus_di_14,2206.121,19
interact_rsi_x_adx,1930.5161,20
trend_aroon_osc_14,1847.1716,21
vol_mfi_14,1798.2166,22
mr_pct_from_high_20,1593.0135,23
funding_rate_zscore_30,1069.1762,24
mom_stoch_d_14,988.7489,25
regime_momentum_signed_5d,957.3078,26
trend_ema_cross_5_12,925.0888,27
interact_stoch_x_adx,782.9658,28
mom_rsi_14,780.1741,29
cal_dow_norm,706.1236,30
trend_supertrend_14_3,619.0791,31
mom_willr_14,609.1613,32
mom_roc_10,523.4442,33
interact_rsi_x_natr,468.8623,34
stat_return_5,458.8717,35
mom_stoch_k_14,400.8684,36
vol_range_spike_72,223.0863,37
vol_volume_rel_20,211.3159,38
vol_range_spike_24,192.9227,39
vol_volume_pctchg_5,189.5504,40
vol_taker_buy_ratio,134.8372,41
interact_ret1_x_natr,128.5217,42
interact_ret1_x_ret3,83.7484,43
stat_log_return_1,77.3687,44
cal_hour_norm,25.9535,45
mr_rsi_extreme_14,0.9876,46
dot_vs_btc_ret_ratio_30,0.0,47
eth_vs_btc_ret_ratio_30,0.0,48
