feature_name,mean_gain,importance_rank
vol_atr_14,18265.81,1
trend_aroon_osc_50,14849.5215,2
stat_autocorr_lag5,13983.0197,3
oi_delta_30_z90,13727.1778,4
trend_adx_14,13068.8946,5
stat_skew_20,10266.2564,6
stat_kurtosis_20,10246.6818,7
mom_macd_line_12_26_9,7539.7144,8
btc_funding_spread_30_90,7370.8457,9
interact_natr_x_adx,7364.9807,10
vol_natr_14,6896.7704,11
long_short_zscore_30,6777.046,12
funding_rate_zscore_90,6641.0582,13
dot_vs_btc_ret_ratio_30,6404.7702,14
mom_macd_hist_12_26_9,5539.434,15
mr_pct_from_low_20,4510.1019,16
vol_bb_bandwidth_20,4251.5861,17
trend_minus_di_14,3514.1457,18
mr_pct_from_high_20,2869.037,19
funding_rate_zscore_30,2866.8056,20
vol_cmf_14,2678.1463,21
trend_plus_di_14,2540.2525,22
vol_mfi_14,2201.1675,23
trend_supertrend_14_3,1850.3305,24
interact_rsi_x_natr,1694.8042,25
trend_aroon_osc_14,1518.9157,26
interact_rsi_x_adx,1453.8186,27
trend_ema_cross_5_12,1437.9759,28
mom_stoch_d_14,1294.9405,29
mom_rsi_14,1278.011,30
regime_momentum_signed_5d,1107.4123,31
interact_stoch_x_adx,1061.0653,32
mom_willr_14,805.6657,33
mom_stoch_k_14,673.3079,34
vol_range_spike_72,586.3405,35
stat_return_5,557.2478,36
cal_dow_norm,468.0693,37
mom_roc_10,438.9455,38
stat_log_return_1,374.5117,39
vol_volume_rel_20,368.8307,40
vol_range_spike_24,310.5594,41
vol_volume_pctchg_5,295.9612,42
vol_taker_buy_ratio,272.1766,43
interact_ret1_x_natr,186.2783,44
interact_ret1_x_ret3,147.2289,45
mr_rsi_extreme_14,25.7609,46
cal_hour_norm,5.2294,47
eth_vs_btc_ret_ratio_30,0.0,48
